Itterate ,RMS_Error ,MAX_ABS_U_Error ,MAX_ABS_U_Error_position_R ,MAX_ABS_U_Error_position_C ,MAX_ABS_V_Error ,MAX_ABS_V_Error_position_R ,MAX_ABS_V_Error_position_C ,MAX_RS_Error ,MAX_RS_Error_Position_R ,MAX_RS_Error_Position_C ,Bulk_Velocity_ABS_Error ,Bulk_Velocity_ABS_Error_Position_R ,Bulk_Velocity_ABS_Error_Position_C
1000,1.0,0.0018159086681785396,127,2,0.0033097788555780496,127,128,1.0,2,2,1.3199434484087033e-5,127,128
2000,0.7330102582540124,0.002493863083774102,128,11,0.0014831865381863625,126,128,12.302321944889977,15,124,1.4070405092851965e-5,128,13
3000,0.7820077892589088,0.003239846110081581,128,14,0.0024157654350755228,128,16,36.94917288901819,2,94,2.4816111010759275e-5,128,25
4000,1.637954353610141,0.020670621520522195,128,27,0.01358312560242775,128,31,67.14190703257044,3,70,0.0005763472835084399,128,28
5000,NaN,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0
