title="d2z6      Re=80000     iterations=30001 "
 zone t="d2z6"variables=u/U,Y
-0.000012 0.000000
-0.000243 0.002283
-0.000783 0.004566
-0.001388 0.006849
-0.002033 0.009132
-0.002638 0.011416
-0.003210 0.013699
-0.003647 0.015982
-0.004014 0.018265
-0.004251 0.020548
-0.004447 0.022831
-0.004545 0.025114
-0.004643 0.027397
-0.004673 0.029680
-0.004726 0.031963
-0.004732 0.034247
-0.004770 0.036530
-0.004761 0.038813
-0.004793 0.041096
-0.004779 0.043379
-0.004810 0.045662
-0.004801 0.047945
-0.004836 0.050228
-0.004823 0.052511
-0.004856 0.054795
-0.004842 0.057078
-0.004878 0.059361
-0.004869 0.061644
-0.004911 0.063927
-0.004899 0.066210
-0.004939 0.068493
-0.004925 0.070776
-0.004967 0.073059
-0.004959 0.075342
-0.005008 0.077626
-0.004998 0.079909
-0.005044 0.082192
-0.005031 0.084475
-0.005080 0.086758
-0.005072 0.089041
-0.005129 0.091324
-0.005120 0.093607
-0.005174 0.095890
-0.005162 0.098174
-0.005219 0.100457
-0.005211 0.102740
-0.005277 0.105023
-0.005269 0.107306
-0.005331 0.109589
-0.005320 0.111872
-0.005386 0.114155
-0.005379 0.116438
-0.005453 0.118721
-0.005446 0.121005
-0.005518 0.123288
-0.005509 0.125571
-0.005584 0.127854
-0.005577 0.130137
-0.005662 0.132420
-0.005656 0.134703
-0.005738 0.136986
-0.005730 0.139269
-0.005816 0.141553
-0.005811 0.143836
-0.005906 0.146119
-0.005902 0.148402
-0.005994 0.150685
-0.005989 0.152968
-0.006086 0.155251
-0.006084 0.157534
-0.006192 0.159817
-0.006190 0.162100
-0.006294 0.164384
-0.006291 0.166667
-0.006401 0.168950
-0.006402 0.171233
-0.006525 0.173516
-0.006526 0.175799
-0.006644 0.178082
-0.006645 0.180365
-0.006768 0.182648
-0.006775 0.184932
-0.006914 0.187215
-0.006919 0.189498
-0.007055 0.191781
-0.007059 0.194064
-0.007199 0.196347
-0.007213 0.198630
-0.007371 0.200913
-0.007384 0.203196
-0.007540 0.205479
-0.007550 0.207763
-0.007710 0.210046
-0.007731 0.212329
-0.007914 0.214612
-0.007936 0.216895
-0.008117 0.219178
-0.008135 0.221461
-0.008320 0.223744
-0.008352 0.226027
-0.008563 0.228311
-0.008598 0.230594
-0.008812 0.232877
-0.008842 0.235160
-0.009060 0.237443
-0.009104 0.239726
-0.009352 0.242009
-0.009404 0.244292
-0.009660 0.246575
-0.009707 0.248858
-0.009968 0.251142
-0.010030 0.253425
-0.010328 0.255708
-0.010403 0.257991
-0.010713 0.260274
-0.010787 0.262557
-0.011105 0.264840
-0.011194 0.267123
-0.011557 0.269406
-0.011667 0.271689
-0.012050 0.273973
-0.012164 0.276256
-0.012558 0.278539
-0.012691 0.280822
-0.013141 0.283105
-0.013303 0.285388
-0.013783 0.287671
-0.013960 0.289954
-0.014457 0.292237
-0.014660 0.294521
-0.015226 0.296804
-0.015474 0.299087
-0.016086 0.301370
-0.016352 0.303653
-0.016984 0.305936
-0.017323 0.308219
-0.018045 0.310502
-0.018392 0.312785
-0.019174 0.315068
-0.019637 0.317352
-0.020450 0.319635
-0.020912 0.321918
-0.021814 0.324201
-0.022498 0.326484
-0.023492 0.328767
-0.024058 0.331050
-0.025124 0.333333
-0.025906 0.335616
-0.026999 0.337900
-0.028069 0.340183
-0.029236 0.342466
-0.030317 0.344749
-0.031710 0.347032
-0.032410 0.349315
-0.033571 0.351598
-0.036027 0.353881
-0.037533 0.356164
-0.037779 0.358447
-0.039034 0.360731
-0.042233 0.363014
-0.043655 0.365297
-0.044307 0.367580
-0.045569 0.369863
-0.048775 0.372146
-0.049894 0.374429
-0.051506 0.376712
-0.052209 0.378995
-0.055243 0.381279
-0.055736 0.383562
-0.057976 0.385845
-0.057689 0.388128
-0.060293 0.390411
-0.059603 0.392694
-0.061680 0.394977
-0.060126 0.397260
-0.061725 0.399543
-0.059494 0.401826
-0.060413 0.404110
-0.057407 0.406393
