title="d2z6      Re=80000     iterations=40001 "
 zone t="d2z6"variables=X,v/U
0.001370 0.000000
0.004110 0.000365
0.006849 0.003360
0.009589 0.005897
0.012329 0.008786
0.015068 0.010428
0.017808 0.011351
0.020548 0.012800
0.023288 0.013309
0.026027 0.013336
0.028767 0.014143
0.031507 0.014230
0.034247 0.013929
0.036986 0.014524
0.039726 0.014499
0.042466 0.014093
0.045205 0.014626
0.047945 0.014589
0.050685 0.014148
0.053425 0.014660
0.056164 0.014637
0.058904 0.014181
0.061644 0.014683
0.064384 0.014680
0.067123 0.014215
0.069863 0.014708
0.072603 0.014724
0.075342 0.014253
0.078082 0.014736
0.080822 0.014770
0.083562 0.014295
0.086301 0.014768
0.089041 0.014819
0.091781 0.014343
0.094521 0.014803
0.097260 0.014870
0.100000 0.014395
0.102740 0.014842
0.105479 0.014924
0.108219 0.014452
0.110959 0.014885
0.113699 0.014981
0.116438 0.014513
0.119178 0.014930
0.121918 0.015041
0.124658 0.014579
0.127397 0.014978
0.130137 0.015103
0.132877 0.014648
0.135616 0.015030
0.138356 0.015167
0.141096 0.014721
0.143836 0.015084
0.146575 0.015235
0.149315 0.014798
0.152055 0.015141
0.154795 0.015305
0.157534 0.014877
0.160274 0.015200
0.163014 0.015377
0.165753 0.014960
0.168493 0.015262
0.171233 0.015452
0.173973 0.015045
0.176712 0.015326
0.179452 0.015529
0.182192 0.015134
0.184932 0.015393
0.187671 0.015610
0.190411 0.015225
0.193151 0.015464
0.195890 0.015693
0.198630 0.015321
0.201370 0.015538
0.204110 0.015780
0.206849 0.015420
0.209589 0.015617
0.212329 0.015872
0.215068 0.015526
0.217808 0.015703
0.220548 0.015970
0.223288 0.015639
0.226027 0.015797
0.228767 0.016077
0.231507 0.015764
0.234247 0.015905
0.236986 0.016195
0.239726 0.015908
0.242466 0.016025
0.245205 0.016345
0.247945 0.016056
0.250685 0.016205
0.253425 0.016477
0.256164 0.016299
0.258904 0.016352
0.261644 0.016733
0.264384 0.016513
0.267123 0.016628
0.269863 0.017002
0.272603 0.016830
0.275342 0.016995
0.278082 0.017339
0.280822 0.017309
0.283562 0.017431
0.286301 0.017887
0.289041 0.017898
0.291781 0.018115
0.294521 0.018614
0.297260 0.018776
0.300000 0.019063
0.302740 0.019709
0.305479 0.020006
0.308219 0.020526
0.310959 0.021356
0.313699 0.022131
0.316438 0.023095
0.319178 0.024282
0.321918 0.024455
0.324658 0.023611
0.327397 0.022491
0.330137 0.021876
0.332877 0.022047
0.335616 0.022829
0.338356 0.023530
0.341096 0.024402
0.343836 0.025800
0.346575 0.027407
0.349315 0.029263
0.352055 0.031824
0.354795 0.034528
0.357534 0.037538
0.360274 0.041048
0.363014 0.044775
0.365753 0.048699
0.368493 0.053114
0.371233 0.057630
0.373973 0.062350
0.376712 0.067370
0.379452 0.072478
0.382192 0.077541
0.384932 0.082828
0.387671 0.087929
0.390411 0.092855
0.393151 0.097701
0.395890 0.102250
0.398630 0.106322
0.401370 0.110261
0.404110 0.113709
0.406849 0.116707
0.409589 0.119488
0.412329 0.121902
0.415068 0.123906
0.417808 0.125821
0.420548 0.127368
0.423288 0.128620
0.426027 0.129674
0.428767 0.130310
0.431507 0.130448
0.434247 0.130243
