Itterate ,RMS_Error ,MAX_ABS_U_Error ,MAX_ABS_U_Error_position_R ,MAX_ABS_U_Error_position_C ,MAX_ABS_V_Error ,MAX_ABS_V_Error_position_R ,MAX_ABS_V_Error_position_C ,MAX_RS_Error ,MAX_RS_Error_Position_R ,MAX_RS_Error_Position_C ,Bulk_Velocity_ABS_Error ,Bulk_Velocity_ABS_Error_Position_R ,Bulk_Velocity_ABS_Error_Position_C
1000,1.0,0.0018208903270284366,127,2,0.0033547090142085545,127,128,1.0,2,2,1.3502119761752616e-5,127,128
2000,0.7247325904967961,0.002328545198692096,128,13,0.0014947693091093316,126,128,16.765714304061316,127,17,1.2870953319745035e-5,128,13
3000,0.7030772453983876,0.0029272140372748143,128,14,0.0021218838414355833,128,16,21.25995177030662,2,94,1.9463483953699936e-5,128,27
4000,1.4639414345210329,0.00718177542944173,128,30,0.005035506305485757,128,31,47.54738372172357,10,11,0.00010015775014785564,128,30
5000,1.000084888572312,4181.932075464979,41,47,2426.414143815378,41,47,1.5069176709559524,83,46,2.337604183951909e7,41,47
6000,NaN,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0
