title="d2z6      Re=38000     iterations=200001 "
 zone t="d2z6"variables=u/U,Y
-0.000046 0.000000
-0.033146 0.002283
-0.098453 0.004566
-0.155121 0.006849
-0.192827 0.009132
-0.215178 0.011416
-0.232950 0.013699
-0.250436 0.015982
-0.267221 0.018265
-0.282170 0.020548
-0.294983 0.022831
-0.305698 0.025114
-0.315410 0.027397
-0.323212 0.029680
-0.332557 0.031963
-0.339265 0.034247
-0.347564 0.036530
-0.351623 0.038813
-0.353943 0.041096
-0.352218 0.043379
-0.345950 0.045662
-0.338330 0.047945
-0.326253 0.050228
-0.315742 0.052511
-0.302537 0.054795
-0.292334 0.057078
-0.281054 0.059361
-0.272837 0.061644
-0.264355 0.063927
-0.258442 0.066210
-0.252464 0.068493
-0.248564 0.070776
-0.244513 0.073059
-0.242195 0.075342
-0.239548 0.077626
-0.238397 0.079909
-0.236729 0.082192
-0.236367 0.084475
-0.235335 0.086758
-0.235435 0.089041
-0.234766 0.091324
-0.235067 0.093607
-0.234564 0.095890
-0.234897 0.098174
-0.234444 0.100457
-0.234736 0.102740
-0.234289 0.105023
-0.234558 0.107306
-0.234131 0.109589
-0.234459 0.111872
-0.234101 0.114155
-0.234596 0.116438
-0.234356 0.118721
-0.235102 0.121005
-0.235015 0.123288
-0.236037 0.125571
-0.236090 0.127854
-0.237320 0.130137
-0.237458 0.132420
-0.238729 0.134703
-0.238851 0.136986
-0.239931 0.139269
-0.239928 0.141553
-0.240587 0.143836
-0.240367 0.146119
-0.240460 0.148402
-0.239994 0.150685
-0.239529 0.152968
-0.238855 0.155251
-0.238000 0.157534
-0.237229 0.159817
-0.236269 0.162100
-0.235532 0.164384
-0.234786 0.166667
-0.234204 0.168950
-0.233910 0.171233
-0.233534 0.173516
-0.233754 0.175799
-0.233550 0.178082
-0.234150 0.180365
-0.234010 0.182648
-0.234748 0.184932
-0.234558 0.187215
-0.235189 0.189498
-0.234854 0.191781
-0.235264 0.194064
-0.234767 0.196347
-0.234862 0.198630
-0.234180 0.200913
-0.234123 0.203196
-0.233317 0.205479
-0.232878 0.207763
-0.231884 0.210046
-0.231617 0.212329
-0.230558 0.214612
-0.229559 0.216895
-0.228255 0.219178
-0.228002 0.221461
-0.226660 0.223744
-0.224934 0.226027
-0.223306 0.228311
-0.223083 0.230594
-0.221367 0.232877
-0.218991 0.235160
-0.217077 0.237443
-0.216558 0.239726
-0.214425 0.242009
-0.211887 0.244292
-0.209692 0.246575
-0.208481 0.248858
-0.205995 0.251142
-0.203571 0.253425
-0.200999 0.255708
-0.199118 0.257991
-0.196313 0.260274
-0.193662 0.262557
-0.190649 0.264840
-0.188292 0.267123
-0.185092 0.269406
-0.181837 0.271689
-0.178372 0.273973
-0.175621 0.276256
-0.172021 0.278539
-0.167933 0.280822
-0.164026 0.283105
-0.161117 0.285388
-0.157163 0.287671
-0.152057 0.289954
-0.147761 0.292237
-0.144993 0.294521
-0.140726 0.296804
-0.134471 0.299087
-0.129845 0.301370
-0.127451 0.303653
-0.122905 0.305936
-0.115435 0.308219
-0.110547 0.310502
-0.108647 0.312785
-0.103871 0.315068
-0.095235 0.317352
-0.090186 0.319635
-0.088804 0.321918
-0.083871 0.324201
-0.074287 0.326484
-0.069220 0.328767
-0.068240 0.331050
-0.063253 0.333333
-0.053173 0.335616
-0.048252 0.337900
-0.047416 0.340183
-0.042520 0.342466
-0.032541 0.344749
-0.027918 0.347032
-0.026966 0.349315
-0.022337 0.351598
-0.012999 0.353881
-0.008791 0.356164
-0.007583 0.358447
-0.003365 0.360731
0.004993 0.363014
0.008741 0.365297
0.010228 0.367580
0.013987 0.369863
0.021286 0.372146
0.024624 0.374429
0.026357 0.376712
0.029720 0.378995
0.036065 0.381279
0.039091 0.383562
0.041051 0.385845
0.044116 0.388128
0.049626 0.390411
0.052401 0.392694
0.054566 0.394977
0.057356 0.397260
0.062094 0.399543
0.064602 0.401826
0.066845 0.404110
0.069291 0.406393
0.073303 0.408676
0.075462 0.410959
0.077589 0.413242
0.079612 0.415525
0.082936 0.417808
0.084678 0.420091
0.086535 0.422374
0.088102 0.424658
0.090815 0.426941
0.092141 0.429224
0.093637 0.431507
0.094781 0.433790
0.097017 0.436073
0.097977 0.438356
0.099102 0.440639
0.099912 0.442922
0.101766 0.445205
0.102427 0.447489
0.103257 0.449772
0.103804 0.452055
0.105276 0.454338
0.105667 0.456621
0.106239 0.458904
0.106498 0.461187
0.107480 0.463470
0.107523 0.465753
0.107704 0.468037
0.107544 0.470320
0.107869 0.472603
0.107460 0.474886
0.107183 0.477169
0.106626 0.479452
0.106423 0.481735
0.105755 0.484018
0.105283 0.486301
0.104573 0.488584
0.104121 0.490868
0.103315 0.493151
0.102611 0.495434
0.101654 0.497717
0.100775 0.500000
0.099646 0.502283
0.098556 0.504566
0.097334 0.506849
0.096184 0.509132
0.094987 0.511416
0.093928 0.513699
0.092850 0.515982
0.091959 0.518265
0.091054 0.520548
0.090339 0.522831
0.089583 0.525114
0.089040 0.527397
0.088406 0.529680
0.087969 0.531963
0.087420 0.534247
0.087052 0.536530
0.086562 0.538813
0.086270 0.541096
0.085826 0.543379
0.085584 0.545662
0.085193 0.547945
0.085003 0.550228
0.084660 0.552511
0.084562 0.554795
0.084277 0.557078
0.084261 0.559361
0.084041 0.561644
0.084121 0.563927
0.083964 0.566210
0.084179 0.568493
0.084080 0.570776
0.084395 0.573059
0.084340 0.575342
0.084718 0.577626
0.084671 0.579909
0.085071 0.582192
0.084996 0.584475
0.085306 0.586758
0.085166 0.589041
0.085313 0.591324
0.085082 0.593607
0.085061 0.595890
0.084738 0.598174
0.084530 0.600457
0.084134 0.602740
0.083793 0.605023
0.083349 0.607306
0.082972 0.609589
0.082515 0.611872
0.082136 0.614155
0.081690 0.616438
0.081369 0.618721
0.080954 0.621005
0.080773 0.623288
0.080407 0.625571
0.080375 0.627854
0.080066 0.630137
0.080219 0.632420
0.079959 0.634703
0.080339 0.636986
0.080120 0.639269
0.080673 0.641553
0.080462 0.643836
0.081152 0.646119
0.080912 0.648402
0.081711 0.650685
0.081404 0.652968
0.082202 0.655251
0.081786 0.657534
0.082512 0.659817
0.081951 0.662100
0.082547 0.664384
0.081821 0.666667
0.082138 0.668950
0.081221 0.671233
0.081144 0.673516
0.080042 0.675799
0.079478 0.678082
0.078225 0.680365
0.077060 0.682648
0.075724 0.684932
0.073989 0.687215
0.072673 0.689498
0.070548 0.691781
0.069373 0.694064
0.067017 0.696347
0.066066 0.698630
0.063717 0.700913
0.063063 0.703196
0.060887 0.705479
0.060565 0.707763
0.058635 0.710046
0.058658 0.712329
0.056987 0.714612
0.057358 0.716895
0.056048 0.719178
0.056774 0.721461
0.055710 0.723744
0.056760 0.726027
0.056032 0.728311
0.057396 0.730594
0.056940 0.732877
0.058589 0.735160
0.058443 0.737443
0.060341 0.739726
0.060395 0.742009
0.062505 0.744292
0.062902 0.746575
0.065202 0.748858
0.065743 0.751142
0.068172 0.753425
0.069001 0.755708
0.071536 0.757991
0.072521 0.760274
0.075110 0.762557
0.076345 0.764840
0.078938 0.767123
0.080256 0.769406
0.082799 0.771689
0.084371 0.773973
0.086821 0.776256
0.088434 0.778539
0.090738 0.780822
0.092489 0.783105
0.094636 0.785388
0.096443 0.787671
0.098444 0.789954
0.100300 0.792237
0.102192 0.794521
0.104031 0.796804
0.105873 0.799087
0.107766 0.801370
0.109616 0.803653
0.111479 0.805936
0.113366 0.808219
0.115220 0.810502
0.117161 0.812785
0.119039 0.815068
0.121014 0.817352
0.122867 0.819635
0.124861 0.821918
0.126681 0.824201
0.128661 0.826484
0.130493 0.828767
0.132434 0.831050
0.134214 0.833333
0.136099 0.835616
0.137822 0.837900
0.139639 0.840183
0.141342 0.842466
0.143061 0.844749
0.144677 0.847032
0.146308 0.849315
0.147828 0.851598
0.149339 0.853881
0.150797 0.856164
0.152178 0.858447
0.153503 0.860731
0.154757 0.863014
0.155948 0.865297
0.157074 0.867580
0.158185 0.869863
0.159188 0.872146
0.160195 0.874429
0.161149 0.876712
0.162126 0.878995
0.163087 0.881279
0.164179 0.883562
0.165231 0.885845
0.166508 0.888128
0.167770 0.890411
0.169361 0.892694
0.170892 0.894977
0.172929 0.897260
0.174766 0.899543
0.177242 0.901826
0.179420 0.904110
0.182343 0.906393
0.184819 0.908676
0.188182 0.910959
0.190913 0.913242
0.194608 0.915525
0.197574 0.917808
0.201552 0.920091
0.204689 0.922374
0.208930 0.924658
0.212207 0.926941
0.216634 0.929224
0.220049 0.931507
0.224656 0.933790
0.228163 0.936073
0.232954 0.938356
0.236508 0.940639
0.241354 0.942922
0.244810 0.945205
0.249475 0.947489
0.252367 0.949772
0.256169 0.952055
0.257632 0.954338
0.259588 0.956621
0.258829 0.958904
0.258320 0.961187
0.254989 0.963470
0.251764 0.965753
0.245958 0.968037
0.240489 0.970320
0.233451 0.972603
0.227759 0.974886
0.221943 0.977169
0.219372 0.979452
0.220406 0.981735
0.233537 0.984018
0.268347 0.986301
0.348151 0.988584
0.492395 0.990868
0.706242 0.993151
0.912573 0.995434
