title="d2z6      Re=38000     iterations=70001 "
 zone t="d2z6"variables=u/U,Y
-0.000021 0.000000
-0.013101 0.002283
-0.038449 0.004566
-0.064185 0.006849
-0.087405 0.009132
-0.113987 0.011416
-0.135313 0.013699
-0.158893 0.015982
-0.173693 0.018265
-0.186752 0.020548
-0.192564 0.022831
-0.195671 0.025114
-0.196313 0.027397
-0.195500 0.029680
-0.194852 0.031963
-0.192871 0.034247
-0.192081 0.036530
-0.189572 0.038813
-0.189050 0.041096
-0.186281 0.043379
-0.185922 0.045662
-0.182684 0.047945
-0.182222 0.050228
-0.178311 0.052511
-0.177556 0.054795
-0.172896 0.057078
-0.171700 0.059361
-0.166263 0.061644
-0.164477 0.063927
-0.158324 0.066210
-0.155806 0.068493
-0.149031 0.070776
-0.145678 0.073059
-0.138519 0.075342
-0.134326 0.077626
-0.127060 0.079909
-0.122141 0.082192
-0.115162 0.084475
-0.109750 0.086758
-0.103365 0.089041
-0.097762 0.091324
-0.092254 0.093607
-0.086765 0.095890
-0.082181 0.098174
-0.077040 0.100457
-0.073394 0.102740
-0.068750 0.105023
-0.065874 0.107306
-0.061796 0.109589
-0.059643 0.111872
-0.056155 0.114155
-0.054560 0.116438
-0.051647 0.118721
-0.050585 0.121005
-0.048201 0.123288
-0.047486 0.125571
-0.045553 0.127854
-0.045147 0.130137
-0.043599 0.132420
-0.043368 0.134703
-0.042210 0.136986
-0.042294 0.139269
-0.041663 0.141553
-0.042208 0.143836
-0.042358 0.146119
-0.043716 0.148402
-0.044900 0.150685
-0.047212 0.152968
-0.049515 0.155251
-0.052787 0.157534
-0.055983 0.159817
-0.059754 0.162100
-0.063299 0.164384
-0.066911 0.166667
-0.070124 0.168950
-0.072848 0.171233
-0.075267 0.173516
-0.076905 0.175799
-0.078545 0.178082
-0.079361 0.180365
-0.080565 0.182648
-0.081134 0.184932
-0.082238 0.187215
-0.082846 0.189498
-0.083998 0.191781
-0.084817 0.194064
-0.086026 0.196347
-0.086917 0.198630
-0.088131 0.200913
-0.089135 0.203196
-0.090330 0.205479
-0.091295 0.207763
-0.092459 0.210046
-0.093560 0.212329
-0.094701 0.214612
-0.095791 0.216895
-0.096908 0.219178
-0.098176 0.221461
-0.099258 0.223744
-0.100533 0.226027
-0.101571 0.228311
-0.103003 0.230594
-0.103975 0.232877
-0.105404 0.235160
-0.106294 0.237443
-0.107831 0.239726
-0.108610 0.242009
-0.110100 0.244292
-0.110739 0.246575
-0.112269 0.248858
-0.112737 0.251142
-0.114104 0.253425
-0.114348 0.255708
-0.115665 0.257991
-0.115664 0.260274
-0.116578 0.262557
-0.116258 0.264840
-0.117024 0.267123
-0.116389 0.269406
-0.116407 0.271689
-0.115400 0.273973
-0.115194 0.276256
-0.113848 0.278539
-0.112641 0.280822
-0.110985 0.283105
-0.109488 0.285388
-0.107553 0.287671
-0.105160 0.289954
-0.103072 0.292237
-0.100338 0.294521
-0.098123 0.296804
-0.094880 0.299087
-0.092671 0.301370
-0.089166 0.303653
-0.087014 0.305936
-0.083360 0.308219
-0.081342 0.310502
-0.077656 0.312785
-0.075833 0.315068
