title="d2z6      Re=38000     iterations=80001 "
 zone t="d2z6"variables=u/U,Y
-0.000014 0.000000
-0.007957 0.002283
-0.022905 0.004566
-0.035538 0.006849
-0.046012 0.009132
-0.056963 0.011416
-0.066894 0.013699
-0.083541 0.015982
-0.097578 0.018265
-0.124360 0.020548
-0.143054 0.022831
-0.176819 0.025114
-0.195709 0.027397
-0.226366 0.029680
-0.239957 0.031963
-0.260365 0.034247
-0.267610 0.036530
-0.279345 0.038813
-0.282534 0.041096
-0.288625 0.043379
-0.288440 0.045662
-0.288398 0.047945
-0.284744 0.050228
-0.278997 0.052511
-0.273363 0.054795
-0.265561 0.057078
-0.260255 0.059361
-0.254646 0.061644
-0.251259 0.063927
-0.250116 0.066210
-0.248492 0.068493
-0.250517 0.070776
-0.249362 0.073059
-0.251650 0.075342
-0.249815 0.077626
-0.250119 0.079909
-0.247263 0.082192
-0.245198 0.084475
-0.241576 0.086758
-0.237887 0.089041
-0.233813 0.091324
-0.229215 0.093607
-0.224802 0.095890
-0.219451 0.098174
-0.214695 0.100457
-0.208494 0.102740
-0.203424 0.105023
-0.196289 0.107306
-0.190988 0.109589
-0.183040 0.111872
-0.177613 0.114155
-0.169007 0.116438
-0.163550 0.118721
-0.154506 0.121005
-0.149099 0.123288
-0.139773 0.125571
-0.134490 0.127854
-0.125064 0.130137
-0.119981 0.132420
-0.110601 0.134703
-0.105801 0.136986
-0.096638 0.139269
-0.092195 0.141553
-0.083396 0.143836
-0.079363 0.146119
-0.071049 0.148402
-0.067435 0.150685
-0.059654 0.152968
-0.056411 0.155251
-0.049133 0.157534
-0.046164 0.159817
-0.039288 0.162100
-0.036494 0.164384
-0.029937 0.166667
-0.027282 0.168950
-0.021096 0.171233
-0.018683 0.173516
-0.013151 0.175799
-0.011237 0.178082
-0.006840 0.180365
-0.005748 0.182648
-0.002971 0.184932
-0.002943 0.187215
-0.002019 0.189498
-0.003092 0.191781
-0.003905 0.194064
-0.005894 0.196347
-0.007910 0.198630
-0.010394 0.200913
-0.012466 0.203196
-0.014663 0.205479
-0.014953 0.207763
-0.015976 0.210046
-0.013555 0.212329
-0.013185 0.214612
-0.009027 0.216895
-0.007883 0.219178
-0.004324 0.221461
-0.003238 0.223744
-0.001751 0.226027
-0.001325 0.228311
-0.003003 0.230594
-0.003503 0.232877
-0.007310 0.235160
-0.008631 0.237443
-0.014607 0.239726
-0.016539 0.242009
-0.022363 0.244292
-0.024640 0.246575
-0.031788 0.248858
-0.034305 0.251142
-0.040128 0.253425
-0.042686 0.255708
-0.049273 0.257991
-0.051745 0.260274
-0.056446 0.262557
-0.058739 0.264840
-0.063797 0.267123
-0.065858 0.269406
-0.069236 0.271689
-0.071085 0.273973
-0.074770 0.276256
-0.076382 0.278539
