title="d2z6      Re=38000     iterations=160001 "
 zone t="d2z6"variables=u/U,Y
-0.000043 0.000000
-0.022451 0.002283
-0.062549 0.004566
-0.101063 0.006849
-0.134901 0.009132
-0.174381 0.011416
-0.206049 0.013699
-0.240303 0.015982
-0.261713 0.018265
-0.276791 0.020548
-0.282738 0.022831
-0.280585 0.025114
-0.280998 0.027397
-0.279333 0.029680
-0.283087 0.031963
-0.285293 0.034247
-0.290067 0.036530
-0.292276 0.038813
-0.296322 0.041096
-0.297295 0.043379
-0.299466 0.045662
-0.298215 0.047945
-0.297906 0.050228
-0.294222 0.052511
-0.291045 0.054795
-0.284565 0.057078
-0.278018 0.059361
-0.268404 0.061644
-0.258686 0.063927
-0.246512 0.066210
-0.234812 0.068493
-0.221387 0.070776
-0.209084 0.073059
-0.195629 0.075342
-0.183638 0.077626
-0.170892 0.079909
-0.159675 0.082192
-0.148005 0.084475
-0.137788 0.086758
-0.127272 0.089041
-0.118116 0.091324
-0.108968 0.093607
-0.101276 0.095890
-0.094623 0.098174
-0.089707 0.100457
-0.087134 0.102740
-0.086125 0.105023
-0.087592 0.107306
-0.090008 0.109589
-0.093583 0.111872
-0.097776 0.114155
-0.100694 0.116438
-0.104921 0.118721
-0.106593 0.121005
-0.111094 0.123288
-0.115926 0.125571
-0.122530 0.127854
-0.131491 0.130137
-0.139049 0.132420
-0.147815 0.134703
-0.154488 0.136986
-0.160800 0.139269
-0.165823 0.141553
-0.169146 0.143836
-0.172264 0.146119
-0.172866 0.148402
-0.174489 0.150685
-0.173617 0.152968
-0.174833 0.155251
-0.174061 0.157534
-0.175884 0.159817
-0.176000 0.162100
-0.178674 0.164384
-0.179477 0.166667
-0.182702 0.168950
-0.183742 0.171233
-0.187213 0.173516
-0.188233 0.175799
-0.191789 0.178082
-0.192680 0.180365
-0.196229 0.182648
-0.196937 0.184932
-0.200406 0.187215
-0.200888 0.189498
-0.204197 0.191781
-0.204404 0.194064
-0.207453 0.196347
-0.207325 0.198630
-0.209979 0.200913
-0.209441 0.203196
-0.211542 0.205479
-0.210517 0.207763
-0.211910 0.210046
-0.210354 0.212329
-0.210941 0.214612
-0.208862 0.216895
-0.208652 0.219178
-0.206118 0.221461
-0.205241 0.223744
-0.202372 0.226027
-0.201025 0.228311
-0.197935 0.230594
-0.196312 0.232877
-0.193077 0.235160
-0.191266 0.237443
-0.187902 0.239726
-0.185868 0.242009
-0.182346 0.244292
-0.179958 0.246575
-0.176240 0.248858
-0.173393 0.251142
-0.169491 0.253425
-0.166146 0.255708
-0.162111 0.257991
-0.158350 0.260274
-0.154250 0.262557
-0.150166 0.264840
-0.146092 0.267123
-0.141806 0.269406
-0.137792 0.271689
-0.133370 0.273973
-0.129520 0.276256
-0.125060 0.278539
-0.121319 0.280822
-0.116837 0.283105
-0.113421 0.285388
-0.109039 0.287671
-0.105667 0.289954
-0.101336 0.292237
-0.098509 0.294521
-0.094385 0.296804
-0.091347 0.299087
-0.087279 0.301370
-0.085105 0.303653
-0.081273 0.305936
-0.078385 0.308219
-0.074540 0.310502
-0.072937 0.312785
-0.069262 0.315068
-0.066327 0.317352
-0.062570 0.319635
-0.061356 0.321918
-0.057685 0.324201
-0.054637 0.326484
-0.050918 0.328767
-0.049919 0.331050
-0.046202 0.333333
-0.043260 0.335616
-0.039689 0.337900
-0.038534 0.340183
-0.034794 0.342466
-0.032451 0.344749
-0.029007 0.347032
-0.027409 0.349315
-0.023836 0.351598
-0.022083 0.353881
-0.018704 0.356164
-0.017067 0.358447
-0.013814 0.360731
-0.012279 0.363014
-0.009195 0.365297
-0.007768 0.367580
-0.004886 0.369863
-0.003524 0.372146
-0.000835 0.374429
0.000455 0.376712
0.002975 0.378995
0.004226 0.381279
0.006600 0.383562
0.007824 0.385845
0.010097 0.388128
0.011329 0.390411
0.013539 0.392694
0.014773 0.394977
0.016951 0.397260
0.018212 0.399543
0.020389 0.401826
0.021669 0.404110
0.023855 0.406393
0.025152 0.408676
0.027344 0.410959
0.028635 0.413242
0.030825 0.415525
0.032113 0.417808
0.034288 0.420091
0.035521 0.422374
0.037648 0.424658
0.038828 0.426941
0.040891 0.429224
0.041952 0.431507
0.043907 0.433790
0.044864 0.436073
0.046675 0.438356
0.047408 0.440639
0.049026 0.442922
0.049621 0.445205
0.051019 0.447489
0.051285 0.449772
0.052406 0.452055
0.052520 0.454338
0.053362 0.456621
0.053075 0.458904
0.053609 0.461187
0.053215 0.463470
0.053452 0.465753
0.052611 0.468037
0.052555 0.470320
0.051678 0.472603
0.051354 0.474886
0.050066 0.477169
0.049495 0.479452
0.048187 0.481735
0.047390 0.484018
0.045795 0.486301
0.044827 0.488584
0.043219 0.490868
0.042093 0.493151
0.040329 0.495434
0.039106 0.497717
0.037379 0.500000
0.036102 0.502283
0.034346 0.504566
0.033050 0.506849
0.031397 0.509132
0.030141 0.511416
0.028551 0.513699
0.027364 0.515982
0.025979 0.518265
0.024904 0.520548
0.023595 0.522831
0.022647 0.525114
0.021646 0.527397
0.020872 0.529680
0.019955 0.531963
0.019349 0.534247
0.018772 0.536530
0.018370 0.538813
0.017903 0.541096
0.017715 0.543379
0.017606 0.545662
0.017635 0.547945
0.017630 0.550228
0.017885 0.552511
0.018233 0.554795
0.018704 0.557078
0.019155 0.559361
0.019800 0.561644
0.020502 0.563927
0.021264 0.566210
0.022029 0.568493
0.022844 0.570776
0.023728 0.573059
0.024545 0.575342
0.025396 0.577626
0.026250 0.579909
0.027228 0.582192
0.028213 0.584475
0.029203 0.586758
0.030343 0.589041
0.031482 0.591324
0.032757 0.593607
0.033884 0.595890
0.035190 0.598174
0.036385 0.600457
0.037653 0.602740
0.038699 0.605023
0.039891 0.607306
0.041038 0.609589
0.042210 0.611872
0.043176 0.614155
0.044284 0.616438
0.045387 0.618721
0.046481 0.621005
0.047373 0.623288
0.048363 0.625571
0.049382 0.627854
0.050278 0.630137
0.050970 0.632420
0.051687 0.634703
0.052534 0.636986
0.053179 0.639269
