title="d2z6      Re=38000     iterations=140001 "
 zone t="d2z6"variables=X,v/U
0.001370 0.000000
0.004110 0.009243
0.006849 0.044447
0.009589 0.073448
0.012329 0.094611
0.015068 0.108180
0.017808 0.115547
0.020548 0.119010
0.023288 0.119970
0.026027 0.119305
0.028767 0.118135
0.031507 0.116604
0.034247 0.114792
0.036986 0.113233
0.039726 0.111747
0.042466 0.110274
0.045205 0.109142
0.047945 0.108039
0.050685 0.106850
0.053425 0.105813
0.056164 0.104677
0.058904 0.103418
0.061644 0.102293
0.064384 0.101137
0.067123 0.099959
0.069863 0.098972
0.072603 0.098012
0.075342 0.097100
0.078082 0.096343
0.080822 0.095648
0.083562 0.094957
0.086301 0.094455
0.089041 0.093980
0.091781 0.093680
0.094521 0.093611
0.097260 0.093901
0.100000 0.094558
0.102740 0.095876
0.105479 0.097776
0.108219 0.100436
0.110959 0.103826
0.113699 0.108003
0.116438 0.112811
0.119178 0.118335
0.121918 0.124394
0.124658 0.130963
0.127397 0.137941
0.130137 0.145314
0.132877 0.152913
0.135616 0.160764
0.138356 0.168776
0.141096 0.176875
0.143836 0.185022
0.146575 0.193212
0.149315 0.201335
0.152055 0.209399
0.154795 0.217395
0.157534 0.225246
0.160274 0.232959
0.163014 0.240554
0.165753 0.247972
0.168493 0.255233
0.171233 0.262391
0.173973 0.269421
0.176712 0.276387
0.179452 0.283314
0.182192 0.289911
0.184932 0.295612
0.187671 0.299907
0.190411 0.302693
0.193151 0.304312
0.195890 0.304849
0.198630 0.303773
0.201370 0.300562
0.204110 0.295091
0.206849 0.287254
0.209589 0.276952
0.212329 0.264654
0.215068 0.251586
0.217808 0.239115
0.220548 0.227897
0.223288 0.217983
0.226027 0.208996
0.228767 0.201012
0.231507 0.193314
0.234247 0.186690
0.236986 0.179784
0.239726 0.174293
0.242466 0.168039
0.245205 0.163370
0.247945 0.157940
0.250685 0.153699
0.253425 0.149235
0.256164 0.145312
0.258904 0.141668
0.261644 0.138225
0.264384 0.135181
0.267123 0.132342
0.269863 0.129811
0.272603 0.127576
0.275342 0.125545
0.278082 0.123823
0.280822 0.122283
0.283562 0.120961
0.286301 0.119817
0.289041 0.118826
0.291781 0.117935
0.294521 0.117198
0.297260 0.116515
0.300000 0.115976
0.302740 0.115544
0.305479 0.115313
0.308219 0.115245
0.310959 0.115503
0.313699 0.115983
0.316438 0.116815
0.319178 0.117886
0.321918 0.119244
0.324658 0.120699
0.327397 0.122317
0.330137 0.123832
0.332877 0.125281
0.335616 0.126467
0.338356 0.127438
0.341096 0.128027
0.343836 0.128424
0.346575 0.128484
0.349315 0.128441
0.352055 0.128198
0.354795 0.127998
0.357534 0.127638
0.360274 0.127448
0.363014 0.127110
0.365753 0.126978
0.368493 0.126703
0.371233 0.126720
0.373973 0.126553
0.376712 0.126771
0.379452 0.126793
0.382192 0.127204
0.384932 0.127357
0.387671 0.127847
0.390411 0.127957
0.393151 0.128289
0.395890 0.128214
0.398630 0.128241
0.401370 0.127887
0.404110 0.127535
0.406849 0.126802
0.409589 0.125946
0.412329 0.124708
0.415068 0.123278
0.417808 0.121455
0.420548 0.119464
0.423288 0.117074
0.426027 0.114562
0.428767 0.111658
0.431507 0.108699
0.434247 0.105345
0.436986 0.102009
0.439726 0.098287
0.442466 0.094641
0.445205 0.090609
0.447945 0.086711
0.450685 0.082427
0.453425 0.078309
0.456164 0.073824
0.458904 0.069524
0.461644 0.064868
0.464384 0.060412
0.467123 0.055630
0.469863 0.051036
0.472603 0.046159
0.475342 0.041459
0.478082 0.036514
0.480822 0.031734
0.483562 0.026757
0.486301 0.021924
0.489041 0.016945
0.491781 0.012096
0.494521 0.007148
0.497260 0.002320
0.500000 -0.002561
0.502740 -0.007325
0.505479 -0.012098
0.508219 -0.016753
0.510959 -0.021375
0.513699 -0.025872
0.516438 -0.030303
0.519178 -0.034595
0.521918 -0.038799
0.524658 -0.042857
0.527397 -0.046809
0.530137 -0.050622
0.532877 -0.054334
0.535616 -0.057918
0.538356 -0.061423
0.541096 -0.064825
0.543836 -0.068165
0.546575 -0.071424
0.549315 -0.074632
0.552055 -0.077743
0.554795 -0.080790
0.557534 -0.083704
0.560274 -0.086503
0.563014 -0.089122
0.565753 -0.091583
0.568493 -0.093813
0.571233 -0.095874
0.573973 -0.097694
0.576712 -0.099354
0.579452 -0.100809
0.582192 -0.102151
0.584932 -0.103335
0.587671 -0.104481
0.590411 -0.105528
0.593151 -0.106593
0.595890 -0.107627
0.598630 -0.108714
0.601370 -0.109806
0.604110 -0.110976
0.606849 -0.112149
0.609589 -0.113385
0.612329 -0.114614
0.615068 -0.115854
0.617808 -0.117049
0.620548 -0.118216
0.623288 -0.119283
0.626027 -0.120282
0.628767 -0.121166
0.631507 -0.121938
0.634247 -0.122600
0.636986 -0.123155
0.639726 -0.123596
0.642466 -0.123947
0.645205 -0.124220
0.647945 -0.124395
0.650685 -0.124525
0.653425 -0.124588
0.656164 -0.124589
0.658904 -0.124579
0.661644 -0.124511
0.664384 -0.124476
0.667123 -0.124388
0.669863 -0.124460
0.672603 -0.124445
0.675342 -0.124773
0.678082 -0.125020
0.680822 -0.125765
0.683562 -0.126426
0.686301 -0.127729
0.689041 -0.128822
0.691781 -0.130599
0.694521 -0.131987
0.697260 -0.133920
0.700000 -0.135258
0.702740 -0.136990
0.705479 -0.137926
0.708219 -0.139162
0.710959 -0.139559
0.713699 -0.140185
0.716438 -0.140048
0.719178 -0.140159
0.721918 -0.139595
0.724658 -0.139328
0.727397 -0.138549
0.730137 -0.138074
0.732877 -0.137263
0.735616 -0.136793
0.738356 -0.136104
0.741096 -0.135770
0.743836 -0.135331
0.746575 -0.135191
0.749315 -0.135019
0.752055 -0.135098
0.754795 -0.135146
0.757534 -0.135387
0.760274 -0.135609
0.763014 -0.135935
0.765753 -0.136247
0.768493 -0.136620
0.771233 -0.136948
0.773973 -0.137311
0.776712 -0.137635
0.779452 -0.137943
0.782192 -0.138219
0.784932 -0.138477
0.787671 -0.138671
0.790411 -0.138849
0.793151 -0.138974
0.795890 -0.139045
0.798630 -0.139077
0.801370 -0.139067
0.804110 -0.138981
0.806849 -0.138875
0.809589 -0.138715
0.812329 -0.138499
0.815068 -0.138263
0.817808 -0.137999
0.820548 -0.137674
0.823288 -0.137368
0.826027 -0.137031
0.828767 -0.136666
0.831507 -0.136325
0.834247 -0.135986
0.836986 -0.135610
0.839726 -0.135303
0.842466 -0.134985
0.845205 -0.134666
0.847945 -0.134411
0.850685 -0.134180
0.853425 -0.133934
0.856164 -0.133801
0.858904 -0.133669
0.861644 -0.133567
0.864384 -0.133568
0.867123 -0.133609
0.869863 -0.133659
0.872603 -0.133867
0.875342 -0.134083
0.878082 -0.134353
0.880822 -0.134757
0.883562 -0.135204
0.886301 -0.135669
0.889041 -0.136312
0.891781 -0.136946
0.894521 -0.137631
0.897260 -0.138451
0.900000 -0.139283
0.902740 -0.140114
0.905479 -0.141111
0.908219 -0.142064
0.910959 -0.143042
0.913699 -0.144148
0.916438 -0.145241
0.919178 -0.146327
0.921918 -0.147596
0.924658 -0.148836
0.927397 -0.150138
0.930137 -0.151643
0.932877 -0.153227
0.935616 -0.154930
0.938356 -0.157012
0.941096 -0.159348
0.943836 -0.162114
0.946575 -0.165677
0.949315 -0.170192
0.952055 -0.176044
0.954795 -0.184116
0.957534 -0.195064
0.960274 -0.209787
0.963014 -0.229747
0.965753 -0.255839
0.968493 -0.288070
0.971233 -0.326308
0.973973 -0.367788
0.976712 -0.406417
0.979452 -0.435643
0.982192 -0.446094
0.984932 -0.427173
0.987671 -0.375225
0.990411 -0.291081
0.993151 -0.184309
0.995890 -0.074749
