title="d2z6      Re=1000     iterations=88001 "
 zone t="d2z6"variables=X,v/U
0.004255 0.000000
0.012766 0.014709
0.021277 0.070022
0.029787 0.117878
0.038298 0.158612
0.046809 0.192557
0.055319 0.220525
0.063830 0.243510
0.072340 0.262422
0.080851 0.278197
0.089362 0.291626
0.097872 0.303234
0.106383 0.313394
0.114894 0.322323
0.123404 0.330078
0.131915 0.336658
0.140426 0.342026
0.148936 0.346115
0.157447 0.348873
0.165957 0.350272
0.174468 0.350299
0.182979 0.348972
0.191489 0.346338
0.200000 0.342463
0.208511 0.337437
0.217021 0.331370
0.225532 0.324378
0.234043 0.316587
0.242553 0.308128
0.251064 0.299125
0.259574 0.289699
0.268085 0.279961
0.276596 0.270009
0.285106 0.259930
0.293617 0.249796
0.302128 0.239663
0.310638 0.229575
0.319149 0.219566
0.327660 0.209654
0.336170 0.199852
0.344681 0.190164
0.353191 0.180588
0.361702 0.171119
0.370213 0.161746
0.378723 0.152460
0.387234 0.143248
0.395745 0.134101
0.404255 0.125006
0.412766 0.115953
0.421277 0.106935
0.429787 0.097942
0.438298 0.088968
0.446809 0.080008
0.455319 0.071056
0.463830 0.062110
0.472340 0.053166
0.480851 0.044220
0.489362 0.035272
0.497872 0.026318
0.506383 0.017358
0.514894 0.008389
0.523404 -0.000591
0.531915 -0.009583
0.540426 -0.018588
0.548936 -0.027609
0.557447 -0.036646
0.565957 -0.045703
0.574468 -0.054780
0.582979 -0.063879
0.591489 -0.073001
0.600000 -0.082146
0.608511 -0.091316
0.617021 -0.100510
0.625532 -0.109728
0.634043 -0.118968
0.642553 -0.128228
0.651064 -0.137505
0.659574 -0.146796
0.668085 -0.156096
0.676596 -0.165400
0.685106 -0.174705
0.693617 -0.184007
0.702128 -0.193304
0.710638 -0.202597
0.719149 -0.211894
0.727660 -0.221210
0.736170 -0.230569
0.744681 -0.240015
0.753191 -0.249606
0.761702 -0.259426
0.770213 -0.269586
0.778723 -0.280224
0.787234 -0.291507
0.795745 -0.303627
0.804255 -0.316780
0.812766 -0.331149
0.821277 -0.346873
0.829787 -0.363988
0.838298 -0.382372
0.846809 -0.401693
0.855319 -0.421322
0.863830 -0.440284
0.872340 -0.457286
0.880851 -0.470694
0.889362 -0.478645
0.897872 -0.479308
0.906383 -0.470986
0.914894 -0.452382
0.923404 -0.423055
0.931915 -0.383307
0.940426 -0.334396
0.948936 -0.278826
0.957447 -0.219499
0.965957 -0.159797
0.974468 -0.103323
0.982979 -0.052585
0.991489 -0.009699
1.000000 0.000000
