title="d2z6      Re=1000     iterations=88001 "
 zone t="d2z6"variables=u/U,Y
-0.000132 0.000000
-0.008006 0.007092
-0.023567 0.014184
-0.038907 0.021277
-0.053359 0.028369
-0.068330 0.035461
-0.082289 0.042553
-0.097446 0.049645
-0.111518 0.056738
-0.127255 0.063830
-0.141890 0.070922
-0.158338 0.078014
-0.173683 0.085106
-0.190643 0.092199
-0.206483 0.099291
-0.223449 0.106383
-0.239253 0.113475
-0.255497 0.120567
-0.270528 0.127660
-0.285219 0.134752
-0.298662 0.141844
-0.310985 0.148936
-0.322067 0.156028
-0.331343 0.163121
-0.339452 0.170213
-0.345243 0.177305
-0.350020 0.184397
-0.352205 0.191489
-0.353608 0.198582
-0.352400 0.205674
-0.350699 0.212766
-0.346592 0.219858
-0.342308 0.226950
-0.335977 0.234043
-0.329769 0.241135
-0.321941 0.248227
-0.314494 0.255319
-0.305839 0.262411
-0.297761 0.269504
-0.288815 0.276596
-0.280578 0.283688
-0.271710 0.290780
-0.263630 0.297872
-0.255052 0.304965
-0.247301 0.312057
-0.239092 0.319149
-0.231729 0.326241
-0.223882 0.333333
-0.216886 0.340426
-0.209342 0.347518
-0.202653 0.354610
-0.195332 0.361702
-0.188874 0.368794
-0.181699 0.375887
-0.175397 0.382979
-0.168301 0.390071
-0.162092 0.397163
-0.155026 0.404255
-0.148862 0.411348
-0.141792 0.418440
-0.135641 0.425532
-0.128548 0.432624
-0.122389 0.439716
-0.115262 0.446809
-0.109082 0.453901
-0.101918 0.460993
-0.095710 0.468085
-0.088509 0.475177
-0.082270 0.482270
-0.075032 0.489362
-0.068760 0.496454
-0.061485 0.503546
-0.055179 0.510638
-0.047868 0.517730
-0.041523 0.524823
-0.034175 0.531915
-0.027788 0.539007
-0.020399 0.546099
-0.013965 0.553191
-0.006533 0.560284
-0.000044 0.567376
0.007438 0.574468
0.013990 0.581560
0.021527 0.588652
0.028152 0.595745
0.035752 0.602837
0.042463 0.609929
0.050135 0.617021
0.056945 0.624113
0.064699 0.631206
0.071623 0.638298
0.079471 0.645390
0.086526 0.652482
0.094482 0.659574
0.101686 0.666667
0.109762 0.673759
0.117134 0.680851
0.125343 0.687943
0.132902 0.695035
0.141254 0.702128
0.149013 0.709220
0.157516 0.716312
0.165485 0.723404
0.174135 0.730496
0.182317 0.737589
0.191099 0.744681
0.199483 0.751773
0.208365 0.758865
0.216923 0.765957
0.225853 0.773050
0.234537 0.780142
0.243435 0.787234
0.252173 0.794326
0.260932 0.801418
0.269625 0.808511
0.278106 0.815603
0.286630 0.822695
0.294669 0.829787
0.302872 0.836879
0.310280 0.843972
0.317994 0.851064
0.324573 0.858156
0.331631 0.865248
0.337202 0.872340
0.343517 0.879433
0.348050 0.886525
0.353868 0.893617
0.357879 0.900709
0.364495 0.907801
0.370040 0.914894
0.381233 0.921986
0.393649 0.929078
0.417447 0.936170
0.446842 0.943262
0.495333 0.950355
0.554385 0.957447
0.637031 0.964539
0.730094 0.971631
0.837844 0.978723
0.942506 0.985816
