Itterate ,RMS_Error ,MAX_ABS_U_Error ,MAX_ABS_U_Error_position_R ,MAX_ABS_U_Error_position_C ,MAX_ABS_V_Error ,MAX_ABS_V_Error_position_R ,MAX_ABS_V_Error_position_C ,MAX_RS_Error ,MAX_RS_Error_Position_R ,MAX_RS_Error_Position_C ,Bulk_Velocity_ABS_Error ,Bulk_Velocity_ABS_Error_Position_R ,Bulk_Velocity_ABS_Error_Position_C
100,NaN,1.4044484313043604e306,43,33,1.516843656545305e308,27,62,Inf,43,33,Inf,43,33
200,0.8409354705603435,0.012535991958281943,97,54,0.00950290431134004,91,95,6.808491095337531,92,59,0.0012458542723523267,99,54
300,1.913023912428732,0.01363521577175571,95,56,0.005810357272342321,88,94,49.129689268159694,54,2,0.0012622908621706028,98,54
400,3.8290284833955606,0.007076513820876913,8,50,0.006354841937689443,85,94,168.23072869531856,25,52,0.0005044417827832475,97,76
500,1.1958935248578744,0.005301896536879257,5,53,0.0030988307416169565,77,4,12.03158372629817,2,97,0.00043795269431102027,98,78
600,0.5092211574210724,0.003384085431333639,70,67,0.004159729047577949,80,92,3.3690915416539085,22,99,0.0002832963344549385,83,93
700,3.0770569145783813,0.005408170843659795,8,50,0.003006707976059269,78,91,72.0784386077636,8,52,0.0005939161791270464,98,59
800,0.9600039229733388,0.00554120852852923,91,60,0.002226306978917271,54,7,9.123971619363251,84,67,0.0004996441892298558,96,60
900,0.5075914840591834,0.00461804847416937,67,61,0.004022570730946449,75,92,35.10280438427493,85,66,0.0005793531090041376,98,52
1000,0.35117889560337523,0.003823759785387973,97,59,0.0015409246187043065,66,4,12.664417161868583,84,67,0.0005301913521705169,99,57
1100,2.275224771022553,0.004416172406076696,90,61,0.001619304960072631,74,90,44.797853025236066,5,39,0.00041446703238983557,96,62
1200,0.40747605307910906,0.002550636691294947,61,65,0.0024165521041078983,70,90,4.043847155457844,2,14,0.00033821740451734673,98,49
1300,0.47432772968113496,0.003382488388346527,10,51,0.0013780371531290662,61,6,2.3139533251454787,12,100,0.00014065191932515625,99,64
1400,2.742284022986969,0.0034942660245586375,6,50,0.0021728731296582794,69,89,44.564002534072145,4,36,0.00020847140967011207,97,58
