Itterate ,Time ,RMS_Error ,MAX_ABS_U_Error ,MAX_ABS_U_Error_position_X ,MAX_ABS_U_Error_position_Y ,MAX_ABS_V_Error ,MAX_ABS_V_Error_position_X, MAX_ABS_V_Error_position_Y ,MAX_RS_Error ,MAX_RS_Error_Position_X ,MAX_RS_Error_Position_Y ,Bulk_Velocity_ABS_Error ,Bulk_Velocity_ABS_Error_Position_X ,Bulk_Velocity_ABS_Error_Position_Y
1001,0.323942,1,0.103201,363,437,0.0344709,1,437,1,0,437,0.0106505,363,437,
2001,0.647561,12.7862,0.0531655,81,435,0.053582,365,434,4820.41,48,346,0.00633681,73,436,
3001,0.97118,2.8351,0.0278897,353,435,0.0478459,374,416,763.55,65,311,0.00313835,373,418,
4001,1.2948,1.21267,0.034489,371,407,0.0510676,380,403,413.296,198,48,0.00423926,367,429,
5001,1.61842,0.360261,0.0341304,384,379,0.051307,385,389,83.5896,388,390,0.00391959,384,391,
6001,1.94204,0.309392,0.0501267,380,363,0.0530014,389,377,26.4659,395,369,0.00441944,388,373,
7001,2.26565,0.258461,0.0602178,383,352,0.0551147,393,369,22.1628,366,370,0.00435144,392,370,
8001,2.58927,0.407058,0.0412619,378,353,0.0547093,394,339,72.5604,334,347,0.0048018,393,343,
9001,2.91289,0.583437,0.0552582,332,370,0.0417786,388,321,99.2715,419,328,0.00767502,319,434,
10001,3.23651,0.81957,0.0442508,318,434,0.0499594,323,431,245.419,466,234,0.00909153,317,435,
11001,3.56013,0.586185,0.0427099,349,434,0.0560991,381,390,65.9912,428,310,0.00774226,392,361,
12001,3.88375,1.17329,0.0594193,391,337,0.0427524,390,334,201.044,504,158,0.00746866,391,337,
13001,4.20737,3.54063,0.0639638,376,402,0.0817169,382,399,1373.67,563,39,0.00875484,376,400,
14001,4.53098,1.46937,0.0770182,380,382,0.0795175,390,371,193.906,468,230,0.00862591,376,401,
15001,4.8546,1.17285,0.0900008,387,353,0.0734736,393,373,107.584,486,194,0.00634197,386,353,
16001,5.17822,0.932274,0.0850396,385,353,0.0710714,403,348,97.5488,360,239,0.00611317,388,354,
17001,5.50184,0.715161,0.0791135,377,335,0.063336,378,309,120.839,409,258,0.00401169,414,318,
18001,5.82546,0.817463,0.0725418,371,322,0.0804549,356,309,116.146,457,133,0.00431654,423,294,
19001,6.14908,0.648923,0.0398841,434,282,0.0749817,337,314,49.5351,318,309,0.00302044,426,278,
20001,6.4727,0.6202,0.0672289,323,330,0.0441037,444,274,123.501,304,349,0.00379148,335,335,
21001,6.79632,0.599251,0.0400764,443,249,0.0471513,331,337,105.365,459,248,0.00401596,334,333,
22001,7.11993,0.924813,0.0505752,367,335,0.0475902,344,358,217.143,53,335,0.00341876,341,353,
23001,7.44355,0.528848,0.0549196,384,311,0.0445786,456,197,79.8977,382,305,0.00322387,453,204,
24001,7.76717,0.59884,0.0445912,469,195,0.0448494,431,299,87.7796,388,291,0.0059406,422,304,
25001,8.09079,0.65878,0.0425215,431,253,0.0491331,430,300,125.913,468,230,0.0062412,422,303,
26001,8.41441,0.451635,0.0372677,431,253,0.0386683,447,250,36.2603,378,177,0.00470265,432,254,
27001,8.73803,1.03147,0.048321,443,200,0.0430632,453,212,346.556,479,208,0.0035826,454,212,
28001,9.06165,1.4426,0.0423682,443,174,0.0505797,455,185,497.934,332,239,0.00283724,454,187,
29001,9.38526,0.63066,0.040728,440,160,0.037573,451,167,87.31,487,154,0.00245859,451,178,
30001,9.70888,0.870813,0.0271968,462,156,0.0307831,488,136,266.485,314,299,0.00198119,469,198,
31001,10.0325,0.756113,0.0328047,470,144,0.0310905,473,173,94.485,556,54,0.00206855,473,183,
32001,10.3561,0.761973,0.0362505,460,134,0.0303261,356,274,115.235,469,120,0.00211309,473,161,
33001,10.6797,0.575802,0.0337879,441,120,0.0251012,366,278,45.02,557,1,0.00164353,357,434,
34001,11.0034,0.797127,0.025458,347,203,0.0192654,411,183,96.713,505,1,0.00236277,371,418,
35001,11.327,4.03342,0.0200954,343,219,0.0173332,403,178,1578.63,576,14,0.00148945,398,367,
36001,11.6506,0.565904,0.018982,402,114,0.024773,434,104,58.0987,415,1,0.00143533,403,115,
37001,11.9742,0.714393,0.0203744,386,124,0.0319819,412,100,122.419,365,321,0.00151379,389,125,
38001,12.2978,0.705141,0.0207229,466,100,0.0324268,391,102,84.6885,356,1,0.00106793,480,109,
39001,12.6215,1.23313,0.0221643,470,90,0.028588,374,106,360.371,304,1,0.00102897,497,122,
40001,12.9451,1.68259,0.0239211,476,81,0.021502,358,110,536.587,351,80,0.00137067,470,203,
41001,13.2687,0.981457,0.0260594,481,70,0.0252789,481,181,140.327,495,45,0.00180266,481,182,
42001,13.5923,0.906417,0.0273487,487,59,0.0209982,507,136,162.475,283,1,0.00141009,492,159,
43001,13.9159,0.722965,0.0277596,319,151,0.0269056,511,119,67.4695,61,319,0.00135777,510,123,
44001,14.2395,1.14563,0.0285971,498,109,0.0313812,500,83,346.695,78,285,0.00117336,516,107,
45001,14.5632,1.1256,0.0276664,493,96,0.0293209,496,65,286.857,561,44,0.00103018,521,92,
46001,14.8868,1.38223,0.0245893,283,213,0.021857,487,55,416.991,573,16,0.00091224,525,76,
47001,15.2104,1.41227,0.023471,280,232,0.0225415,469,82,360,516,134,0.00109013,520,73,
48001,15.534,0.723383,0.0228861,459,169,0.0245643,523,49,70.3392,505,10,0.00150743,506,111,
49001,15.8576,0.642225,0.0318456,526,79,0.0299269,524,113,54.6394,233,309,0.00173014,509,96,
50001,16.1813,7.34866,0.0349472,530,65,0.0331892,530,101,2912.66,553,60,0.00163571,511,82,
51001,16.5049,0.919183,0.0315194,532,51,0.0261099,536,89,141.429,564,38,0.00150656,513,69,
52001,16.8285,0.836383,0.0242635,531,38,0.022708,520,48,142.785,548,70,0.00136565,518,53,
53001,17.1521,0.90819,0.0225465,515,29,0.0204191,458,35,123.961,534,48,0.00120384,511,55,
54001,17.4757,0.723669,0.023453,528,20,0.022311,391,46,62.2836,299,360,0.0012831,508,44,
55001,17.7994,0.675769,0.0257286,532,8,0.0235884,370,54,57.5042,418,288,0.00148598,373,415,
56001,18.123,0.740686,0.0189222,354,163,0.022588,351,64,136.419,264,1,0.00107373,370,421,
57001,18.4466,0.71732,0.0187121,349,178,0.0204904,332,76,179.214,369,121,0.000904249,460,7,
58001,18.7702,0.728917,0.0147212,348,191,0.0178431,314,92,119.013,342,1,0.000804323,510,30,
59001,19.0938,0.632603,0.0167382,423,161,0.0162569,463,234,66.9436,465,233,0.000879512,454,238,
60001,19.4174,0.518212,0.0194299,432,150,0.0236308,470,221,48.6245,362,145,0.00134378,459,225,
61001,19.7411,0.555033,0.0216519,440,136,0.0302862,478,207,102.393,483,200,0.00175708,465,211,
62001,20.0647,1.61127,0.0228475,445,122,0.0351521,485,193,615.305,328,30,0.00188399,471,198,
63001,20.3883,0.595364,0.0258501,483,3,0.034294,492,179,74.8471,485,196,0.001785,478,183,
64001,20.7119,0.824306,0.0266206,465,3,0.0316619,499,165,131.041,297,41,0.00175818,483,171,
65001,21.0355,1.15806,0.0240205,438,5,0.0311219,507,149,194.626,361,3,0.00192627,491,154,
66001,21.3592,1.49981,0.0195292,410,8,0.0324649,499,135,560.394,509,148,0.00207412,499,136,
67001,21.6828,0.861961,0.0251643,521,101,0.0331174,508,114,220.19,564,38,0.00211151,507,117,
68001,22.0064,0.537459,0.0227317,523,85,0.0276945,515,95,45.1858,258,58,0.00184721,515,97,
69001,22.33,0.666421,0.026553,511,54,0.0245346,526,67,143.49,169,103,0.00121171,521,78,
70001,22.6536,0.832707,0.0296804,513,58,0.0262705,531,51,187.49,523,117,0.00139672,491,52,
71001,22.9772,1.15311,0.0253238,502,51,0.0203463,509,23,380.11,550,66,0.0013746,495,52,
72001,23.3009,0.534446,0.0224891,474,37,0.0213673,477,56,55.1437,538,76,0.00136518,256,110,
73001,23.6245,0.807595,0.0237214,453,40,0.0263278,454,60,94.5311,213,17,0.00136926,234,135,
74001,23.9481,1.44565,0.02505,541,5,0.0283914,434,59,363.188,185,71,0.00147869,427,45,
75001,24.2717,0.755327,0.0204308,435,44,0.0277844,410,60,140.832,273,155,0.00136768,399,50,
76001,24.5953,0.682452,0.0183307,459,12,0.0280584,356,68,77.4047,175,91,0.00122898,400,50,
77001,24.919,1.12517,0.0180942,428,18,0.0272765,353,74,257.186,150,141,0.00115001,363,63,
78001,25.2426,0.923284,0.0196848,511,3,0.0267387,321,88,123.155,553,60,0.00110651,404,22,
79001,25.5662,0.773311,0.0165447,375,30,0.0255526,288,106,86.433,567,1,0.00105631,377,29,
80001,25.8898,0.64622,0.0140287,348,40,0.0246988,257,128,68.62,367,1,0.000922378,351,38,
81001,26.2134,0.548553,0.0125407,226,223,0.0236631,227,154,66.8415,35,374,0.000912077,220,168,
82001,26.5371,0.647424,0.0152216,505,3,0.0206944,201,185,181.432,98,245,0.00108711,199,194,
83001,26.8607,0.796375,0.0148919,183,208,0.0160698,183,216,176.483,88,265,0.00118226,182,225,
84001,27.1843,0.587335,0.0126897,411,14,0.0130414,167,227,69.073,560,46,0.0010653,169,240,
85001,27.5079,0.624234,0.0134139,385,18,0.0129357,149,315,71.0279,168,107,0.00108566,152,310,
86001,27.8315,0.681926,0.015506,478,19,0.0127024,150,339,177.124,193,55,0.000852167,148,338,
87001,28.1551,0.900882,0.0150976,459,19,0.00974598,148,362,201.118,215,11,0.000790851,458,5,
88001,28.4788,0.649452,0.0143713,436,21,0.0122655,285,60,116.788,575,2,0.000777797,441,19,
89001,28.8024,0.893592,0.0144861,438,10,0.0151765,263,74,123.548,564,38,0.00101705,437,11,
90001,29.126,0.952623,0.0159753,413,13,0.0161524,417,28,181.467,399,1,0.00117666,412,14,
91001,29.4496,0.915146,0.0189609,375,25,0.0181124,382,21,150.618,571,24,0.00129092,377,24,
92001,29.7732,0.699985,0.0184404,350,33,0.0196214,361,26,96.2955,205,31,0.00127195,353,32,
93001,30.0969,0.672657,0.0152585,324,45,0.0185668,338,34,65.0582,339,11,0.00111082,328,43,
94001,30.4205,0.830574,0.0223698,491,3,0.0168679,494,16,230.995,380,3,0.000994977,483,26,
95001,30.7441,0.489151,0.0224644,476,3,0.0153682,288,66,48.7714,253,51,0.00114413,472,4,
96001,31.0677,1.66258,0.019638,450,19,0.0156938,265,73,627.75,564,38,0.00108569,452,18,
97001,31.3913,2.99763,0.0181649,429,20,0.0149008,243,89,1170.7,563,40,0.00101231,431,20,
98001,31.715,0.944787,0.0169705,407,23,0.0166359,293,54,199.849,80,281,0.000947034,410,22,
99001,32.0386,0.82375,0.0157281,386,26,0.0182699,275,66,113.774,398,1,0.000903392,389,25,
100001,32.3622,0.599791,0.0146544,365,30,0.0163161,258,83,53.493,132,424,0.000906206,368,29,
101001,32.6858,1.15621,0.0142488,343,35,0.0150411,353,29,316.134,168,105,0.000979794,346,34,
102001,33.0094,1.60521,0.0148782,319,44,0.0170656,330,37,460.232,207,27,0.00113757,324,42,
103001,33.333,3.93924,0.0150827,294,57,0.0181532,305,49,1536.22,137,167,0.00124748,300,54,
104001,33.6567,1.18286,0.0144529,144,227,0.0182556,279,67,339.76,165,122,0.00125294,276,70,
105001,33.9803,1.59488,0.0150532,133,248,0.0184996,255,85,469.25,272,96,0.00121598,253,88,
106001,34.3039,0.636627,0.0152567,123,268,0.0181415,232,105,48.9148,357,70,0.00110517,232,106,
107001,34.6275,0.945567,0.0151795,117,288,0.0186954,211,105,166.484,216,15,0.000911724,211,125,
108001,34.9511,0.655421,0.0147679,112,307,0.0155753,192,122,86.7158,579,4,0.000726574,192,146,
109001,35.2748,1.01923,0.0168416,281,37,0.0120472,174,170,247.295,75,291,0.000801639,286,36,
