title="d2z6      Re=37000     iterations=60001 "
 zone t="d2z6"variables=X,v/U
0.001370 0.000000
0.004110 0.001469
0.006849 0.007012
0.009589 0.011650
0.012329 0.015784
0.015068 0.019414
0.017808 0.022604
0.020548 0.025529
0.023288 0.028061
0.026027 0.030200
0.028767 0.032111
0.031507 0.033683
0.034247 0.034933
0.036986 0.036040
0.039726 0.036909
0.042466 0.037553
0.045205 0.038149
0.047945 0.038597
0.050685 0.038898
0.053425 0.039215
0.056164 0.039446
0.058904 0.039574
0.061644 0.039755
0.064384 0.039884
0.067123 0.039935
0.069863 0.040056
0.072603 0.040145
0.075342 0.040166
0.078082 0.040265
0.080822 0.040342
0.083562 0.040356
0.086301 0.040449
0.089041 0.040525
0.091781 0.040540
0.094521 0.040633
0.097260 0.040713
0.100000 0.040734
0.102740 0.040829
0.105479 0.040914
0.108219 0.040940
0.110959 0.041038
0.113699 0.041129
0.116438 0.041160
0.119178 0.041261
0.121918 0.041357
0.124658 0.041394
0.127397 0.041497
0.130137 0.041598
0.132877 0.041641
0.135616 0.041746
0.138356 0.041851
0.141096 0.041899
0.143836 0.042006
0.146575 0.042115
0.149315 0.042167
0.152055 0.042275
0.154795 0.042388
0.157534 0.042444
0.160274 0.042554
0.163014 0.042669
0.165753 0.042728
0.168493 0.042838
0.171233 0.042955
0.173973 0.043018
0.176712 0.043127
0.179452 0.043245
0.182192 0.043310
0.184932 0.043419
0.187671 0.043537
0.190411 0.043604
0.193151 0.043711
0.195890 0.043829
0.198630 0.043896
0.201370 0.044002
0.204110 0.044118
0.206849 0.044186
0.209589 0.044289
0.212329 0.044405
0.215068 0.044473
0.217808 0.044575
0.220548 0.044691
0.223288 0.044761
0.226027 0.044863
0.228767 0.044981
0.231507 0.045056
0.234247 0.045163
0.236986 0.045288
0.239726 0.045377
0.242466 0.045498
0.245205 0.045644
0.247945 0.045760
0.250685 0.045918
0.253425 0.046113
0.256164 0.046303
0.258904 0.046555
0.261644 0.046883
0.264384 0.047237
0.267123 0.047694
0.269863 0.048232
0.272603 0.048801
0.275342 0.049401
0.278082 0.050012
0.280822 0.050520
0.283562 0.050961
0.286301 0.051290
0.289041 0.051481
0.291781 0.051552
0.294521 0.051560
0.297260 0.051445
0.300000 0.051311
0.302740 0.051150
0.305479 0.050986
0.308219 0.050833
0.310959 0.050767
0.313699 0.050715
0.316438 0.050772
0.319178 0.050911
0.321918 0.051150
0.324658 0.051473
0.327397 0.051947
0.330137 0.052483
0.332877 0.053154
0.335616 0.053926
0.338356 0.054801
0.341096 0.055748
0.343836 0.056823
0.346575 0.057929
0.349315 0.059126
0.352055 0.060367
0.354795 0.061657
0.357534 0.062946
0.360274 0.064293
0.363014 0.065589
0.365753 0.066896
0.368493 0.068148
0.371233 0.069369
0.373973 0.070481
0.376712 0.071570
0.379452 0.072509
0.382192 0.073392
0.384932 0.074134
0.387671 0.074800
0.390411 0.075298
0.393151 0.075744
0.395890 0.076009
0.398630 0.076207
0.401370 0.076255
0.404110 0.076228
0.406849 0.076048
0.409589 0.075822
0.412329 0.075448
0.415068 0.075023
0.417808 0.074488
0.420548 0.073901
0.423288 0.073211
0.426027 0.072501
0.428767 0.071697
0.431507 0.070872
0.434247 0.069989
0.436986 0.069088
0.439726 0.068135
0.442466 0.067190
0.445205 0.066196
0.447945 0.065208
0.450685 0.064195
0.453425 0.063183
0.456164 0.062142
0.458904 0.061117
0.461644 0.060053
0.464384 0.058996
0.467123 0.057913
0.469863 0.056823
0.472603 0.055700
0.475342 0.054581
0.478082 0.053419
0.480822 0.052259
0.483562 0.051071
0.486301 0.049879
0.489041 0.048663
0.491781 0.047462
0.494521 0.046235
0.497260 0.045031
0.500000 0.043822
0.502740 0.042634
0.505479 0.041449
0.508219 0.040302
0.510959 0.039155
