Itterate ,Time ,RMS_Error ,MAX_ABS_U_Error ,MAX_ABS_U_Error_position_X ,MAX_ABS_U_Error_position_Y ,MAX_ABS_V_Error ,MAX_ABS_V_Error_position_X, MAX_ABS_V_Error_position_Y ,MAX_RS_Error ,MAX_RS_Error_Position_X ,MAX_RS_Error_Position_Y ,Bulk_Velocity_ABS_Error ,Bulk_Velocity_ABS_Error_Position_X ,Bulk_Velocity_ABS_Error_Position_Y
1001,0.523011,1,0.0922349,104,220,0.0493312,186,213,1,0,221,0.00850732,104,220,
2001,1.0455,0.67912,0.0244828,169,212,0.0334898,191,197,61.435,133,1,0.00256287,190,200,
3001,1.56799,0.387202,0.0203008,189,171,0.0250868,196,182,17.9499,173,190,0.00200989,195,184,
4001,2.09048,0.32833,0.0192697,191,156,0.0186395,200,168,20.6978,172,181,0.0014986,198,166,
5001,2.61297,0.595785,0.0173882,191,143,0.0141207,204,157,67.3362,170,173,0.00114478,199,150,
6001,3.13546,0.642412,0.0151284,191,131,0.0110759,207,146,119.038,168,167,0.000891376,200,138,
7001,3.65795,1.37965,0.0129069,189,121,0.00889622,209,136,226.424,240,110,0.000704453,200,127,
8001,4.18043,0.573922,0.0109576,188,112,0.00730477,211,128,79.6887,249,92,0.000569201,199,117,
9001,4.70292,0.45714,0.00935601,187,104,0.00611998,213,121,35.5869,244,95,0.000470814,199,109,
10001,5.22541,0.659695,0.00806058,186,97,0.00536505,141,125,87.6391,265,60,0.000397127,199,102,
11001,5.7479,0.676194,0.00700594,186,90,0.00483978,137,121,53.8605,273,40,0.000339915,199,96,
12001,6.27039,0.624428,0.00615192,184,85,0.00437486,133,117,52.7062,248,75,0.000294859,199,90,
13001,6.79288,0.372696,0.00543728,183,80,0.00397065,129,115,19.1835,156,146,0.000258276,199,85,
14001,7.31537,0.267988,0.00483453,183,75,0.00361635,125,112,12.6477,255,1,0.000228378,197,80,
15001,7.83786,0.229366,0.00431523,182,71,0.00330443,121,111,12.4523,250,1,0.000203254,194,75,
16001,8.36035,0.240112,0.00386743,182,67,0.00302689,118,108,26.2151,250,52,0.000181893,197,72,
17001,8.88283,0.174017,0.00347676,180,64,0.00277872,114,108,9.87914,239,1,0.000163731,194,68,
18001,9.40532,0.156859,0.00313737,181,60,0.00255379,112,105,13.5321,235,1,0.000147939,195,65,
19001,9.92781,0.136768,0.00283834,181,57,0.00234784,109,104,11.7811,231,1,0.000134238,194,62,
20001,10.4503,0.119328,0.00257603,180,55,0.0021586,106,104,10.0045,228,1,0.000122256,197,60,
21001,10.9728,0.100106,0.00234488,181,52,0.00198403,104,102,4.74315,112,1,0.000111832,194,57,
22001,11.4953,0.0859551,0.00214266,180,50,0.00182373,102,101,3.22262,224,1,0.000102768,199,56,
23001,12.0178,0.0961407,0.00196455,180,48,0.0016769,100,101,11.2631,114,6,9.48591e-05,199,54,
24001,12.5403,0.0750951,0.00180733,181,46,0.00154365,99,99,4.60595,250,90,8.79186e-05,201,53,
25001,13.0627,0.0701748,0.00166752,181,44,0.00142263,97,99,4.3015,114,7,8.17982e-05,203,52,
26001,13.5852,0.067856,0.0015445,180,43,0.00131349,96,98,3.13195,126,1,7.63677e-05,204,51,
