title="d2z6      Re=1000     iterations=123001 "
 zone t="d2z6"variables=X,v/U
0.002703 0.000000
0.008108 0.009562
0.013514 0.046313
0.018919 0.080032
0.024324 0.110761
0.029730 0.138537
0.035135 0.163464
0.040541 0.185688
0.045946 0.205388
0.051351 0.222789
0.056757 0.238138
0.062162 0.251690
0.067568 0.263695
0.072973 0.274392
0.078378 0.283990
0.083784 0.292671
0.089189 0.300581
0.094595 0.307834
0.100000 0.314513
0.105405 0.320671
0.110811 0.326342
0.116216 0.331540
0.121622 0.336265
0.127027 0.340509
0.132432 0.344258
0.137838 0.347497
0.143243 0.350210
0.148649 0.352382
0.154054 0.354002
0.159459 0.355062
0.164865 0.355559
0.170270 0.355493
0.175676 0.354871
0.181081 0.353703
0.186486 0.352003
0.191892 0.349790
0.197297 0.347085
0.202703 0.343914
0.208108 0.340304
0.213514 0.336287
0.218919 0.331894
0.224324 0.327157
0.229730 0.322111
0.235135 0.316789
0.240541 0.311225
0.245946 0.305450
0.251351 0.299498
0.256757 0.293396
0.262162 0.287174
0.267568 0.280857
0.272973 0.274469
0.278378 0.268032
0.283784 0.261565
0.289189 0.255083
0.294595 0.248603
0.300000 0.242135
0.305405 0.235690
0.310811 0.229276
0.316216 0.222899
0.321622 0.216563
0.327027 0.210272
0.332432 0.204027
0.337838 0.197828
0.343243 0.191676
0.348649 0.185568
0.354054 0.179504
0.359459 0.173482
0.364865 0.167497
0.370270 0.161549
0.375676 0.155633
0.381081 0.149747
0.386486 0.143888
0.391892 0.138053
0.397297 0.132239
0.402703 0.126443
0.408108 0.120664
0.413514 0.114899
0.418919 0.109145
0.424324 0.103401
0.429730 0.097666
0.435135 0.091938
0.440541 0.086215
0.445946 0.080496
0.451351 0.074781
0.456757 0.069068
0.462162 0.063356
0.467568 0.057645
0.472973 0.051935
0.478378 0.046224
0.483784 0.040512
0.489189 0.034798
0.494595 0.029083
0.500000 0.023366
0.505405 0.017645
0.510811 0.011921
0.516216 0.006194
0.521622 0.000463
0.527027 -0.005273
0.532432 -0.011014
0.537838 -0.016760
0.543243 -0.022512
0.548649 -0.028271
0.554054 -0.034036
0.559459 -0.039808
0.564865 -0.045589
0.570270 -0.051377
0.575676 -0.057174
0.581081 -0.062979
0.586486 -0.068794
0.591892 -0.074619
0.597297 -0.080453
0.602703 -0.086298
0.608108 -0.092152
0.613514 -0.098017
0.618919 -0.103892
0.624324 -0.109777
0.629730 -0.115671
0.635135 -0.121575
0.640541 -0.127487
0.645946 -0.133408
0.651351 -0.139335
0.656757 -0.145269
0.662162 -0.151208
0.667568 -0.157151
0.672973 -0.163097
0.678378 -0.169044
0.683784 -0.174992
0.689189 -0.180938
0.694595 -0.186883
0.700000 -0.192825
0.705405 -0.198765
0.710811 -0.204702
0.716216 -0.210638
0.721622 -0.216576
0.727027 -0.222519
0.732432 -0.228474
0.737838 -0.234447
0.743243 -0.240450
0.748649 -0.246496
0.754054 -0.252602
0.759459 -0.258790
0.764865 -0.265084
0.770270 -0.271516
0.775676 -0.278120
0.781081 -0.284938
0.786486 -0.292016
0.791892 -0.299402
0.797297 -0.307149
0.802703 -0.315312
0.808108 -0.323943
0.813514 -0.333091
0.818919 -0.342795
0.824324 -0.353082
0.829730 -0.363957
0.835135 -0.375398
0.840541 -0.387350
0.845946 -0.399713
0.851351 -0.412340
0.856757 -0.425028
0.862162 -0.437511
0.867568 -0.449466
0.872973 -0.460509
0.878378 -0.470206
0.883784 -0.478083
0.889189 -0.483647
0.894595 -0.486403
0.900000 -0.485883
0.905405 -0.481669
0.910811 -0.473424
0.916216 -0.460912
0.921622 -0.444021
0.927027 -0.422787
0.932432 -0.397393
0.937838 -0.368181
0.943243 -0.335655
0.948649 -0.300450
0.954054 -0.263314
0.959459 -0.225093
0.964865 -0.186654
0.970270 -0.148855
0.975676 -0.112534
0.981081 -0.078392
0.986486 -0.047027
0.991892 -0.018925
0.997297 -0.000434
