Itterate ,RMS_Error ,MAX_ABS_U_Error ,MAX_ABS_U_Error_position_R ,MAX_ABS_U_Error_position_C ,MAX_ABS_V_Error ,MAX_ABS_V_Error_position_R ,MAX_ABS_V_Error_position_C ,MAX_RS_Error ,MAX_RS_Error_Position_R ,MAX_RS_Error_Position_C ,Bulk_Velocity_ABS_Error ,Bulk_Velocity_ABS_Error_Position_R ,Bulk_Velocity_ABS_Error_Position_C
3400,0.0729712493608806,0.006362258270567734,70,87,0.0035568177472522187,73,96,1.5378443796656274,58,100,0.00029463927404354987,71,92
3500,0.17060119675160065,0.006117225981175808,69,87,0.0035605481361994477,75,79,4.91602954152167,48,100,0.0002718055901217264,70,91
3600,0.16980627327809394,0.006164494052978356,68,87,0.003289730963275242,73,97,2.7141285392478878,4,100,0.0002793705374797811,69,90
3700,0.24727524716540264,0.005886328380084804,68,85,0.0034057133475546312,72,79,4.616563247922672,81,86,0.00026963369598309854,68,88
3800,0.11030252593076963,0.005710572789204088,67,85,0.003396731458326434,72,78,1.188057868305901,66,99,0.00025016684602481847,68,90
3900,0.2585956204068254,0.005613241969235214,66,85,0.0033077533432641967,71,78,3.3782476165823425,2,8,0.00025166993381022364,67,89
4000,0.25780155514501846,0.00540785799602346,66,83,0.0034437245733105557,71,77,5.085174580383592,38,100,0.0002404640002643142,66,87
4100,0.13717130550658774,0.00538999087762845,65,83,0.0032794110323101124,71,76,3.1207014728587708,44,100,0.00024081682986308616,66,89
4200,0.1984398976330788,0.004986815234619281,64,84,0.0033435814730942894,70,76,7.407858577600789,36,100,0.0002218187788792092,65,88
4300,0.055665534431478036,0.0048820508877872315,64,82,0.003253802232624418,70,75,0.9932029756108898,62,99,0.00021942166998161438,65,89
4400,0.12589808993287457,0.0049442966100856495,63,83,0.003214821239597999,70,74,2.2431543376243326,78,85,0.00022477277611237937,64,88
4500,0.20652844475288884,0.0044423344799456935,63,81,0.0032812720426132376,69,74,6.089416246175775,22,100,0.00020627055623429673,64,89
4600,0.3093736465167511,0.004343080552940651,62,82,0.003122816508733398,69,73,5.476112836956357,10,100,0.00020836474622821545,64,90
4700,0.1991452212423553,0.004277671218112632,61,83,0.003154109549222215,69,72,4.157729818200858,24,100,0.00020690199084481776,63,89
4800,0.07120882327792018,0.004124337441543863,61,82,0.0030547734867796186,68,72,1.8748457187903846,76,84,0.00020186733481594612,63,90
4900,0.2165574843333758,0.003900123599012253,60,84,0.003025370548351539,68,71,3.166808702470362,30,100,0.00019946438656148584,62,89
5000,0.1263478297814499,0.003934382734064417,60,86,0.002949634967052712,69,70,2.7799922746406462,75,83,0.00019328140892022256,62,90
5100,0.14268217560730478,0.003946997369970071,59,84,0.0029209314451843077,65,96,4.091538917070102,60,99,0.0002018057994805898,61,89
5200,0.06554145043909014,0.003891551193265761,59,86,0.0028676588005013912,68,69,1.4507453839929352,74,82,0.00018725781202237992,60,88
5300,0.11525828463391094,0.0037138384318282855,58,85,0.0027719028590246983,63,95,1.8199918923807765,73,82,0.0001859604353840683,60,89
5400,0.09390903871659455,0.00402318934042472,58,86,0.002751567701237835,63,95,1.5887975751712928,73,82,0.00018994841947454766,59,88
5500,0.10603510986650883,0.0038956792675939496,57,85,0.0025329908767770075,61,94,1.7812823755329064,73,81,0.00017764848335585575,59,89
5600,0.1743900268667005,0.003816532216892401,57,86,0.002744703692742219,61,94,2.2948696721334354,2,3,0.0001782154427887022,58,88
5700,0.07317324141521198,0.003954521184096253,56,85,0.0024039964265919703,59,92,2.0354742477026653,72,80,0.00017339638361373976,57,87
