Itterate ,Time ,RMS_Error ,MAX_ABS_U_Error ,MAX_ABS_U_Error_position_X ,MAX_ABS_U_Error_position_Y ,MAX_ABS_V_Error ,MAX_ABS_V_Error_position_X, MAX_ABS_V_Error_position_Y ,MAX_RS_Error ,MAX_RS_Error_Position_X ,MAX_RS_Error_Position_Y ,Bulk_Velocity_ABS_Error ,Bulk_Velocity_ABS_Error_Position_X ,Bulk_Velocity_ABS_Error_Position_Y
1001,0.264498,1,0.0927761,162,436,0.0395319,366,428,1,0,437,0.00861705,163,436,
2001,0.528731,1.54409,0.0235154,341,428,0.0278697,370,412,236.5,368,2,0.00226179,335,432,
3001,0.792965,0.647131,0.0152249,336,421,0.0212581,375,396,45.6968,305,407,0.00166505,374,399,
4001,1.0572,0.314516,0.013653,371,364,0.0178264,380,380,36.1952,344,395,0.00144957,379,383,
5001,1.32143,0.237005,0.0134208,372,347,0.0151292,384,365,26.3218,343,384,0.0012613,383,366,
6001,1.58567,2.30028,0.0129113,374,330,0.012838,389,350,917.521,342,374,0.00108709,386,348,
7001,1.8499,0.190646,0.0122003,375,315,0.010883,393,336,20.6251,341,364,0.000936843,388,330,
8001,2.11413,0.183838,0.0113668,375,300,0.00929854,397,324,27.0913,339,356,0.00081061,390,315,
9001,2.37837,0.2029,0.0105193,375,287,0.00803218,400,311,50.2579,337,348,0.000703818,391,300,
10001,2.6426,0.16524,0.0096692,375,274,0.00701045,404,301,26.6334,335,341,0.000612347,391,286,
11001,2.90683,0.152567,0.00884969,374,263,0.00616345,407,290,14.5326,332,335,0.000533672,391,274,
12001,3.17107,0.149263,0.0080676,373,252,0.00545712,409,280,16.2749,330,329,0.000466623,390,262,
13001,3.4353,0.158829,0.00733751,371,242,0.00486581,412,271,15.78,328,324,0.000410494,391,252,
14001,3.69953,0.316214,0.00667793,371,232,0.00436954,414,263,44.1483,471,221,0.000363701,390,242,
15001,3.96377,0.257655,0.00608935,370,223,0.00394912,416,255,27.6594,486,192,0.000324829,390,233,
16001,4.228,0.272936,0.00557129,368,215,0.00358968,418,248,45.4571,496,174,0.000292311,391,225,
17001,4.49223,0.230157,0.00511567,368,207,0.00332734,286,258,24.5471,503,159,0.000264761,391,217,
18001,4.75647,0.281661,0.00471443,366,200,0.00313502,282,253,56.8119,481,187,0.00024122,391,210,
19001,5.0207,0.288298,0.00436017,366,193,0.0029574,277,249,48.5165,519,127,0.000220905,391,203,
20001,5.28493,0.379706,0.00404509,366,186,0.00279256,273,244,64.6343,550,1,0.000203223,390,196,
21001,5.54917,0.939269,0.00376498,365,180,0.00264022,269,240,322.409,540,81,0.000187729,390,190,
22001,5.8134,0.391875,0.00351358,364,174,0.00249864,264,238,74.6477,539,73,0.000174073,390,184,
23001,6.07764,0.32037,0.00328718,362,169,0.00236851,260,234,48.2852,537,67,0.000161948,388,178,
24001,6.34187,0.328022,0.00308142,363,163,0.00224774,256,231,35.6656,541,41,0.000151129,389,173,
25001,6.6061,0.200657,0.00289416,362,158,0.00213563,253,227,17.7908,518,1,0.000141389,389,168,
26001,6.87034,0.167149,0.00272268,360,154,0.00203226,249,225,13.7318,510,1,0.000132593,387,163,
27001,7.13457,0.157487,0.00256484,360,149,0.00193596,245,223,23.3297,504,1,0.000124597,385,158,
28001,7.3988,0.138438,0.00241912,358,145,0.0018463,241,221,12.683,498,1,0.000117277,386,154,
29001,7.66304,0.1333,0.00228415,357,141,0.00176231,238,218,13.2387,482,202,0.000110587,382,149,
30001,7.92727,0.122869,0.00215897,357,137,0.00168409,234,217,13.1195,486,1,0.000104438,381,145,
31001,8.1915,0.12147,0.00204243,357,133,0.00161029,231,215,19.7596,480,1,9.87705e-05,383,142,
32001,8.45574,0.104827,0.00193388,355,130,0.00154066,227,214,11.9962,475,1,9.3544e-05,381,138,
33001,8.71997,0.103221,0.0018328,356,126,0.00147451,223,214,14.8743,485,196,8.8683e-05,382,135,
34001,8.9842,0.0913282,0.00173857,355,123,0.00141202,221,211,11.7742,465,1,8.41772e-05,378,131,
35001,9.24844,0.0886316,0.00165051,354,120,0.00135223,218,210,12.8648,460,1,7.99951e-05,378,128,
36001,9.51267,0.0941533,0.00156825,354,117,0.00129513,215,209,16.8574,297,276,7.60974e-05,382,126,
37001,9.7769,0.0769649,0.00149127,354,114,0.00124054,212,208,11.1419,452,1,7.24822e-05,381,123,
38001,10.0411,0.0749726,0.00141912,355,111,0.00118814,210,206,10.2801,448,1,6.91037e-05,380,120,
39001,10.3054,0.0661646,0.00135182,353,109,0.00113793,207,206,9.94945,445,1,6.59579e-05,382,118,
40001,10.5696,0.0673057,0.00128866,354,106,0.00108983,205,204,9.57529,489,188,6.30212e-05,384,116,
41001,10.8338,0.0601749,0.00122968,353,104,0.00104378,203,203,8.47443,294,272,6.02865e-05,386,114,
42001,11.0981,0.055137,0.00117438,353,102,0.000999693,200,203,7.63079,437,1,5.77382e-05,387,112,
43001,11.3623,0.0535342,0.00112254,353,100,0.00095758,199,201,7.2556,224,11,5.5362e-05,387,110,
44001,11.6265,0.0463385,0.00107402,355,97,0.000917387,197,200,4.78021,433,1,5.31435e-05,391,109,
45001,11.8908,0.0451424,0.00102855,353,96,0.00087911,195,200,4.39881,491,184,5.10795e-05,391,107,
46001,12.155,0.0406257,0.000985945,353,94,0.000842784,194,198,2.51276,244,1,4.91492e-05,393,106,
47001,12.4192,0.0406161,0.000945926,353,92,0.000808215,192,198,3.74057,225,12,4.73433e-05,395,105,
48001,12.6835,0.0409512,0.000908284,354,90,0.00077548,192,195,4.17668,492,182,4.56528e-05,394,103,
49001,12.9477,0.0438809,0.000872773,353,89,0.000744477,190,195,8.78992,225,13,4.40645e-05,396,102,
50001,13.2119,0.0388967,0.000839469,354,87,0.000715093,189,194,3.40526,205,31,4.25663e-05,397,101,
51001,13.4762,0.0421064,0.00080782,353,86,0.000687248,188,193,5.9841,491,65,4.11484e-05,401,101,
52001,13.7404,0.0434838,0.000778037,354,84,0.000660839,187,192,6.57457,491,64,3.98027e-05,401,100,
53001,14.0046,0.102432,0.000749643,353,83,0.000635751,187,190,37.1536,226,15,3.85192e-05,402,99,
54001,14.2689,0.0433119,0.000722633,355,81,0.000611951,185,191,5.36721,255,1,3.7287e-05,403,98,
55001,14.5331,0.051444,0.000696954,355,80,0.00058924,185,189,9.54924,227,16,3.6101e-05,403,97,
56001,14.7973,0.0545748,0.000672382,354,79,0.000567548,183,190,7.91034,201,39,3.49548e-05,406,97,
57001,15.0616,0.0491257,0.000648825,354,78,0.000546765,183,188,4.83389,262,1,3.38446e-05,406,96,
58001,15.3258,0.0632787,0.000626211,354,77,0.000526833,182,188,16.1646,228,18,3.2763e-05,408,96,
59001,15.59,0.0569196,0.000604518,356,75,0.000507616,181,188,9.86518,228,19,3.17101e-05,408,95,
60001,15.8543,0.0502247,0.000583675,356,74,0.000489063,180,188,7.15413,269,1,3.06825e-05,409,94,
61001,16.1185,0.0464026,0.00056359,356,73,0.000471143,181,185,5.05186,272,1,2.96805e-05,409,93,
62001,16.3827,0.0482727,0.000544226,356,72,0.000453817,180,185,7.32097,274,1,2.8702e-05,411,93,
63001,16.647,0.0449343,0.000525548,357,71,0.000437022,179,185,7.02556,276,1,2.77478e-05,412,93,
64001,16.9112,0.0419643,0.00050753,357,70,0.000420757,179,184,5.79369,278,1,2.68173e-05,412,92,
65001,17.1754,0.0437497,0.000490128,357,69,0.000405005,179,183,7.71027,195,51,2.59098e-05,412,91,
66001,17.4397,0.0393891,0.000473308,357,68,0.000389778,178,183,5.42363,231,23,2.50255e-05,414,91,
67001,17.7039,0.146704,0.00045705,358,67,0.000375077,178,182,56.5242,370,428,2.41651e-05,415,91,
68001,17.9681,0.033348,0.000441309,358,66,0.000360908,178,181,4.7831,219,3,2.33298e-05,415,90,
69001,18.2324,0.0294343,0.000426063,357,66,0.000347278,178,180,2.58976,233,24,2.25168e-05,415,89,
70001,18.4966,0.0311339,0.000411341,357,65,0.000334191,178,179,6.18105,495,57,2.17282e-05,416,89,
71001,18.7608,0.0256354,0.00039704,357,64,0.000321643,178,178,2.5983,233,25,2.09621e-05,415,88,
72001,19.0251,0.0266159,0.000383138,358,63,0.000309627,179,176,3.77554,192,57,2.02197e-05,415,87,
73001,19.2893,0.0221404,0.000369609,357,63,0.000298124,179,175,1.52468,234,25,1.94988e-05,416,87,
74001,19.5535,0.0286588,0.000356525,357,62,0.00028711,178,176,8.13624,233,26,1.87984e-05,417,87,
75001,19.8178,0.0207654,0.00034374,357,61,0.000276585,178,175,2.95343,496,56,1.81186e-05,416,86,
76001,20.082,0.0233585,0.000331319,356,61,0.000266483,178,174,5.5971,191,59,1.74587e-05,417,86,
77001,20.3462,0.0184155,0.00031923,357,60,0.000256764,178,173,2.49645,233,27,1.68166e-05,418,86,
78001,20.6105,0.0166181,0.000307442,356,60,0.000247432,177,174,1.35952,290,1,1.61928e-05,417,85,
79001,20.8747,0.0167059,0.000295985,357,59,0.000238416,177,173,2.28249,234,27,1.55855e-05,418,85,
80001,21.1389,0.0156296,0.000284819,356,59,0.0002297,176,174,1.22877,291,1,1.4994e-05,417,84,
81001,21.4032,0.0191531,0.000273964,356,58,0.000221243,177,172,3.72559,190,61,1.44184e-05,418,84,
82001,21.6674,0.0194682,0.000263412,356,58,0.000213036,176,173,5.32554,497,55,1.3857e-05,417,83,
83001,21.9316,0.013629,0.000253141,357,57,0.000205028,175,174,1.23613,497,55,1.33111e-05,418,83,
84001,22.1959,0.0195498,0.000243201,356,57,0.000197233,175,173,5.97292,234,28,1.27788e-05,417,82,
85001,22.4601,0.0123304,0.000233515,355,57,0.00018962,174,174,0.989484,234,28,1.2262e-05,418,82,
86001,22.7243,0.0140984,0.000224182,356,56,0.000182175,173,175,3.16988,287,255,1.17666e-05,367,67,
87001,22.9886,0.0129791,0.000215116,356,56,0.000174906,174,173,2.37806,189,63,1.12906e-05,366,67,
88001,23.2528,0.0110229,0.000206363,357,55,0.000167824,173,174,1.32849,189,63,1.08298e-05,366,66,
89001,23.517,0.0100904,0.000197906,356,55,0.000160915,172,175,0.818034,234,29,1.03841e-05,365,66,
90001,23.7813,0.0136679,0.000189724,357,54,0.000154191,172,175,3.91551,234,29,9.95007e-06,363,66,
91001,24.0455,0.0105578,0.000181869,357,54,0.000147675,172,174,1.70365,498,54,9.53419e-06,364,65,
92001,24.3097,0.0107161,0.00017427,356,54,0.000141372,172,174,2.54185,498,54,9.1323e-06,363,65,
93001,24.574,0.00834879,0.000166953,357,53,0.00013528,172,174,0.71052,498,54,8.74369e-06,361,65,
94001,24.8382,0.00793261,0.00015992,357,53,0.000129425,172,173,0.673917,447,1,8.37223e-06,363,64,
95001,25.1024,0.00769677,0.000153131,356,53,0.000123811,172,173,0.74747,447,1,8.01577e-06,361,64,
96001,25.3667,0.00777214,0.000146589,357,52,0.00011843,172,173,1.11658,499,168,7.67283e-06,360,64,
97001,25.6309,0.00842037,0.000140312,357,52,0.000113294,173,171,1.92742,188,65,7.34342e-06,359,64,
98001,25.8952,0.00673073,0.000134261,356,52,0.000108398,172,172,0.916847,188,65,7.02922e-06,361,63,
