title="d2z6      Re=86000     iterations=85001 "
 zone t="d2z6"variables=X,v/U
0.001370 0.000000
0.004110 -0.000557
0.006849 0.000608
0.009589 0.005088
0.012329 0.011417
0.015068 0.015915
0.017808 0.019265
0.020548 0.022648
0.023288 0.024123
0.026027 0.024868
0.028767 0.026332
0.031507 0.026542
0.034247 0.026345
0.036986 0.027200
0.039726 0.027095
0.042466 0.026619
0.045205 0.027294
0.047945 0.027162
0.050685 0.026586
0.053425 0.027202
0.056164 0.027098
0.058904 0.026479
0.061644 0.027044
0.064384 0.026989
0.067123 0.026323
0.069863 0.026854
0.072603 0.026826
0.075342 0.026137
0.078082 0.026614
0.080822 0.026622
0.083562 0.025897
0.086301 0.026330
0.089041 0.026355
0.091781 0.025607
0.094521 0.025984
0.097260 0.026026
0.100000 0.025250
0.102740 0.025570
0.105479 0.025619
0.108219 0.024817
0.110959 0.025072
0.113699 0.025122
0.116438 0.024289
0.119178 0.024478
0.121918 0.024517
0.124658 0.023653
0.127397 0.023764
0.130137 0.023786
0.132877 0.022880
0.135616 0.022912
0.138356 0.022899
0.141096 0.021950
0.143836 0.021885
0.146575 0.021832
0.149315 0.020823
0.152055 0.020654
0.154795 0.020539
0.157534 0.019463
0.160274 0.019169
0.163014 0.018976
0.165753 0.017812
0.168493 0.017376
0.171233 0.017079
0.173973 0.015808
0.176712 0.015199
0.179452 0.014770
0.182192 0.013360
0.184932 0.012546
0.187671 0.011946
0.190411 0.010349
0.193151 0.009312
0.195890 0.008427
0.198630 0.006695
0.201370 0.005207
0.204110 0.004208
0.206849 0.001925
0.209589 0.000327
0.212329 -0.001434
0.215068 -0.003765
0.217808 -0.006010
0.220548 -0.007546
0.223288 -0.009564
0.226027 -0.011055
0.228767 -0.012819
0.231507 -0.016455
0.234247 -0.021404
0.236986 -0.026142
0.239726 -0.030509
0.242466 -0.033018
0.245205 -0.033984
0.247945 -0.032394
0.250685 -0.028192
0.253425 -0.023092
0.256164 -0.018054
0.258904 -0.010346
0.261644 -0.001107
0.264384 0.009193
0.267123 0.019462
0.269863 0.030507
0.272603 0.040694
0.275342 0.051887
0.278082 0.063212
0.280822 0.075842
0.283562 0.088724
0.286301 0.103317
0.289041 0.117948
0.291781 0.134256
0.294521 0.150666
0.297260 0.168531
0.300000 0.185581
0.302740 0.203961
0.305479 0.220477
0.308219 0.237761
0.310959 0.252799
0.313699 0.268178
0.316438 0.281079
0.319178 0.294098
0.321918 0.304595
0.324658 0.314403
0.327397 0.321612
0.330137 0.327545
0.332877 0.331036
0.335616 0.333990
0.338356 0.335511
0.341096 0.336994
0.343836 0.337582
0.346575 0.338421
0.349315 0.338468
0.352055 0.339622
0.354795 0.340575
0.357534 0.342376
0.360274 0.343527
0.363014 0.344215
0.365753 0.342294
0.368493 0.338636
0.371233 0.334033
0.373973 0.330942
0.376712 0.329520
0.379452 0.329303
0.382192 0.330341
0.384932 0.332310
0.387671 0.334541
0.390411 0.336291
0.393151 0.338875
0.395890 0.341798
0.398630 0.345570
0.401370 0.350338
0.404110 0.355804
0.406849 0.362520
0.409589 0.369742
0.412329 0.377016
0.415068 0.380663
0.417808 0.380165
0.420548 0.375442
0.423288 0.371790
0.426027 0.368944
0.428767 0.364446
0.431507 0.357001
0.434247 0.348217
0.436986 0.335390
0.439726 0.319133
0.442466 0.299337
0.445205 0.276456
0.447945 0.250713
0.450685 0.223062
0.453425 0.193561
0.456164 0.163486
0.458904 0.132852
0.461644 0.102828
0.464384 0.073243
0.467123 0.045755
0.469863 0.019480
0.472603 -0.004567
0.475342 -0.026798
0.478082 -0.045762
0.480822 -0.061016
0.483562 -0.072099
0.486301 -0.082764
0.489041 -0.096074
0.491781 -0.115150
0.494521 -0.137650
0.497260 -0.160552
0.500000 -0.181856
0.502740 -0.201372
0.505479 -0.217263
0.508219 -0.227389
0.510959 -0.230736
0.513699 -0.227901
0.516438 -0.221300
0.519178 -0.214054
0.521918 -0.206964
0.524658 -0.201022
0.527397 -0.196900
0.530137 -0.193956
0.532877 -0.191501
0.535616 -0.189791
0.538356 -0.187729
0.541096 -0.185495
0.543836 -0.183157
0.546575 -0.180516
0.549315 -0.177321
0.552055 -0.174544
0.554795 -0.171115
0.557534 -0.167812
0.560274 -0.164555
0.563014 -0.161298
0.565753 -0.157766
0.568493 -0.154852
