title="d2z6      Re=86000     iterations=215001 "
 zone t="d2z6"variables=u/U,Y
-0.000028 0.000000
-0.035098 0.002283
-0.098350 0.004566
-0.150543 0.006849
-0.184800 0.009132
-0.205660 0.011416
-0.217422 0.013699
-0.225939 0.015982
-0.233825 0.018265
-0.238403 0.020548
-0.241175 0.022831
-0.240804 0.025114
-0.242181 0.027397
-0.241999 0.029680
-0.244345 0.031963
-0.243654 0.034247
-0.245324 0.036530
-0.242706 0.038813
-0.242730 0.041096
-0.238332 0.043379
-0.237790 0.045662
-0.231961 0.047945
-0.230534 0.050228
-0.222601 0.052511
-0.217698 0.054795
-0.207169 0.057078
-0.197028 0.059361
-0.185203 0.061644
-0.170901 0.063927
-0.160629 0.066210
-0.145038 0.068493
-0.138867 0.070776
-0.125302 0.073059
-0.125673 0.075342
-0.117609 0.077626
-0.124330 0.079909
-0.123541 0.082192
-0.135731 0.084475
-0.141542 0.086758
-0.155622 0.089041
-0.165887 0.091324
-0.178404 0.093607
-0.190047 0.095890
-0.198840 0.098174
-0.209221 0.100457
-0.212889 0.102740
-0.220652 0.105023
-0.220643 0.107306
-0.225683 0.109589
-0.223687 0.111872
-0.226763 0.114155
-0.225039 0.116438
-0.227690 0.118721
-0.227609 0.121005
-0.230616 0.123288
-0.231683 0.125571
-0.234320 0.127854
-0.235691 0.130137
-0.238025 0.132420
-0.239388 0.134703
-0.241100 0.136986
-0.242217 0.139269
-0.243460 0.141553
-0.244320 0.143836
-0.244915 0.146119
-0.244693 0.148402
-0.244322 0.150685
-0.242807 0.152968
-0.241594 0.155251
-0.239175 0.157534
-0.237337 0.159817
-0.233684 0.162100
-0.230979 0.164384
-0.227042 0.166667
-0.224067 0.168950
-0.219797 0.171233
-0.216562 0.173516
-0.214958 0.175799
-0.211200 0.178082
-0.207816 0.180365
-0.202583 0.182648
-0.200215 0.184932
-0.193848 0.187215
-0.186545 0.189498
-0.179010 0.191781
-0.173732 0.194064
-0.165768 0.196347
-0.155623 0.198630
-0.148182 0.200913
-0.140665 0.203196
-0.133660 0.205479
-0.124808 0.207763
-0.119696 0.210046
-0.111863 0.212329
-0.107910 0.214612
-0.101815 0.216895
-0.099095 0.219178
-0.093751 0.221461
-0.092221 0.223744
-0.087189 0.226027
-0.085845 0.228311
-0.081789 0.230594
-0.079940 0.232877
-0.074585 0.235160
-0.074401 0.237443
-0.073023 0.239726
-0.074865 0.242009
-0.076966 0.244292
-0.079224 0.246575
-0.079213 0.248858
-0.080903 0.251142
-0.082976 0.253425
-0.084261 0.255708
-0.085225 0.257991
-0.086719 0.260274
-0.089206 0.262557
-0.090714 0.264840
-0.092917 0.267123
-0.094458 0.269406
-0.097496 0.271689
-0.098733 0.273973
-0.101036 0.276256
-0.101940 0.278539
-0.103945 0.280822
-0.104554 0.283105
-0.105579 0.285388
-0.105767 0.287671
-0.107306 0.289954
-0.107279 0.292237
-0.107819 0.294521
-0.107699 0.296804
-0.108489 0.299087
-0.108201 0.301370
-0.108333 0.303653
-0.107948 0.305936
-0.108014 0.308219
-0.107520 0.310502
-0.107067 0.312785
-0.106564 0.315068
-0.106041 0.317352
-0.105539 0.319635
-0.104492 0.321918
-0.103778 0.324201
-0.103693 0.326484
-0.103309 0.328767
-0.101168 0.331050
-0.100406 0.333333
-0.101926 0.335616
-0.101347 0.337900
-0.098929 0.340183
-0.098373 0.342466
-0.100247 0.344749
-0.099556 0.347032
-0.098198 0.349315
-0.097646 0.351598
-0.099264 0.353881
-0.098584 0.356164
-0.098021 0.358447
-0.097424 0.360731
-0.098742 0.363014
-0.098015 0.365297
-0.097819 0.367580
-0.097162 0.369863
-0.098030 0.372146
-0.097294 0.374429
-0.097323 0.376712
-0.096595 0.378995
-0.097241 0.381279
-0.096479 0.383562
-0.096693 0.385845
-0.096040 0.388128
-0.096478 0.390411
-0.095860 0.392694
-0.095976 0.394977
-0.095341 0.397260
-0.095458 0.399543
-0.094731 0.401826
-0.094341 0.404110
-0.093441 0.406393
-0.093031 0.408676
-0.092068 0.410959
-0.091383 0.413242
-0.090498 0.415525
-0.090171 0.417808
-0.089397 0.420091
-0.088996 0.422374
-0.088310 0.424658
-0.088266 0.426941
-0.087700 0.429224
-0.087498 0.431507
-0.086993 0.433790
-0.087145 0.436073
-0.086788 0.438356
-0.086668 0.440639
-0.086443 0.442922
-0.086879 0.445205
-0.086836 0.447489
-0.086955 0.449772
-0.087046 0.452055
-0.088044 0.454338
-0.088383 0.456621
-0.089130 0.458904
-0.089694 0.461187
-0.091467 0.463470
-0.092246 0.465753
-0.093754 0.468037
-0.094570 0.470320
-0.097009 0.472603
-0.097697 0.474886
-0.099139 0.477169
-0.099327 0.479452
-0.101307 0.481735
-0.100879 0.484018
-0.100972 0.486301
-0.099602 0.488584
