title="d2z6      Re=86000     iterations=50001 "
 zone t="d2z6"variables=u/U,Y
-0.000014 0.000000
-0.001407 0.002283
-0.004449 0.004566
-0.007816 0.006849
-0.011032 0.009132
-0.014005 0.011416
-0.016419 0.013699
-0.018530 0.015982
-0.020091 0.018265
-0.021481 0.020548
-0.022418 0.022831
-0.023313 0.025114
-0.023826 0.027397
-0.024388 0.029680
-0.024625 0.031963
-0.024966 0.034247
-0.025037 0.036530
-0.025250 0.038813
-0.025220 0.041096
-0.025355 0.043379
-0.025262 0.045662
-0.025338 0.047945
-0.025215 0.050228
-0.025264 0.052511
-0.025122 0.054795
-0.025158 0.057078
-0.025002 0.059361
-0.025012 0.061644
-0.024854 0.063927
-0.024854 0.066210
-0.024692 0.068493
-0.024693 0.070776
-0.024527 0.073059
-0.024508 0.075342
-0.024347 0.077626
-0.024318 0.079909
-0.024154 0.082192
-0.024132 0.084475
-0.023968 0.086758
-0.023928 0.089041
-0.023773 0.091324
-0.023721 0.093607
-0.023564 0.095890
-0.023521 0.098174
-0.023364 0.100457
-0.023309 0.102740
-0.023166 0.105023
-0.023097 0.107306
-0.022952 0.109589
-0.022894 0.111872
-0.022750 0.114155
-0.022686 0.116438
-0.022559 0.118721
-0.022480 0.121005
-0.022353 0.123288
-0.022287 0.125571
-0.022161 0.127854
-0.022096 0.130137
-0.021991 0.132420
-0.021908 0.134703
-0.021806 0.136986
-0.021740 0.139269
-0.021640 0.141553
-0.021577 0.143836
-0.021502 0.146119
-0.021424 0.148402
-0.021352 0.150685
-0.021294 0.152968
-0.021226 0.155251
-0.021174 0.157534
-0.021134 0.159817
-0.021069 0.162100
-0.021034 0.164384
-0.020992 0.166667
-0.020962 0.168950
-0.020929 0.171233
-0.020931 0.173516
-0.020886 0.175799
-0.020896 0.178082
-0.020876 0.180365
-0.020891 0.182648
-0.020884 0.184932
-0.020934 0.187215
-0.020917 0.189498
-0.020978 0.191781
-0.020987 0.194064
-0.021055 0.196347
-0.021081 0.198630
-0.021184 0.200913
-0.021205 0.203196
-0.021322 0.205479
-0.021369 0.207763
-0.021495 0.210046
-0.021562 0.212329
-0.021724 0.214612
-0.021791 0.216895
-0.021969 0.219178
-0.022065 0.221461
-0.022254 0.223744
-0.022373 0.226027
-0.022597 0.228311
-0.022720 0.230594
-0.022964 0.232877
-0.023119 0.235160
-0.023375 0.237443
-0.023557 0.239726
-0.023845 0.242009
-0.024039 0.244292
-0.024347 0.246575
-0.024578 0.248858
-0.024897 0.251142
-0.025160 0.253425
-0.025505 0.255708
-0.025791 0.257991
-0.026154 0.260274
-0.026479 0.262557
-0.026859 0.264840
-0.027212 0.267123
-0.027621 0.269406
-0.027988 0.271689
-0.028426 0.273973
-0.028817 0.276256
-0.029283 0.278539
-0.029693 0.280822
-0.030181 0.283105
-0.030615 0.285388
-0.031113 0.287671
-0.031597 0.289954
-0.032092 0.292237
-0.032635 0.294521
-0.033105 0.296804
-0.033714 0.299087
-0.034162 0.301370
-0.034837 0.303653
-0.035289 0.305936
-0.035958 0.308219
-0.036410 0.310502
-0.037096 0.312785
-0.037537 0.315068
-0.038269 0.317352
-0.038701 0.319635
-0.039443 0.321918
-0.039832 0.324201
-0.040610 0.326484
-0.040956 0.328767
-0.041769 0.331050
-0.042083 0.333333
-0.042910 0.335616
-0.043137 0.337900
-0.044018 0.340183
-0.044183 0.342466
-0.045036 0.344749
-0.045161 0.347032
-0.046058 0.349315
-0.046074 0.351598
-0.046934 0.353881
-0.046880 0.356164
-0.047752 0.358447
-0.047630 0.360731
-0.048490 0.363014
-0.048256 0.365297
-0.049067 0.367580
-0.048732 0.369863
-0.049534 0.372146
