title="d2z6      Re=86000     iterations=50001 "
 zone t="d2z6"variables=X,v/U
0.001370 0.000000
0.004110 0.000996
0.006849 0.005948
0.009589 0.009110
0.012329 0.012327
0.015068 0.014191
0.017808 0.015194
0.020548 0.016846
0.023288 0.017574
0.026027 0.017687
0.028767 0.018641
0.031507 0.018878
0.034247 0.018612
0.036986 0.019274
0.039726 0.019338
0.042466 0.018937
0.045205 0.019490
0.047945 0.019513
0.050685 0.019070
0.053425 0.019582
0.056164 0.019608
0.058904 0.019157
0.061644 0.019649
0.064384 0.019691
0.067123 0.019240
0.069863 0.019719
0.072603 0.019779
0.075342 0.019331
0.078082 0.019799
0.080822 0.019878
0.083562 0.019434
0.086301 0.019892
0.089041 0.019989
0.091781 0.019549
0.094521 0.019998
0.097260 0.020111
0.100000 0.019676
0.102740 0.020116
0.105479 0.020246
0.108219 0.019816
0.110959 0.020248
0.113699 0.020394
0.116438 0.019969
0.119178 0.020394
0.121918 0.020554
0.124658 0.020136
0.127397 0.020554
0.130137 0.020728
0.132877 0.020318
0.135616 0.020729
0.138356 0.020916
0.141096 0.020514
0.143836 0.020918
0.146575 0.021118
0.149315 0.020725
0.152055 0.021123
0.154795 0.021334
0.157534 0.020953
0.160274 0.021343
0.163014 0.021565
0.165753 0.021196
0.168493 0.021579
0.171233 0.021813
0.173973 0.021457
0.176712 0.021833
0.179452 0.022076
0.182192 0.021734
0.184932 0.022103
0.187671 0.022356
0.190411 0.022029
0.193151 0.022392
0.195890 0.022655
0.198630 0.022343
0.201370 0.022700
0.204110 0.022971
0.206849 0.022676
0.209589 0.023027
0.212329 0.023307
0.215068 0.023030
0.217808 0.023375
0.220548 0.023663
0.223288 0.023405
0.226027 0.023744
0.228767 0.024042
0.231507 0.023802
0.234247 0.024136
0.236986 0.024443
0.239726 0.024222
0.242466 0.024553
0.245205 0.024869
0.247945 0.024668
0.250685 0.024995
0.253425 0.025322
0.256164 0.025140
0.258904 0.025464
0.261644 0.025803
0.264384 0.025641
0.267123 0.025963
0.269863 0.026314
0.272603 0.026171
0.275342 0.026492
0.278082 0.026858
0.280822 0.026733
0.283562 0.027055
0.286301 0.027435
0.289041 0.027328
0.291781 0.027653
0.294521 0.028048
0.297260 0.027960
0.300000 0.028289
0.302740 0.028699
0.305479 0.028630
0.308219 0.028964
0.310959 0.029391
0.313699 0.029340
0.316438 0.029683
0.319178 0.030125
0.321918 0.030095
0.324658 0.030447
0.327397 0.030906
0.330137 0.030897
0.332877 0.031260
0.335616 0.031736
0.338356 0.031750
0.341096 0.032126
0.343836 0.032620
0.346575 0.032658
0.349315 0.033048
0.352055 0.033561
0.354795 0.033625
0.357534 0.034032
0.360274 0.034564
0.363014 0.034657
0.365753 0.035082
0.368493 0.035634
0.371233 0.035760
0.373973 0.036204
0.376712 0.036778
0.379452 0.036938
0.382192 0.037404
0.384932 0.038000
0.387671 0.038198
0.390411 0.038689
0.393151 0.039310
0.395890 0.039550
0.398630 0.040066
0.401370 0.040714
0.404110 0.040999
0.406849 0.041544
0.409589 0.042222
0.412329 0.042556
0.415068 0.043132
0.417808 0.043843
0.420548 0.044230
0.423288 0.044840
0.426027 0.045588
0.428767 0.046033
0.431507 0.046680
0.434247 0.047469
0.436986 0.047977
0.439726 0.048665
0.442466 0.049500
0.445205 0.050075
0.447945 0.050808
0.450685 0.051695
0.453425 0.052341
0.456164 0.053126
0.458904 0.054072
0.461644 0.054792
0.464384 0.055635
0.467123 0.056648
0.469863 0.057446
0.472603 0.058355
0.475342 0.059444
0.478082 0.060321
0.480822 0.061308
0.483562 0.062480
0.486301 0.063442
0.489041 0.064519
0.491781 0.065778
0.494521 0.066837
0.497260 0.068007
0.500000 0.069371
0.502740 0.070523
0.505479 0.071818
0.508219 0.073258
0.510959 0.074573
0.513699 0.075916
0.516438 0.077554
0.519178 0.078901
0.521918 0.080482
0.524658 0.082105
0.527397 0.083781
0.530137 0.085266
0.532877 0.087302
0.535616 0.088825
0.538356 0.090816
0.541096 0.092590
0.543836 0.094755
0.546575 0.096395
0.549315 0.098882
0.552055 0.100628
0.554795 0.103109
0.557534 0.105016
0.560274 0.107763
0.563014 0.109591
0.565753 0.112608
0.568493 0.114668
0.571233 0.117733
0.573973 0.119979
0.576712 0.123263
0.579452 0.125506
0.582192 0.128858
0.584932 0.131410
0.587671 0.134565
0.590411 0.137430
0.593151 0.140614
0.595890 0.143462
0.598630 0.146438
0.601370 0.149239
0.604110 0.151507
0.606849 0.153623
0.609589 0.155279
0.612329 0.156515
0.615068 0.157732
0.617808 0.158941
0.620548 0.160414
0.623288 0.162049
0.626027 0.163878
0.628767 0.165293
0.631507 0.166530
0.634247 0.167127
0.636986 0.167079
0.639726 0.166298
0.642466 0.164903
0.645205 0.162497
0.647945 0.159517
0.650685 0.155985
0.653425 0.151652
0.656164 0.146597
0.658904 0.140800
0.661644 0.133805
0.664384 0.125707
0.667123 0.116513
0.669863 0.106067
0.672603 0.094481
0.675342 0.081917
0.678082 0.068336
0.680822 0.053798
0.683562 0.038629
0.686301 0.022795
0.689041 0.006452
0.691781 -0.010071
0.694521 -0.026603
0.697260 -0.042950
0.700000 -0.058737
0.702740 -0.073638
0.705479 -0.087645
0.708219 -0.100471
0.710959 -0.112068
0.713699 -0.122543
0.716438 -0.132124
0.719178 -0.140751
0.721918 -0.148770
0.724658 -0.156224
0.727397 -0.162770
0.730137 -0.168675
0.732877 -0.173966
0.735616 -0.178612
0.738356 -0.182612
0.741096 -0.186094
0.743836 -0.188151
0.746575 -0.189437
0.749315 -0.189656
0.752055 -0.188946
0.754795 -0.187494
0.757534 -0.185556
0.760274 -0.182557
0.763014 -0.179220
0.765753 -0.175259
0.768493 -0.170742
0.771233 -0.165880
0.773973 -0.160767
0.776712 -0.155108
0.779452 -0.149280
0.782192 -0.143096
0.784932 -0.136520
0.787671 -0.129605
0.790411 -0.122497
0.793151 -0.115019
0.795890 -0.107728
0.798630 -0.100741
0.801370 -0.094542
0.804110 -0.089445
0.806849 -0.085706
0.809589 -0.083218
0.812329 -0.082267
0.815068 -0.082476
0.817808 -0.083671
0.820548 -0.085152
0.823288 -0.086766
0.826027 -0.088698
0.828767 -0.091703
0.831507 -0.095698
0.834247 -0.099553
0.836986 -0.099038
0.839726 -0.101271
0.842466 -0.104068
0.845205 -0.104871
0.847945 -0.112755
