title="d2z6      Re=86000     iterations=275001 "
 zone t="d2z6"variables=u/U,Y
-0.000004 0.000000
0.016984 0.002283
0.053993 0.004566
0.076143 0.006849
0.084920 0.009132
0.082864 0.011416
0.084221 0.013699
0.083829 0.015982
0.086388 0.018265
0.085599 0.020548
0.088047 0.022831
0.087781 0.025114
0.091505 0.027397
0.092213 0.029680
0.097033 0.031963
0.097846 0.034247
0.102865 0.036530
0.103677 0.038813
0.109809 0.041096
0.110970 0.043379
0.117407 0.045662
0.117122 0.047945
0.120727 0.050228
0.117464 0.052511
0.117343 0.054795
0.111617 0.057078
0.109554 0.059361
0.102877 0.061644
0.100950 0.063927
0.093948 0.066210
0.092672 0.068493
0.085046 0.070776
0.083814 0.073059
0.074675 0.075342
0.071999 0.077626
0.060486 0.079909
0.055144 0.082192
0.041044 0.084475
0.032692 0.086758
0.016260 0.089041
0.004925 0.091324
-0.013441 0.093607
-0.027626 0.095890
-0.047410 0.098174
-0.064066 0.100457
-0.084462 0.102740
-0.102868 0.105023
-0.123137 0.107306
-0.142464 0.109589
-0.161613 0.111872
-0.181198 0.114155
-0.198503 0.116438
-0.217466 0.118721
-0.232397 0.121005
-0.249940 0.123288
-0.262331 0.125571
-0.278188 0.127854
-0.287831 0.130137
-0.301812 0.132420
-0.308780 0.134703
-0.320699 0.136986
-0.325523 0.139269
-0.335556 0.141553
-0.338351 0.143836
-0.346070 0.146119
-0.345565 0.148402
-0.349856 0.150685
-0.344632 0.152968
-0.345232 0.155251
-0.337477 0.157534
-0.336823 0.159817
-0.329829 0.162100
-0.329268 0.164384
-0.322727 0.166667
-0.321265 0.168950
-0.313397 0.171233
-0.310627 0.173516
-0.302811 0.175799
-0.301063 0.178082
-0.296225 0.180365
-0.297425 0.182648
-0.295300 0.184932
-0.295516 0.187215
-0.289668 0.189498
-0.285007 0.191781
-0.275807 0.194064
-0.269533 0.196347
-0.260941 0.198630
-0.255419 0.200913
-0.247840 0.203196
-0.241361 0.205479
-0.231960 0.207763
-0.223424 0.210046
-0.215333 0.212329
-0.211738 0.214612
-0.208246 0.216895
-0.207469 0.219178
-0.204585 0.221461
-0.203581 0.223744
-0.200833 0.226027
-0.200868 0.228311
-0.199714 0.230594
-0.200682 0.232877
-0.199718 0.235160
-0.200503 0.237443
-0.199609 0.239726
-0.199752 0.242009
-0.198181 0.244292
-0.197487 0.246575
-0.195686 0.248858
-0.194360 0.251142
-0.192393 0.253425
-0.190867 0.255708
-0.188865 0.257991
-0.187194 0.260274
-0.185037 0.262557
-0.183040 0.264840
-0.180703 0.267123
-0.178320 0.269406
-0.176168 0.271689
-0.173742 0.273973
-0.171801 0.276256
-0.170088 0.278539
-0.167935 0.280822
-0.166798 0.283105
-0.165076 0.285388
-0.163410 0.287671
-0.162197 0.289954
-0.159923 0.292237
-0.157580 0.294521
-0.155426 0.296804
-0.151751 0.299087
-0.148360 0.301370
-0.149723 0.303653
-0.147782 0.305936
-0.140732 0.308219
-0.139029 0.310502
-0.143717 0.312785
-0.142445 0.315068
-0.135478 0.317352
-0.133973 0.319635
-0.136284 0.321918
-0.133541 0.324201
-0.128885 0.326484
-0.127082 0.328767
-0.126509 0.331050
-0.124297 0.333333
-0.122867 0.335616
-0.121679 0.337900
-0.120072 0.340183
-0.119285 0.342466
-0.119406 0.344749
-0.118936 0.347032
-0.117999 0.349315
-0.118190 0.351598
-0.118834 0.353881
-0.119997 0.356164
-0.121861 0.358447
-0.125630 0.360731
-0.130348 0.363014
-0.137200 0.365297
-0.144471 0.367580
-0.153850 0.369863
-0.162926 0.372146
-0.173631 0.374429
-0.183288 0.376712
-0.194011 0.378995
-0.202893 0.381279
-0.212047 0.383562
-0.218844 0.385845
-0.225637 0.388128
-0.229941 0.390411
-0.233862 0.392694
-0.235401 0.394977
-0.236761 0.397260
-0.236155 0.399543
-0.235568 0.401826
-0.234083 0.404110
-0.233466 0.406393
-0.231705 0.408676
-0.231191 0.410959
-0.229762 0.413242
-0.229979 0.415525
-0.229174 0.417808
-0.229894 0.420091
-0.229034 0.422374
-0.229061 0.424658
-0.227695 0.426941
-0.227075 0.429224
-0.225497 0.431507
-0.225108 0.433790
-0.223759 0.436073
-0.223664 0.438356
-0.222189 0.440639
-0.221836 0.442922
-0.220252 0.445205
-0.219493 0.447489
-0.217496 0.449772
-0.216846 0.452055
-0.215125 0.454338
-0.214405 0.456621
-0.212305 0.458904
-0.211696 0.461187
-0.209712 0.463470
-0.208468 0.465753
-0.205904 0.468037
-0.204271 0.470320
-0.201641 0.472603
-0.200065 0.474886
-0.197524 0.477169
-0.196604 0.479452
-0.194391 0.481735
-0.194407 0.484018
-0.192478 0.486301
-0.193504 0.488584
-0.192145 0.490868
-0.194445 0.493151
-0.193156 0.495434
-0.196528 0.497717
-0.195305 0.500000
-0.198405 0.502283
-0.195563 0.504566
-0.195896 0.506849
-0.190325 0.509132
-0.187319 0.511416
-0.179894 0.513699
-0.175600 0.515982
-0.167294 0.518265
-0.162037 0.520548
-0.152395 0.522831
-0.145241 0.525114
-0.135489 0.527397
-0.127218 0.529680
-0.114266 0.531963
-0.103841 0.534247
-0.095045 0.536530
-0.084339 0.538813
-0.068406 0.541096
-0.056375 0.543379
-0.049110 0.545662
-0.037192 0.547945
-0.020265 0.550228
-0.007038 0.552511
-0.003580 0.554795
0.008527 0.557078
0.025954 0.559361
0.037789 0.561644
0.039021 0.563927
0.050568 0.566210
0.064121 0.568493
0.074848 0.570776
0.074143 0.573059
0.084011 0.575342
0.094290 0.577626
0.102404 0.579909
0.100548 0.582192
0.107815 0.584475
0.113537 0.586758
0.119533 0.589041
0.115539 0.591324
0.120958 0.593607
0.123953 0.595890
0.128398 0.598174
0.126738 0.600457
0.131746 0.602740
0.133764 0.605023
0.138782 0.607306
0.139048 0.609589
0.144347 0.611872
0.145884 0.614155
0.150560 0.616438
0.151445 0.618721
0.155732 0.621005
0.156265 0.623288
0.159779 0.625571
0.160669 0.627854
0.163777 0.630137
0.162768 0.632420
0.164998 0.634703
0.165084 0.636986
0.166470 0.639269
0.165493 0.641553
0.166747 0.643836
0.166677 0.646119
0.168395 0.648402
0.168634 0.650685
0.171824 0.652968
0.171320 0.655251
0.174852 0.657534
0.179115 0.659817
0.184138 0.662100
0.181684 0.664384
0.186364 0.666667
0.192802 0.668950
0.197314 0.671233
0.193832 0.673516
0.197990 0.675799
0.203628 0.678082
0.206741 0.680365
0.205164 0.682648
0.208760 0.684932
0.211700 0.687215
0.214585 0.689498
0.215460 0.691781
0.218580 0.694064
0.219769 0.696347
0.221966 0.698630
0.223286 0.700913
0.224795 0.703196
0.225611 0.705479
0.226727 0.707763
0.227724 0.710046
0.228490 0.712329
0.229428 0.714612
0.230131 0.716895
0.231290 0.719178
0.232143 0.721461
0.233574 0.723744
0.234843 0.726027
0.236368 0.728311
0.238199 0.730594
0.240217 0.732877
0.242597 0.735160
0.244585 0.737443
0.247446 0.739726
0.249588 0.742009
0.252716 0.744292
0.254751 0.746575
0.257850 0.748858
0.259475 0.751142
0.262099 0.753425
0.263197 0.755708
0.264971 0.757991
0.265236 0.760274
0.265906 0.762557
0.265530 0.764840
0.265336 0.767123
0.264597 0.769406
0.264276 0.771689
0.263503 0.773973
0.263396 0.776256
0.262591 0.778539
0.262348 0.780822
0.261223 0.783105
0.260580 0.785388
0.258975 0.787671
0.258149 0.789954
0.256179 0.792237
0.255423 0.794521
0.253220 0.796804
0.252850 0.799087
0.250422 0.801370
0.250192 0.803653
0.247470 0.805936
0.247076 0.808219
0.243923 0.810502
0.243154 0.812785
0.239452 0.815068
0.238278 0.817352
0.234012 0.819635
0.232301 0.821918
0.227713 0.824201
0.225339 0.826484
0.220787 0.828767
0.217581 0.831050
0.213283 0.833333
0.209272 0.835616
0.205350 0.837900
0.200791 0.840183
0.197185 0.842466
0.192314 0.844749
0.189067 0.847032
0.184060 0.849315
0.181267 0.851598
0.176256 0.853881
0.174105 0.856164
0.169120 0.858447
0.167585 0.860731
0.162753 0.863014
0.161895 0.865297
0.157336 0.867580
0.157060 0.869863
0.152856 0.872146
0.152927 0.874429
0.149269 0.876712
0.149622 0.878995
0.146409 0.881279
0.146327 0.883562
0.143028 0.885845
0.142102 0.888128
0.138673 0.890411
0.137105 0.892694
0.133983 0.894977
0.132990 0.897260
0.130502 0.899543
0.129653 0.901826
0.128046 0.904110
0.129522 0.906393
0.131697 0.908676
0.137294 0.910959
0.144043 0.913242
0.152502 0.915525
