title="d2z6      Re=86000     iterations=355001 "
 zone t="d2z6"variables=X,v/U
0.001370 0.000000
0.004110 0.013547
0.006849 0.059933
0.009589 0.084660
0.012329 0.094749
0.015068 0.098380
0.017808 0.103509
0.020548 0.111574
0.023288 0.117422
0.026027 0.122068
0.028767 0.126874
0.031507 0.129175
0.034247 0.129655
0.036986 0.130172
0.039726 0.129137
0.042466 0.127305
0.045205 0.127268
0.047945 0.127700
0.050685 0.128066
0.053425 0.129746
0.056164 0.129091
0.058904 0.127373
0.061644 0.124833
0.064384 0.124504
0.067123 0.122591
0.069863 0.125282
0.072603 0.127434
0.075342 0.132258
0.078082 0.136577
0.080822 0.141399
0.083562 0.144924
0.086301 0.148293
0.089041 0.152748
0.091781 0.156744
0.094521 0.161472
0.097260 0.166161
0.100000 0.169790
0.102740 0.172990
0.105479 0.175075
0.108219 0.176257
0.110959 0.177055
0.113699 0.177842
0.116438 0.178405
0.119178 0.179132
0.121918 0.179839
0.124658 0.180496
0.127397 0.181112
0.130137 0.182036
0.132877 0.182878
0.135616 0.183743
0.138356 0.184818
0.141096 0.185726
0.143836 0.186466
0.146575 0.187551
0.149315 0.188327
0.152055 0.189331
0.154795 0.190752
0.157534 0.192601
0.160274 0.195160
0.163014 0.199671
0.165753 0.206015
0.168493 0.215311
0.171233 0.226903
0.173973 0.240076
0.176712 0.254093
0.179452 0.268282
0.182192 0.281712
0.184932 0.294555
0.187671 0.305951
0.190411 0.315886
0.193151 0.323886
0.195890 0.330055
0.198630 0.333998
0.201370 0.335945
0.204110 0.335084
0.206849 0.331070
0.209589 0.323354
0.212329 0.311669
0.215068 0.295674
0.217808 0.275829
0.220548 0.252446
0.223288 0.226111
0.226027 0.197990
0.228767 0.169004
0.231507 0.140206
0.234247 0.112962
0.236986 0.088134
0.239726 0.066264
0.242466 0.048456
0.245205 0.034821
0.247945 0.024845
0.250685 0.019123
0.253425 0.016995
0.256164 0.017352
0.258904 0.020443
0.261644 0.025542
0.264384 0.031246
0.267123 0.037520
0.269863 0.044261
0.272603 0.050368
0.275342 0.055963
0.278082 0.061730
0.280822 0.066636
0.283562 0.071114
0.286301 0.075578
0.289041 0.079543
0.291781 0.082819
0.294521 0.086214
0.297260 0.088910
0.300000 0.091105
0.302740 0.093028
0.305479 0.094693
0.308219 0.095524
0.310959 0.096609
0.313699 0.097279
0.316438 0.098317
0.319178 0.100353
0.321918 0.104593
0.324658 0.110751
0.327397 0.119391
0.330137 0.128551
0.332877 0.135977
0.335616 0.141025
0.338356 0.143421
0.341096 0.144055
0.343836 0.144333
0.346575 0.144467
0.349315 0.144467
0.352055 0.144806
0.354795 0.144843
0.357534 0.144752
0.360274 0.144538
0.363014 0.144418
0.365753 0.144013
0.368493 0.144230
0.371233 0.144207
0.373973 0.144698
0.376712 0.144973
0.379452 0.145777
0.382192 0.146044
0.384932 0.147044
0.387671 0.147442
0.390411 0.148509
0.393151 0.148938
0.395890 0.150135
0.398630 0.150349
0.401370 0.151469
0.404110 0.151531
0.406849 0.152350
0.409589 0.152170
0.412329 0.152864
0.415068 0.152284
0.417808 0.152841
0.420548 0.152110
0.423288 0.152356
0.426027 0.151527
0.428767 0.151710
0.431507 0.150655
0.434247 0.150839
0.436986 0.149804
0.439726 0.149800
0.442466 0.148904
0.445205 0.148866
0.447945 0.147908
0.450685 0.147965
0.453425 0.147045
0.456164 0.147022
0.458904 0.146286
0.461644 0.146258
0.464384 0.145519
0.467123 0.145679
0.469863 0.144927
0.472603 0.145124
0.475342 0.144543
0.478082 0.144706
0.480822 0.144087
0.483562 0.144313
0.486301 0.143450
0.489041 0.143514
0.491781 0.142520
0.494521 0.142133
0.497260 0.140803
0.500000 0.140105
0.502740 0.138195
0.505479 0.137147
0.508219 0.134933
0.510959 0.133335
0.513699 0.130762
0.516438 0.128931
0.519178 0.125800
0.521918 0.123748
0.524658 0.120355
0.527397 0.117823
0.530137 0.114127
0.532877 0.111459
0.535616 0.107186
0.538356 0.104401
0.541096 0.099901
0.543836 0.096687
0.546575 0.092073
0.549315 0.088816
0.552055 0.083666
0.554795 0.080458
0.557534 0.075201
0.560274 0.071495
0.563014 0.066112
0.565753 0.062427
0.568493 0.056591
0.571233 0.052847
0.573973 0.046910
0.576712 0.042957
0.579452 0.037013
0.582192 0.033078
0.584932 0.026883
0.587671 0.023137
