title="d2z6      Re=86000     iterations=320001 "
 zone t="d2z6"variables=u/U,Y
0.000056 0.000000
-0.000917 0.002283
-0.020775 0.004566
-0.028835 0.006849
-0.034711 0.009132
-0.027532 0.011416
-0.033701 0.013699
-0.030003 0.015982
-0.040439 0.018265
-0.039128 0.020548
-0.051253 0.022831
-0.051984 0.025114
-0.066499 0.027397
-0.071463 0.029680
-0.088167 0.031963
-0.097759 0.034247
-0.114954 0.036530
-0.126666 0.038813
-0.143050 0.041096
-0.155027 0.043379
-0.170295 0.045662
-0.182046 0.047945
-0.196175 0.050228
-0.207579 0.052511
-0.220592 0.054795
-0.231552 0.057078
-0.243261 0.059361
-0.253650 0.061644
-0.262763 0.063927
-0.272112 0.066210
-0.277516 0.068493
-0.285414 0.070776
-0.288395 0.073059
-0.295098 0.075342
-0.297283 0.077626
-0.303005 0.079909
-0.304323 0.082192
-0.308927 0.084475
-0.308959 0.086758
-0.312365 0.089041
-0.311183 0.091324
-0.313492 0.093607
-0.311419 0.095890
-0.312758 0.098174
-0.310010 0.100457
-0.310443 0.102740
-0.306951 0.105023
-0.306440 0.107306
-0.302188 0.109589
-0.300840 0.111872
-0.296056 0.114155
-0.294050 0.116438
-0.288947 0.118721
-0.286443 0.121005
-0.281208 0.123288
-0.278435 0.125571
-0.273566 0.127854
-0.271025 0.130137
-0.267124 0.132420
-0.265200 0.134703
-0.261989 0.136986
-0.259523 0.139269
-0.255857 0.141553
-0.253776 0.143836
-0.250391 0.146119
-0.246335 0.148402
-0.243505 0.150685
-0.244481 0.152968
-0.243786 0.155251
-0.241597 0.157534
-0.242196 0.159817
-0.242990 0.162100
-0.241844 0.164384
-0.240158 0.166667
-0.237849 0.168950
-0.234810 0.171233
-0.232113 0.173516
-0.229022 0.175799
-0.226958 0.178082
-0.224577 0.180365
-0.222768 0.182648
-0.219761 0.184932
-0.216865 0.187215
-0.213626 0.189498
-0.211071 0.191781
-0.209147 0.194064
-0.207779 0.196347
-0.206521 0.198630
-0.205431 0.200913
-0.204458 0.203196
-0.203413 0.205479
-0.202509 0.207763
-0.202348 0.210046
-0.202228 0.212329
-0.203612 0.214612
-0.204926 0.216895
-0.208515 0.219178
-0.209432 0.221461
-0.213864 0.223744
-0.217181 0.226027
-0.222115 0.228311
-0.221366 0.230594
-0.225763 0.232877
-0.229201 0.235160
-0.233839 0.237443
-0.232257 0.239726
-0.237731 0.242009
-0.238159 0.244292
-0.242703 0.246575
-0.241809 0.248858
-0.245277 0.251142
-0.243461 0.253425
-0.244552 0.255708
-0.240605 0.257991
-0.239036 0.260274
-0.234347 0.262557
-0.231415 0.264840
-0.225768 0.267123
-0.221718 0.269406
-0.215767 0.271689
-0.210285 0.273973
-0.203492 0.276256
-0.197275 0.278539
-0.190736 0.280822
-0.184790 0.283105
-0.178252 0.285388
-0.172953 0.287671
-0.167107 0.289954
-0.162367 0.292237
-0.156507 0.294521
-0.152060 0.296804
-0.147061 0.299087
-0.142796 0.301370
-0.137950 0.303653
-0.133837 0.305936
-0.129889 0.308219
-0.125985 0.310502
-0.122343 0.312785
-0.118692 0.315068
-0.115740 0.317352
-0.112371 0.319635
-0.109705 0.321918
-0.106667 0.324201
-0.104538 0.326484
-0.101816 0.328767
-0.100044 0.331050
-0.097639 0.333333
-0.096257 0.335616
-0.094196 0.337900
-0.093171 0.340183
-0.091389 0.342466
-0.090659 0.344749
-0.089196 0.347032
-0.088710 0.349315
-0.087628 0.351598
-0.087174 0.353881
-0.086298 0.356164
-0.086367 0.358447
-0.085820 0.360731
-0.085428 0.363014
-0.084988 0.365297
-0.085626 0.367580
-0.085482 0.369863
-0.085002 0.372146
-0.084871 0.374429
-0.085930 0.376712
-0.086136 0.378995
-0.085285 0.381279
-0.085444 0.383562
-0.086863 0.385845
-0.087251 0.388128
-0.085981 0.390411
-0.086361 0.392694
-0.087922 0.394977
-0.088419 0.397260
-0.086902 0.399543
-0.087446 0.401826
-0.088857 0.404110
-0.089414 0.406393
-0.087870 0.408676
-0.088583 0.410959
-0.089638 0.413242
-0.090248 0.415525
-0.088877 0.417808
-0.089701 0.420091
-0.090315 0.422374
-0.091085 0.424658
-0.089808 0.426941
-0.090664 0.429224
-0.091084 0.431507
-0.092001 0.433790
-0.090464 0.436073
-0.091326 0.438356
-0.091790 0.440639
-0.092715 0.442922
-0.090706 0.445205
-0.091452 0.447489
-0.091940 0.449772
-0.092712 0.452055
-0.090020 0.454338
-0.090475 0.456621
-0.090965 0.458904
-0.091321 0.461187
-0.087846 0.463470
-0.087918 0.465753
-0.087929 0.468037
-0.087550 0.470320
-0.083862 0.472603
-0.083371 0.474886
-0.082141 0.477169
-0.080960 0.479452
-0.077340 0.481735
-0.075980 0.484018
-0.073577 0.486301
-0.071594 0.488584
-0.067821 0.490868
-0.065577 0.493151
-0.062203 0.495434
-0.059462 0.497717
-0.055393 0.500000
-0.052288 0.502283
-0.048424 0.504566
-0.044930 0.506849
-0.040382 0.509132
-0.036614 0.511416
-0.032260 0.513699
-0.027963 0.515982
-0.023474 0.518265
-0.018970 0.520548
-0.014099 0.522831
-0.009103 0.525114
-0.004730 0.527397
0.000378 0.529680
0.005699 0.531963
0.011429 0.534247
0.015244 0.536530
0.020978 0.538813
0.026740 0.541096
0.032981 0.543379
0.036225 0.545662
0.042554 0.547945
0.048275 0.550228
0.054856 0.552511
0.057737 0.554795
0.064525 0.557078
0.069574 0.559361
0.076400 0.561644
0.078976 0.563927
0.085911 0.566210
0.090060 0.568493
0.096954 0.570776
0.099100 0.573059
0.105921 0.575342
0.109065 0.577626
0.115774 0.579909
0.117408 0.582192
0.123928 0.584475
0.125845 0.586758
0.132084 0.589041
0.133421 0.591324
0.139399 0.593607
0.140015 0.595890
0.145665 0.598174
0.146498 0.600457
0.151798 0.602740
0.151707 0.605023
0.156697 0.607306
0.156841 0.609589
0.161452 0.611872
0.161176 0.614155
0.165509 0.616438
0.165477 0.618721
0.169613 0.621005
0.168934 0.623288
0.172777 0.625571
0.173278 0.627854
0.177078 0.630137
0.176006 0.632420
0.179673 0.634703
0.180633 0.636986
0.184208 0.639269
0.183382 0.641553
0.187059 0.643836
0.188263 0.646119
0.191904 0.648402
0.191754 0.650685
0.195556 0.652968
0.197067 0.655251
0.200940 0.657534
0.201412 0.659817
0.205469 0.662100
0.206963 0.664384
0.210986 0.666667
0.211808 0.668950
0.215890 0.671233
0.216883 0.673516
0.220759 0.675799
0.221357 0.678082
0.225004 0.680365
0.225397 0.682648
0.228703 0.684932
0.228817 0.687215
0.231706 0.689498
0.231601 0.691781
0.234118 0.694064
0.234415 0.696347
0.237036 0.698630
0.238492 0.700913
0.241815 0.703196
0.244722 0.705479
0.248569 0.707763
0.252099 0.710046
0.255300 0.712329
0.257774 0.714612
0.259212 0.716895
0.260035 0.719178
0.259801 0.721461
0.259665 0.723744
0.259229 0.726027
0.259562 0.728311
0.259772 0.730594
0.260872 0.732877
0.261143 0.735160
0.261576 0.737443
0.261080 0.739726
0.259610 0.742009
0.258332 0.744292
0.255274 0.746575
0.253819 0.748858
0.250333 0.751142
0.249364 0.753425
0.246292 0.755708
0.246088 0.757991
0.243911 0.760274
0.244216 0.762557
0.242629 0.764840
0.242997 0.767123
0.241605 0.769406
0.241782 0.771689
0.240432 0.773973
0.240289 0.776256
0.239046 0.778539
0.238895 0.780822
0.238062 0.783105
0.238668 0.785388
0.239058 0.787671
0.240884 0.789954
0.242651 0.792237
0.245317 0.794521
0.247352 0.796804
0.249785 0.799087
0.251377 0.801370
0.253023 0.803653
0.253958 0.805936
0.255205 0.808219
0.256128 0.810502
0.257363 0.812785
0.258241 0.815068
0.259514 0.817352
0.260500 0.819635
0.261473 0.821918
0.261705 0.824201
0.261355 0.826484
0.259780 0.828767
0.257373 0.831050
0.254249 0.833333
0.251045 0.835616
0.248236 0.837900
0.246617 0.840183
0.246178 0.842466
0.246935 0.844749
0.248422 0.847032
0.250224 0.849315
0.252366 0.851598
0.254650 0.853881
0.257445 0.856164
0.260385 0.858447
0.264342 0.860731
0.267923 0.863014
0.271822 0.865297
0.275323 0.867580
0.279110 0.869863
0.281745 0.872146
0.284082 0.874429
0.285338 0.876712
0.288066 0.878995
0.291082 0.881279
0.294439 0.883562
0.294097 0.885845
0.291130 0.888128
0.282111 0.890411
0.271579 0.892694
0.255616 0.894977
0.239817 0.897260
0.218815 0.899543
0.199351 0.901826
0.175411 0.904110
0.154036 0.906393
0.129673 0.908676
0.108629 0.910959
0.085826 0.913242
0.067098 0.915525
0.048196 0.917808
0.033128 0.920091
0.018986 0.922374
0.008839 0.924658
0.001402 0.926941
-0.002391 0.929224
-0.002979 0.931507
-0.002176 0.933790
0.000636 0.936073
0.003160 0.938356
0.006075 0.940639
0.008638 0.942922
0.010828 0.945205
0.013050 0.947489
0.014347 0.949772
0.015983 0.952055
0.015532 0.954338
0.016270 0.956621
0.014944 0.958904
0.016133 0.961187
0.015051 0.963470
0.017083 0.965753
0.015456 0.968037
0.018605 0.970320
0.017890 0.972603
0.023836 0.974886
0.022719 0.977169
0.028362 0.979452
0.022002 0.981735
0.031197 0.984018
0.081289 0.986301
0.204084 0.988584
0.378663 0.990868
0.587287 0.993151
