title="d2z6      Re=86000     iterations=265001 "
 zone t="d2z6"variables=X,v/U
0.001370 0.000000
0.004110 -0.018155
0.006849 -0.063401
0.009589 -0.069383
0.012329 -0.066567
0.015068 -0.062412
0.017808 -0.058595
0.020548 -0.053267
0.023288 -0.049864
0.026027 -0.042351
0.028767 -0.034095
0.031507 -0.024016
0.034247 -0.012517
0.036986 0.001606
0.039726 0.015885
0.042466 0.030141
0.045205 0.045304
0.047945 0.060615
0.050685 0.076368
0.053425 0.093033
0.056164 0.110911
0.058904 0.128244
0.061644 0.147011
0.064384 0.165634
0.067123 0.183650
0.069863 0.201868
0.072603 0.219333
0.075342 0.235804
0.078082 0.252170
0.080822 0.268474
0.083562 0.284146
0.086301 0.299582
0.089041 0.314705
0.091781 0.328362
0.094521 0.340120
0.097260 0.349251
0.100000 0.354675
0.102740 0.357778
0.105479 0.360338
0.108219 0.362464
0.110959 0.364299
0.113699 0.364726
0.116438 0.363229
0.119178 0.361683
0.121918 0.361253
0.124658 0.361288
0.127397 0.362051
0.130137 0.363600
0.132877 0.365706
0.135616 0.368556
0.138356 0.371638
0.141096 0.373979
0.143836 0.376016
0.146575 0.378188
0.149315 0.380318
0.152055 0.382129
0.154795 0.382506
0.157534 0.380227
0.160274 0.375679
0.163014 0.369268
0.165753 0.361176
0.168493 0.352055
0.171233 0.342203
0.173973 0.331382
0.176712 0.320085
0.179452 0.308640
0.182192 0.296629
0.184932 0.284986
0.187671 0.273061
0.190411 0.262072
0.193151 0.249950
0.195890 0.240590
0.198630 0.228441
0.201370 0.220505
0.204110 0.209432
0.206849 0.201610
0.209589 0.193756
0.212329 0.184188
0.215068 0.183050
0.217808 0.170386
0.220548 0.176718
0.223288 0.162540
0.226027 0.170833
0.228767 0.158596
0.231507 0.162349
0.234247 0.154913
0.236986 0.153591
0.239726 0.152958
0.242466 0.149591
0.245205 0.152369
0.247945 0.149369
0.250685 0.150248
0.253425 0.150097
0.256164 0.149314
0.258904 0.150665
0.261644 0.150362
0.264384 0.151186
0.267123 0.151821
0.269863 0.152094
0.272603 0.153217
0.275342 0.153595
0.278082 0.154284
0.280822 0.155817
0.283562 0.155867
0.286301 0.158057
0.289041 0.158685
0.291781 0.160615
0.294521 0.161703
0.297260 0.164311
0.300000 0.164783
0.302740 0.168060
0.305479 0.168581
0.308219 0.171518
0.310959 0.172294
0.313699 0.175215
0.316438 0.175651
0.319178 0.178659
0.321918 0.179017
0.324658 0.181683
0.327397 0.182095
0.330137 0.184513
0.332877 0.184855
0.335616 0.186963
0.338356 0.187350
0.341096 0.189091
0.343836 0.189391
0.346575 0.190835
0.349315 0.191077
0.352055 0.192041
0.354795 0.192188
0.357534 0.192838
0.360274 0.192526
0.363014 0.192909
0.365753 0.192237
0.368493 0.192063
0.371233 0.190986
0.373973 0.190446
0.376712 0.188599
0.379452 0.187637
0.382192 0.185107
0.384932 0.183334
0.387671 0.179917
0.390411 0.177373
0.393151 0.172656
0.395890 0.169173
0.398630 0.163349
0.401370 0.158648
0.404110 0.151688
0.406849 0.145959
0.409589 0.137496
0.412329 0.130601
0.415068 0.120816
0.417808 0.112582
0.420548 0.101882
0.423288 0.093008
0.426027 0.081576
0.428767 0.072473
0.431507 0.060856
0.434247 0.051258
0.436986 0.039802
0.439726 0.030378
0.442466 0.018841
0.445205 0.009826
0.447945 -0.001045
0.450685 -0.010040
0.453425 -0.020085
0.456164 -0.028126
0.458904 -0.037563
0.461644 -0.044974
0.464384 -0.053365
0.467123 -0.059850
