title="d2z6      Re=86000     iterations=475001 "
 zone t="d2z6"variables=X,v/U
0.001370 0.000000
0.004110 0.017419
0.006849 0.099684
0.009589 0.158437
0.012329 0.182872
0.015068 0.192371
0.017808 0.199377
0.020548 0.209839
0.023288 0.222660
0.026027 0.236477
0.028767 0.252612
0.031507 0.267563
0.034247 0.281589
0.036986 0.294304
0.039726 0.304175
0.042466 0.310859
0.045205 0.315909
0.047945 0.317847
0.050685 0.318387
0.053425 0.320350
0.056164 0.323883
0.058904 0.329264
0.061644 0.336011
0.064384 0.339253
0.067123 0.338944
0.069863 0.339466
0.072603 0.339803
0.075342 0.338046
0.078082 0.336466
0.080822 0.334174
0.083562 0.331838
0.086301 0.332273
0.089041 0.334390
0.091781 0.337291
0.094521 0.342743
0.097260 0.348381
0.100000 0.353524
0.102740 0.358143
0.105479 0.361870
0.108219 0.363735
0.110959 0.365248
0.113699 0.365660
0.116438 0.366216
0.119178 0.367067
0.121918 0.368944
0.124658 0.370507
0.127397 0.372302
0.130137 0.373533
0.132877 0.374728
0.135616 0.376081
0.138356 0.377061
0.141096 0.376242
0.143836 0.371390
0.146575 0.361125
0.149315 0.345304
0.152055 0.328838
0.154795 0.316081
0.157534 0.304642
0.160274 0.294604
0.163014 0.284916
0.165753 0.275692
0.168493 0.268508
0.171233 0.258410
0.173973 0.254581
0.176712 0.243001
0.179452 0.241205
0.182192 0.231366
0.184932 0.227647
0.187671 0.221644
0.190411 0.216472
0.193151 0.212271
0.195890 0.207481
0.198630 0.203500
0.201370 0.200006
0.204110 0.195918
0.206849 0.194055
0.209589 0.191512
0.212329 0.190581
0.215068 0.190749
0.217808 0.190719
0.220548 0.191431
0.223288 0.192948
0.226027 0.193628
0.228767 0.195178
0.231507 0.196650
0.234247 0.197333
0.236986 0.198581
0.239726 0.199055
0.242466 0.199186
0.245205 0.198881
0.247945 0.198210
0.250685 0.196226
0.253425 0.194491
0.256164 0.191072
0.258904 0.187865
0.261644 0.183367
0.264384 0.179233
0.267123 0.173803
0.269863 0.169190
0.272603 0.163416
0.275342 0.158345
0.278082 0.152503
0.280822 0.147486
0.283562 0.141514
0.286301 0.136968
0.289041 0.131360
0.291781 0.127268
0.294521 0.122414
0.297260 0.118989
0.300000 0.114804
0.302740 0.112124
0.305479 0.108668
0.308219 0.106577
0.310959 0.103670
0.313699 0.102260
0.316438 0.099498
0.319178 0.098734
0.321918 0.095995
0.324658 0.095712
0.327397 0.092799
0.330137 0.093126
0.332877 0.089706
0.335616 0.090711
0.338356 0.086743
0.341096 0.088356
0.343836 0.083922
0.346575 0.086338
0.349315 0.081731
0.352055 0.085062
0.354795 0.080890
0.357534 0.084437
0.360274 0.080456
0.363014 0.083299
0.365753 0.078239
0.368493 0.080586
0.371233 0.073499
0.373973 0.077261
0.376712 0.067998
0.379452 0.075357
0.382192 0.064304
0.384932 0.074542
