title="d2z6      Re=86000     iterations=230001 "
 zone t="d2z6"variables=u/U,Y
0.000029 0.000000
0.016864 0.002283
0.038984 0.004566
0.045356 0.006849
0.044887 0.009132
0.045490 0.011416
0.044772 0.013699
0.044535 0.015982
0.040895 0.018265
0.036213 0.020548
0.027030 0.022831
0.016975 0.025114
0.003079 0.027397
-0.010140 0.029680
-0.025973 0.031963
-0.039503 0.034247
-0.053324 0.036530
-0.062820 0.038813
-0.070513 0.041096
-0.074386 0.043379
-0.077474 0.045662
-0.080040 0.047945
-0.084031 0.050228
-0.088091 0.052511
-0.093418 0.054795
-0.098009 0.057078
-0.103409 0.059361
-0.107685 0.061644
-0.112605 0.063927
-0.116394 0.066210
-0.121214 0.068493
-0.125583 0.070776
-0.131335 0.073059
-0.136815 0.075342
-0.143323 0.077626
-0.149099 0.079909
-0.155222 0.082192
-0.160343 0.084475
-0.165247 0.086758
-0.169162 0.089041
-0.172691 0.091324
-0.175468 0.093607
-0.178135 0.095890
-0.180569 0.098174
-0.183198 0.100457
-0.185942 0.102740
-0.188965 0.105023
-0.192175 0.107306
-0.195410 0.109589
-0.198922 0.111872
-0.201986 0.114155
-0.205425 0.116438
-0.207969 0.118721
-0.210880 0.121005
-0.212483 0.123288
-0.214292 0.125571
-0.214681 0.127854
-0.214685 0.130137
-0.214206 0.132420
-0.212493 0.134703
-0.211940 0.136986
-0.209567 0.139269
-0.209520 0.141553
-0.207209 0.143836
-0.207278 0.146119
-0.204684 0.148402
-0.203851 0.150685
-0.200500 0.152968
-0.198422 0.155251
-0.194368 0.157534
-0.191420 0.159817
-0.187129 0.162100
-0.183707 0.164384
-0.179680 0.166667
-0.175994 0.168950
-0.172384 0.171233
-0.168727 0.173516
-0.165217 0.175799
-0.162155 0.178082
-0.158902 0.180365
-0.156705 0.182648
-0.153554 0.184932
-0.151611 0.187215
-0.148543 0.189498
-0.146042 0.191781
-0.142714 0.194064
-0.139320 0.196347
-0.136146 0.198630
-0.131877 0.200913
-0.128589 0.203196
-0.123533 0.205479
-0.120477 0.207763
-0.114698 0.210046
-0.111692 0.212329
-0.105336 0.214612
-0.102625 0.216895
-0.095714 0.219178
-0.093076 0.221461
-0.085709 0.223744
-0.083213 0.226027
-0.075305 0.228311
-0.072808 0.230594
-0.064577 0.232877
-0.062325 0.235160
-0.053903 0.237443
-0.052274 0.239726
-0.044561 0.242009
-0.044189 0.244292
-0.037236 0.246575
-0.037893 0.248858
-0.032066 0.251142
-0.034079 0.253425
-0.029205 0.255708
-0.032407 0.257991
-0.029718 0.260274
-0.034785 0.262557
-0.033366 0.264840
-0.039989 0.267123
-0.041491 0.269406
-0.049891 0.271689
-0.053421 0.273973
-0.062883 0.276256
-0.068815 0.278539
-0.079876 0.280822
-0.087683 0.283105
-0.098865 0.285388
-0.108316 0.287671
-0.120131 0.289954
-0.130563 0.292237
-0.141434 0.294521
-0.152279 0.296804
-0.162519 0.299087
-0.173127 0.301370
-0.181547 0.303653
-0.191438 0.305936
-0.198092 0.308219
-0.206662 0.310502
-0.211215 0.312785
-0.218237 0.315068
-0.220652 0.317352
-0.225948 0.319635
-0.226378 0.321918
-0.229872 0.324201
-0.228500 0.326484
-0.230321 0.328767
-0.227365 0.331050
-0.227628 0.333333
-0.223422 0.335616
-0.222360 0.337900
-0.217168 0.340183
-0.215752 0.342466
-0.211773 0.344749
-0.211425 0.347032
-0.208326 0.349315
-0.209065 0.351598
-0.208089 0.353881
-0.209553 0.356164
-0.208978 0.358447
-0.209811 0.360731
-0.207339 0.363014
-0.206308 0.365297
-0.202881 0.367580
-0.202810 0.369863
-0.201565 0.372146
-0.202868 0.374429
-0.202104 0.376712
-0.202569 0.378995
-0.200918 0.381279
-0.201141 0.383562
-0.200336 0.385845
-0.201389 0.388128
-0.202170 0.390411
-0.203776 0.392694
-0.204916 0.394977
-0.206524 0.397260
-0.208099 0.399543
-0.209513 0.401826
-0.210635 0.404110
-0.211510 0.406393
-0.212348 0.408676
-0.212542 0.410959
-0.212841 0.413242
-0.213018 0.415525
-0.213708 0.417808
-0.214185 0.420091
-0.215303 0.422374
-0.216001 0.424658
-0.216983 0.426941
-0.217583 0.429224
-0.218239 0.431507
-0.218395 0.433790
-0.218254 0.436073
-0.217935 0.438356
-0.216922 0.440639
-0.216491 0.442922
-0.216375 0.445205
-0.216787 0.447489
-0.215801 0.449772
-0.215846 0.452055
-0.215856 0.454338
-0.214206 0.456621
-0.207174 0.458904
-0.202480 0.461187
-0.197219 0.463470
-0.192486 0.465753
-0.184901 0.468037
-0.182398 0.470320
-0.179889 0.472603
-0.177815 0.474886
-0.172756 0.477169
-0.170656 0.479452
-0.167621 0.481735
-0.165767 0.484018
-0.160011 0.486301
-0.158123 0.488584
-0.156025 0.490868
-0.154373 0.493151
-0.147878 0.495434
-0.146051 0.497717
-0.145049 0.500000
-0.143176 0.502283
-0.136232 0.504566
-0.133604 0.506849
-0.131478 0.509132
-0.127429 0.511416
-0.118962 0.513699
-0.112899 0.515982
-0.108413 0.518265
-0.100684 0.520548
-0.087825 0.522831
-0.077565 0.525114
-0.072743 0.527397
-0.062459 0.529680
-0.044438 0.531963
-0.032295 0.534247
-0.030490 0.536530
-0.019188 0.538813
0.001435 0.541096
0.012599 0.543379
0.012917 0.545662
0.024018 0.547945
0.041881 0.550228
0.051082 0.552511
0.052484 0.554795
0.061217 0.557078
0.072890 0.559361
0.079072 0.561644
0.081103 0.563927
0.086697 0.566210
0.094066 0.568493
0.098668 0.570776
0.101514 0.573059
0.106418 0.575342
0.112136 0.577626
0.116960 0.579909
0.119419 0.582192
0.124076 0.584475
0.129336 0.586758
0.133994 0.589041
0.135864 0.591324
0.140576 0.593607
0.147376 0.595890
0.152335 0.598174
0.156625 0.600457
0.161890 0.602740
0.167277 0.605023
0.171009 0.607306
0.171175 0.609589
0.173167 0.611872
0.171467 0.614155
0.172157 0.616438
0.168155 0.618721
0.168426 0.621005
0.165010 0.623288
0.165043 0.625571
0.160877 0.627854
0.161357 0.630137
0.159309 0.632420
0.159834 0.634703
0.157339 0.636986
0.158393 0.639269
0.157630 0.641553
0.158661 0.643836
0.156801 0.646119
0.158233 0.648402
0.157001 0.650685
0.158265 0.652968
0.157200 0.655251
0.158719 0.657534
0.158859 0.659817
0.160837 0.662100
0.160328 0.664384
0.162933 0.666667
0.163252 0.668950
0.165620 0.671233
0.166808 0.673516
0.169425 0.675799
0.169035 0.678082
0.171232 0.680365
0.172037 0.682648
0.173459 0.684932
0.173378 0.687215
0.174607 0.689498
0.174083 0.691781
0.174714 0.694064
0.174947 0.696347
0.175939 0.698630
0.175271 0.700913
0.176172 0.703196
0.176714 0.705479
0.178209 0.707763
0.177754 0.710046
0.179408 0.712329
0.180147 0.714612
0.182006 0.716895
0.182068 0.719178
0.183729 0.721461
0.184151 0.723744
0.185720 0.726027
0.185859 0.728311
0.187236 0.730594
0.187723 0.732877
0.189394 0.735160
0.189758 0.737443
0.191807 0.739726
0.192627 0.742009
0.194889 0.744292
0.195497 0.746575
0.197606 0.748858
0.198474 0.751142
0.200551 0.753425
0.201360 0.755708
0.203679 0.757991
0.205080 0.760274
0.207675 0.762557
0.209176 0.764840
0.211826 0.767123
0.213312 0.769406
0.215708 0.771689
0.217097 0.773973
0.219349 0.776256
0.220551 0.778539
0.222938 0.780822
0.224059 0.783105
0.226615 0.785388
0.227793 0.787671
0.230550 0.789954
0.231687 0.792237
0.234691 0.794521
0.235901 0.796804
0.238866 0.799087
0.240272 0.801370
0.242950 0.803653
0.244403 0.805936
0.246773 0.808219
0.248258 0.810502
0.250259 0.812785
0.251797 0.815068
0.253560 0.817352
0.255057 0.819635
0.256615 0.821918
0.258074 0.824201
0.259299 0.826484
0.260680 0.828767
0.261268 0.831050
0.262336 0.833333
0.261962 0.835616
0.262482 0.837900
0.260940 0.840183
0.261164 0.842466
0.259643 0.844749
0.260540 0.847032
0.260976 0.849315
0.263326 0.851598
0.266240 0.853881
0.269719 0.856164
0.273620 0.858447
0.277040 0.860731
0.279820 0.863014
0.282019 0.865297
0.281679 0.867580
0.281404 0.869863
0.276451 0.872146
0.273679 0.874429
0.266009 0.876712
0.262903 0.878995
0.255553 0.881279
0.252888 0.883562
0.245652 0.885845
0.242996 0.888128
0.236433 0.890411
0.234287 0.892694
0.229470 0.894977
0.228024 0.897260
0.225428 0.899543
0.224673 0.901826
0.223988 0.904110
0.223525 0.906393
0.224055 0.908676
0.223265 0.910959
0.223991 0.913242
0.221660 0.915525
0.220894 0.917808
0.215286 0.920091
0.210803 0.922374
0.201035 0.924658
0.191654 0.926941
0.178485 0.929224
0.164908 0.931507
0.149977 0.933790
0.133165 0.936073
0.117516 0.938356
0.099246 0.940639
0.083601 0.942922
0.065079 0.945205
0.049931 0.947489
0.030831 0.949772
0.015553 0.952055
-0.004743 0.954338
-0.020785 0.956621
-0.041847 0.958904
-0.056652 0.961187
-0.077475 0.963470
-0.088992 0.965753
-0.110663 0.968037
-0.120260 0.970320
-0.149303 0.972603
-0.166582 0.974886
-0.215210 0.977169
-0.233364 0.979452
-0.242108 0.981735
-0.136946 0.984018
0.096472 0.986301
0.380367 0.988584
0.631768 0.990868
0.789201 0.993151
0.940090 0.995434
