title="d2z6      Re=86000     iterations=420001 "
 zone t="d2z6"variables=X,v/U
0.001370 0.000000
0.004110 0.020565
0.006849 0.102801
0.009589 0.156063
0.012329 0.184297
0.015068 0.195484
0.017808 0.199739
0.020548 0.206697
0.023288 0.215226
0.026027 0.223926
0.028767 0.233436
0.031507 0.240836
0.034247 0.246459
0.036986 0.252057
0.039726 0.256939
0.042466 0.261172
0.045205 0.265678
0.047945 0.269915
0.050685 0.272779
0.053425 0.273765
0.056164 0.272671
0.058904 0.268748
0.061644 0.263383
0.064384 0.257664
0.067123 0.251732
0.069863 0.246356
0.072603 0.242320
0.075342 0.239015
0.078082 0.236915
0.080822 0.234919
0.083562 0.233250
0.086301 0.230842
0.089041 0.228935
0.091781 0.226041
0.094521 0.223950
0.097260 0.220616
0.100000 0.218390
0.102740 0.214645
0.105479 0.212656
0.108219 0.208293
0.110959 0.207193
0.113699 0.202311
0.116438 0.201701
0.119178 0.196613
0.121918 0.196972
0.124658 0.190372
0.127397 0.191703
0.130137 0.184235
0.132877 0.185525
0.135616 0.176500
0.138356 0.179495
0.141096 0.168332
0.143836 0.171353
0.146575 0.161352
0.149315 0.162225
0.152055 0.154989
0.154795 0.154789
0.157534 0.152182
0.160274 0.152299
0.163014 0.155212
0.165753 0.159729
0.168493 0.166281
0.171233 0.175732
0.173973 0.184937
0.176712 0.194590
0.179452 0.203519
0.182192 0.211046
0.184932 0.216267
0.187671 0.220980
0.190411 0.222991
0.193151 0.224807
0.195890 0.224877
0.198630 0.225327
0.201370 0.224168
0.204110 0.223875
0.206849 0.222754
0.209589 0.221793
0.212329 0.220666
0.215068 0.219933
0.217808 0.218689
0.220548 0.218088
0.223288 0.217773
0.226027 0.217550
0.228767 0.217985
0.231507 0.218941
0.234247 0.219661
0.236986 0.220787
0.239726 0.221689
0.242466 0.222198
0.245205 0.222477
0.247945 0.222456
0.250685 0.221675
0.253425 0.220540
0.256164 0.218999
0.258904 0.217473
0.261644 0.216865
