title="d2z6      Re=86000     iterations=85001 "
 zone t="d2z6"variables=u/U,Y
-0.000015 0.000000
-0.012839 0.002283
-0.033894 0.004566
-0.045596 0.006849
-0.052546 0.009132
-0.056192 0.011416
-0.057400 0.013699
-0.057734 0.015982
-0.055546 0.018265
-0.054054 0.020548
-0.049721 0.022831
-0.047207 0.025114
-0.041828 0.027397
-0.038998 0.029680
-0.033619 0.031963
-0.031125 0.034247
-0.026504 0.036530
-0.024690 0.038813
-0.021150 0.041096
-0.020087 0.043379
-0.017553 0.045662
-0.017133 0.047945
-0.015319 0.050228
-0.015338 0.052511
-0.013939 0.054795
-0.014254 0.057078
-0.013007 0.059361
-0.013540 0.061644
-0.012302 0.063927
-0.012998 0.066210
-0.011733 0.068493
-0.012563 0.070776
-0.011267 0.073059
-0.012183 0.075342
-0.010820 0.077626
-0.011896 0.079909
-0.010564 0.082192
-0.011553 0.084475
-0.010139 0.086758
-0.011492 0.089041
-0.010148 0.091324
-0.011055 0.093607
-0.009640 0.095890
-0.011270 0.098174
-0.009955 0.100457
-0.010751 0.102740
-0.009414 0.105023
-0.011212 0.107306
-0.009910 0.109589
-0.010822 0.111872
-0.009649 0.114155
-0.011458 0.116438
-0.010257 0.118721
-0.011537 0.121005
-0.010572 0.123288
-0.012429 0.125571
-0.011551 0.127854
-0.013263 0.130137
-0.012609 0.132420
-0.014797 0.134703
-0.014403 0.136986
-0.016510 0.139269
-0.016402 0.141553
-0.019119 0.143836
-0.019355 0.146119
-0.021895 0.148402
-0.022484 0.150685
-0.025795 0.152968
-0.026952 0.155251
-0.029573 0.157534
-0.030966 0.159817
-0.035016 0.162100
-0.037174 0.164384
-0.039421 0.166667
-0.041668 0.168950
-0.046427 0.171233
-0.049461 0.173516
-0.050707 0.175799
-0.053539 0.178082
-0.058145 0.180365
-0.061544 0.182648
-0.060850 0.184932
-0.063541 0.187215
-0.067243 0.189498
-0.070197 0.191781
-0.068697 0.194064
-0.071154 0.196347
-0.074120 0.198630
-0.076768 0.200913
-0.076070 0.203196
-0.078668 0.205479
-0.080586 0.207763
-0.083278 0.210046
-0.083546 0.212329
-0.086233 0.214612
-0.087283 0.216895
-0.089859 0.219178
-0.090334 0.221461
-0.092796 0.223744
-0.093273 0.226027
-0.095534 0.228311
-0.095749 0.230594
-0.097844 0.232877
-0.097939 0.235160
-0.099937 0.237443
-0.100121 0.239726
-0.102248 0.242009
-0.103454 0.244292
-0.106515 0.246575
-0.110224 0.248858
-0.115123 0.251142
-0.121927 0.253425
-0.128365 0.255708
-0.136250 0.257991
-0.142346 0.260274
-0.147362 0.262557
-0.151265 0.264840
-0.152071 0.267123
-0.153822 0.269406
-0.152091 0.271689
-0.153070 0.273973
-0.151777 0.276256
-0.153715 0.278539
-0.154825 0.280822
-0.157554 0.283105
-0.158586 0.285388
-0.160558 0.287671
-0.159660 0.289954
-0.160568 0.292237
-0.158573 0.294521
-0.158794 0.296804
-0.155867 0.299087
-0.156422 0.301370
-0.155288 0.303653
-0.156437 0.305936
-0.156123 0.308219
-0.157516 0.310502
-0.157090 0.312785
-0.158520 0.315068
-0.158717 0.317352
-0.160362 0.319635
-0.160251 0.321918
-0.161995 0.324201
-0.162872 0.326484
-0.164709 0.328767
-0.165383 0.331050
-0.167340 0.333333
-0.168460 0.335616
-0.170555 0.337900
-0.170856 0.340183
-0.172771 0.342466
-0.174613 0.344749
-0.176843 0.347032
-0.177584 0.349315
-0.180430 0.351598
-0.182875 0.353881
-0.186071 0.356164
-0.188234 0.358447
-0.191786 0.360731
-0.194607 0.363014
-0.198264 0.365297
-0.200244 0.367580
-0.202963 0.369863
-0.202348 0.372146
-0.201900 0.374429
-0.196935 0.376712
-0.195569 0.378995
-0.191843 0.381279
-0.190790 0.383562
-0.185844 0.385845
-0.184548 0.388128
-0.180489 0.390411
-0.180531 0.392694
-0.177411 0.394977
-0.178119 0.397260
-0.175278 0.399543
-0.176171 0.401826
-0.173014 0.404110
-0.174208 0.406393
-0.171121 0.408676
-0.172770 0.410959
-0.170250 0.413242
-0.172617 0.415525
-0.170981 0.417808
-0.174036 0.420091
-0.173197 0.422374
-0.176751 0.424658
-0.176600 0.426941
-0.180488 0.429224
-0.180431 0.431507
-0.184448 0.433790
-0.184691 0.436073
-0.188707 0.438356
-0.188336 0.440639
-0.192367 0.442922
-0.191844 0.445205
-0.195664 0.447489
-0.194079 0.449772
-0.197856 0.452055
-0.195719 0.454338
-0.199275 0.456621
-0.195877 0.458904
-0.199190 0.461187
-0.195057 0.463470
-0.197956 0.465753
-0.192534 0.468037
-0.194985 0.470320
-0.188549 0.472603
-0.190145 0.474886
-0.182467 0.477169
-0.182673 0.479452
-0.173809 0.481735
-0.171377 0.484018
-0.161062 0.486301
-0.154523 0.488584
-0.143085 0.490868
-0.131838 0.493151
-0.119579 0.495434
-0.104434 0.497717
-0.092194 0.500000
-0.074665 0.502283
-0.062674 0.504566
-0.043891 0.506849
-0.032986 0.509132
-0.013967 0.511416
-0.003946 0.513699
0.014541 0.515982
0.022531 0.518265
0.039539 0.520548
0.046814 0.522831
0.061981 0.525114
0.067069 0.527397
0.079906 0.529680
0.085009 0.531963
0.095624 0.534247
0.099410 0.536530
0.108067 0.538813
0.112256 0.541096
0.119137 0.543379
0.122804 0.545662
0.128412 0.547945
0.132188 0.550228
0.136674 0.552511
0.139847 0.554795
0.143400 0.557078
0.146297 0.559361
0.149113 0.561644
0.151059 0.563927
0.153258 0.566210
0.155053 0.568493
0.156669 0.570776
0.158278 0.573059
0.159575 0.575342
0.162236 0.577626
0.163469 0.579909
0.165992 0.582192
0.167414 0.584475
0.168743 0.586758
0.170643 0.589041
0.168500 0.591324
0.170732 0.593607
0.166334 0.595890
0.168476 0.598174
0.162958 0.600457
0.165005 0.602740
0.160669 0.605023
0.162498 0.607306
0.159540 0.609589
0.161017 0.611872
0.160935 0.614155
0.162295 0.616438
0.164217 0.618721
0.165570 0.621005
0.169771 0.623288
0.171025 0.625571
0.175724 0.627854
0.177017 0.630137
0.181218 0.632420
0.182175 0.634703
0.183802 0.636986
0.184036 0.639269
0.183612 0.641553
0.183257 0.643836
0.180312 0.646119
0.179408 0.648402
0.175617 0.650685
0.174200 0.652968
0.169911 0.655251
0.168466 0.657534
0.164462 0.659817
0.162961 0.662100
0.159104 0.664384
0.157504 0.666667
0.154152 0.668950
0.152679 0.671233
0.149459 0.673516
0.148028 0.675799
0.145006 0.678082
0.143512 0.680365
0.140811 0.682648
0.139472 0.684932
0.136922 0.687215
0.135653 0.689498
0.132979 0.691781
0.131615 0.694064
0.129638 0.696347
0.128431 0.698630
0.126123 0.700913
0.124995 0.703196
0.122879 0.705479
0.121663 0.707763
0.119882 0.710046
0.118833 0.712329
0.116983 0.714612
0.115944 0.716895
0.114140 0.719178
0.113068 0.721461
0.111574 0.723744
0.110668 0.726027
0.109074 0.728311
0.108170 0.730594
0.106608 0.732877
0.105681 0.735160
0.104416 0.737443
0.103656 0.739726
0.102263 0.742009
0.101487 0.744292
0.100115 0.746575
0.099336 0.748858
0.098246 0.751142
0.097621 0.753425
0.096392 0.755708
0.095730 0.757991
0.094518 0.760274
0.093875 0.762557
0.092931 0.764840
0.092419 0.767123
0.091334 0.769406
0.090769 0.771689
0.089699 0.773973
0.089174 0.776256
0.088355 0.778539
0.087937 0.780822
0.086980 0.783105
0.086495 0.785388
0.085549 0.787671
0.085130 0.789954
0.084414 0.792237
0.084075 0.794521
0.083227 0.796804
0.082815 0.799087
0.081974 0.801370
0.081651 0.803653
0.081018 0.805936
0.080746 0.808219
0.079993 0.810502
0.079642 0.812785
0.078893 0.815068
0.078651 0.817352
0.078093 0.819635
0.077869 0.821918
0.077206 0.824201
0.076903 0.826484
0.076241 0.828767
0.076061 0.831050
0.075574 0.833333
0.075381 0.835616
0.074806 0.837900
0.074535 0.840183
0.073959 0.842466
0.073821 0.844749
0.073407 0.847032
0.073227 0.849315
0.072740 0.851598
0.072490 0.853881
0.071997 0.856164
0.071885 0.858447
0.071543 0.860731
0.071366 0.863014
0.070962 0.865297
0.070725 0.867580
0.070311 0.869863
0.070214 0.872146
0.069942 0.874429
0.069763 0.876712
0.069435 0.878995
0.069210 0.881279
0.068866 0.883562
0.068779 0.885845
0.068570 0.888128
0.068391 0.890411
0.068129 0.892694
0.067919 0.894977
0.067636 0.897260
0.067558 0.899543
0.067406 0.901826
0.067231 0.904110
0.067025 0.906393
0.066832 0.908676
0.066605 0.910959
0.066532 0.913242
0.066432 0.915525
0.066268 0.917808
0.066112 0.920091
0.065933 0.922374
0.065755 0.924658
0.065693 0.926941
0.065641 0.929224
0.065483 0.931507
0.065370 0.933790
0.065214 0.936073
0.065083 0.938356
0.065017 0.940639
0.065016 0.942922
0.064868 0.945205
0.064800 0.947489
0.064649 0.949772
0.064574 0.952055
0.064494 0.954338
0.064550 0.956621
0.064399 0.958904
0.064379 0.961187
0.064224 0.963470
0.064206 0.965753
0.064098 0.968037
0.064211 0.970320
0.064053 0.972603
0.064122 0.974886
0.064127 0.977169
0.064856 0.979452
0.066911 0.981735
0.074032 0.984018
0.093117 0.986301
0.145454 0.988584
0.269095 0.990868
0.511848 0.993151
0.832709 0.995434
