title="d2z6      Re=86000     iterations=130001 "
 zone t="d2z6"variables=X,v/U
0.001370 0.000000
0.004110 0.005206
0.006849 0.018181
0.009589 0.000995
0.012329 -0.012791
0.015068 -0.023329
0.017808 -0.029177
0.020548 -0.028579
0.023288 -0.028604
0.026027 -0.027875
0.028767 -0.024947
0.031507 -0.023878
0.034247 -0.022365
0.036986 -0.019339
0.039726 -0.017923
0.042466 -0.015591
0.045205 -0.012122
0.047945 -0.009675
0.050685 -0.006285
0.053425 -0.001803
0.056164 0.001803
0.058904 0.006225
0.061644 0.011669
0.064384 0.016233
0.067123 0.021269
0.069863 0.027403
0.072603 0.032532
0.075342 0.037789
0.078082 0.044196
0.080822 0.049522
0.083562 0.054518
0.086301 0.060747
0.089041 0.065924
0.091781 0.070057
0.094521 0.075421
0.097260 0.080052
0.100000 0.083128
0.102740 0.086947
0.105479 0.090578
0.108219 0.092540
0.110959 0.094966
0.113699 0.097498
0.116438 0.098992
0.119178 0.100983
0.121918 0.104500
0.124658 0.108306
0.127397 0.112086
0.130137 0.115325
0.132877 0.117368
0.135616 0.119056
0.138356 0.121473
0.141096 0.123212
0.143836 0.124677
0.146575 0.126708
0.149315 0.128077
0.152055 0.129082
0.154795 0.130579
0.157534 0.131560
0.160274 0.132281
0.163014 0.133507
0.165753 0.133982
0.168493 0.133999
0.171233 0.134108
0.173973 0.133998
0.176712 0.134201
0.179452 0.135134
0.182192 0.135914
0.184932 0.135853
0.187671 0.136079
0.190411 0.134932
0.193151 0.134005
0.195890 0.132833
0.198630 0.132322
0.201370 0.131444
0.204110 0.132191
0.206849 0.132246
0.209589 0.133187
0.212329 0.133456
0.215068 0.133847
0.217808 0.132674
0.220548 0.131929
0.223288 0.129633
0.226027 0.127620
0.228767 0.124971
0.231507 0.122562
0.234247 0.119532
0.236986 0.116899
0.239726 0.113694
0.242466 0.110508
0.245205 0.107031
0.247945 0.103419
0.250685 0.099514
0.253425 0.095557
0.256164 0.091337
0.258904 0.086985
0.261644 0.082422
0.264384 0.077605
0.267123 0.072459
0.269863 0.067042
0.272603 0.061204
0.275342 0.055020
0.278082 0.048513
0.280822 0.041660
0.283562 0.034440
0.286301 0.027011
0.289041 0.019273
0.291781 0.011202
0.294521 0.002943
0.297260 -0.005480
0.300000 -0.014249
0.302740 -0.022721
0.305479 -0.031163
0.308219 -0.038494
0.310959 -0.045399
0.313699 -0.049099
0.316438 -0.052850
0.319178 -0.051245
0.321918 -0.048872
0.324658 -0.040230
0.327397 -0.029371
0.330137 -0.013220
0.332877 0.004898
0.335616 0.026048
0.338356 0.046580
0.341096 0.068589
0.343836 0.086276
0.346575 0.104858
0.349315 0.116090
0.352055 0.127700
0.354795 0.131793
0.357534 0.135116
0.360274 0.133324
0.363014 0.132889
0.365753 0.131982
0.368493 0.135611
0.371233 0.138978
0.373973 0.146405
0.376712 0.152758
0.379452 0.162452
0.382192 0.169980
0.384932 0.178766
0.387671 0.184876
0.390411 0.189777
0.393151 0.192414
0.395890 0.192704
0.398630 0.191362
0.401370 0.188491
0.404110 0.184621
0.406849 0.180335
0.409589 0.175672
0.412329 0.171173
0.415068 0.166850
0.417808 0.162983
0.420548 0.159795
0.423288 0.157258
0.426027 0.155391
0.428767 0.154101
0.431507 0.153205
0.434247 0.152818
0.436986 0.152746
0.439726 0.153105
0.442466 0.153752
0.445205 0.154449
0.447945 0.155212
0.450685 0.156138
0.453425 0.157184
0.456164 0.158407
0.458904 0.159463
0.461644 0.160055
0.464384 0.160057
0.467123 0.159567
0.469863 0.158399
0.472603 0.156673
0.475342 0.154392
0.478082 0.150972
0.480822 0.145379
0.483562 0.136309
0.486301 0.123732
0.489041 0.108181
0.491781 0.090061
0.494521 0.069782
0.497260 0.048127
0.500000 0.026176
0.502740 0.004049
0.505479 -0.017270
0.508219 -0.036670
0.510959 -0.055039
0.513699 -0.070418
0.516438 -0.083374
0.519178 -0.093855
0.521918 -0.101304
0.524658 -0.106957
0.527397 -0.110721
0.530137 -0.113521
0.532877 -0.114465
0.535616 -0.115971
0.538356 -0.115377
0.541096 -0.116329
0.543836 -0.115929
0.546575 -0.117604
0.549315 -0.117863
0.552055 -0.120638
0.554795 -0.121392
0.557534 -0.123922
0.560274 -0.125070
0.563014 -0.127295
0.565753 -0.128753
0.568493 -0.131389
0.571233 -0.133397
0.573973 -0.135964
0.576712 -0.138412
0.579452 -0.140948
0.582192 -0.143278
0.584932 -0.145986
0.587671 -0.148378
0.590411 -0.150829
0.593151 -0.153218
0.595890 -0.155528
0.598630 -0.157529
0.601370 -0.159629
0.604110 -0.161381
0.606849 -0.163084
0.609589 -0.164607
0.612329 -0.166120
0.615068 -0.167396
0.617808 -0.168820
0.620548 -0.169888
0.623288 -0.171084
0.626027 -0.172177
0.628767 -0.173237
0.631507 -0.174031
0.634247 -0.175165
0.636986 -0.175835
0.639726 -0.176735
0.642466 -0.177512
0.645205 -0.178361
0.647945 -0.178976
0.650685 -0.180051
0.653425 -0.180663
0.656164 -0.181724
0.658904 -0.182578
0.661644 -0.183756
0.664384 -0.184588
0.667123 -0.186037
0.669863 -0.186920
0.672603 -0.188721
0.675342 -0.190095
0.678082 -0.191707
0.680822 -0.191765
0.683562 -0.191682
0.686301 -0.189522
0.689041 -0.187902
0.691781 -0.185349
0.694521 -0.184333
0.697260 -0.182646
0.700000 -0.182809
0.702740 -0.181546
0.705479 -0.181547
0.708219 -0.179796
0.710959 -0.178956
0.713699 -0.176091
0.716438 -0.174467
0.719178 -0.170556
0.721918 -0.167610
0.724658 -0.162800
0.727397 -0.158477
0.730137 -0.152332
0.732877 -0.146585
0.735616 -0.138790
0.738356 -0.131735
0.741096 -0.122313
0.743836 -0.113539
0.746575 -0.103206
0.749315 -0.092897
0.752055 -0.081524
0.754795 -0.070811
0.757534 -0.058772
0.760274 -0.047816
0.763014 -0.036422
0.765753 -0.025678
0.768493 -0.015119
0.771233 -0.005698
0.773973 0.003666
0.776712 0.011749
0.779452 0.019156
0.782192 0.025680
0.784932 0.031550
0.787671 0.036230
0.790411 0.040734
0.793151 0.044958
0.795890 0.048944
0.798630 0.052790
0.801370 0.056581
0.804110 0.059167
0.806849 0.061062
0.809589 0.061679
0.812329 0.061484
0.815068 0.060129
0.817808 0.058892
0.820548 0.056596
0.823288 0.054341
0.826027 0.052043
0.828767 0.049952
0.831507 0.047966
0.834247 0.047434
0.836986 0.046679
0.839726 0.046434
0.842466 0.046444
0.845205 0.045935
0.847945 0.044572
0.850685 0.042918
0.853425 0.039622
0.856164 0.035883
0.858904 0.032575
0.861644 0.029350
0.864384 0.025596
0.867123 0.020789
0.869863 0.013963
0.872603 0.006091
0.875342 0.003262
0.878082 0.003567
0.880822 0.002357
0.883562 0.000035
0.886301 -0.004978
0.889041 -0.011731
0.891781 -0.018741
0.894521 -0.026280
0.897260 -0.034603
0.900000 -0.042900
0.902740 -0.051960
0.905479 -0.062061
0.908219 -0.072111
0.910959 -0.082331
