title="d2z6      Re=86000     iterations=305001 "
 zone t="d2z6"variables=X,v/U
0.001370 0.000000
0.004110 -0.004341
0.006849 -0.007434
0.009589 0.001797
0.012329 0.009873
0.015068 0.016027
0.017808 0.022440
0.020548 0.027187
0.023288 0.029299
0.026027 0.031233
0.028767 0.034698
0.031507 0.038065
0.034247 0.041893
0.036986 0.046494
0.039726 0.051173
0.042466 0.055344
0.045205 0.060490
0.047945 0.065893
0.050685 0.071634
0.053425 0.078442
0.056164 0.086240
0.058904 0.094384
0.061644 0.103411
0.064384 0.112715
0.067123 0.121981
0.069863 0.131327
0.072603 0.140673
0.075342 0.149598
0.078082 0.158259
0.080822 0.166776
0.083562 0.174450
0.086301 0.181546
0.089041 0.188351
0.091781 0.193648
0.094521 0.198424
0.097260 0.202442
0.100000 0.205149
0.102740 0.207378
0.105479 0.209250
0.108219 0.210171
0.110959 0.211182
0.113699 0.211963
0.116438 0.212220
0.119178 0.212589
0.121918 0.213162
0.124658 0.213354
0.127397 0.214389
0.130137 0.215991
0.132877 0.218463
0.135616 0.222342
0.138356 0.227747
0.141096 0.233977
0.143836 0.241658
0.146575 0.249677
0.149315 0.257451
0.152055 0.264594
0.154795 0.270622
0.157534 0.274633
0.160274 0.276995
0.163014 0.277350
0.165753 0.275865
0.168493 0.273326
0.171233 0.270184
0.173973 0.266622
0.176712 0.263183
0.179452 0.259818
0.182192 0.256187
0.184932 0.252441
0.187671 0.248353
0.190411 0.243328
0.193151 0.237530
0.195890 0.230555
0.198630 0.222244
0.201370 0.212955
0.204110 0.203090
0.206849 0.192673
0.209589 0.182702
0.212329 0.173167
0.215068 0.164088
0.217808 0.155669
0.220548 0.147965
0.223288 0.140704
0.226027 0.134858
0.228767 0.130533
0.231507 0.127694
0.234247 0.126487
0.236986 0.126106
0.239726 0.125269
0.242466 0.124380
0.245205 0.124215
0.247945 0.125053
0.250685 0.127313
0.253425 0.130496
0.256164 0.133761
0.258904 0.137131
0.261644 0.140523
0.264384 0.143479
0.267123 0.146279
0.269863 0.148944
0.272603 0.151040
0.275342 0.152764
0.278082 0.154262
0.280822 0.155081
0.283562 0.155478
0.286301 0.155731
0.289041 0.155327
0.291781 0.154647
0.294521 0.153851
0.297260 0.152517
0.300000 0.151018
0.302740 0.149440
0.305479 0.147444
0.308219 0.145331
0.310959 0.143206
0.313699 0.140824
0.316438 0.138369
0.319178 0.135993
0.321918 0.133479
0.324658 0.130968
0.327397 0.128582
0.330137 0.126159
0.332877 0.123765
0.335616 0.121509
0.338356 0.119208
0.341096 0.116955
0.343836 0.114793
0.346575 0.112598
0.349315 0.110456
0.352055 0.108413
0.354795 0.106371
0.357534 0.104441
0.360274 0.102646
0.363014 0.100884
0.365753 0.099304
0.368493 0.097849
0.371233 0.096448
0.373973 0.095231
0.376712 0.094128
0.379452 0.093044
0.382192 0.092147
0.384932 0.091326
0.387671 0.090501
0.390411 0.089857
0.393151 0.089251
0.395890 0.088640
0.398630 0.088183
0.401370 0.087761
0.404110 0.087305
0.406849 0.087008
0.409589 0.086714
0.412329 0.086381
0.415068 0.086187
0.417808 0.085979
0.420548 0.085712
0.423288 0.085570
0.426027 0.085386
0.428767 0.085147
0.431507 0.085051
0.434247 0.084986
0.436986 0.085017
0.439726 0.085408
0.442466 0.086099
0.445205 0.087158
0.447945 0.088828
0.450685 0.090940
0.453425 0.093523
0.456164 0.096666
0.458904 0.100158
0.461644 0.103939
0.464384 0.108005
0.467123 0.112038
0.469863 0.115953
0.472603 0.119602
0.475342 0.122629
0.478082 0.124888
0.480822 0.126378
0.483562 0.126895
0.486301 0.126684
0.489041 0.126025
0.491781 0.124818
0.494521 0.123376
0.497260 0.121959
0.500000 0.120752
0.502740 0.119799
0.505479 0.119076
0.508219 0.118065
0.510959 0.116690
0.513699 0.114850
0.516438 0.112822
0.519178 0.110567
0.521918 0.108291
0.524658 0.105702
0.527397 0.103010
0.530137 0.099973
0.532877 0.096665
0.535616 0.093175
0.538356 0.089501
0.541096 0.084865
0.543836 0.079067
0.546575 0.072097
0.549315 0.064234
0.552055 0.056066
0.554795 0.048479
0.557534 0.041535
0.560274 0.035325
0.563014 0.030235
0.565753 0.025756
0.568493 0.022021
0.571233 0.019266
0.573973 0.017090
0.576712 0.015048
0.579452 0.013988
0.582192 0.012861
0.584932 0.011743
0.587671 0.010811
0.590411 0.009683
0.593151 0.008279
0.595890 0.007207
0.598630 0.005232
0.601370 0.003132
0.604110 0.001268
0.606849 -0.001363
0.609589 -0.004623
0.612329 -0.007551
0.615068 -0.011398
0.617808 -0.015442
0.620548 -0.019309
0.623288 -0.023797
0.626027 -0.028762
0.628767 -0.033248
0.631507 -0.038236
0.634247 -0.043382
0.636986 -0.048371
0.639726 -0.053480
0.642466 -0.058992
0.645205 -0.063924
0.647945 -0.069423
0.650685 -0.074515
0.653425 -0.079972
0.656164 -0.084809
0.658904 -0.090404
0.661644 -0.095012
0.664384 -0.100521
0.667123 -0.104870
0.669863 -0.110269
0.672603 -0.114212
0.675342 -0.119372
0.678082 -0.122976
0.680822 -0.127474
0.683562 -0.130860
0.686301 -0.134717
0.689041 -0.137705
0.691781 -0.141198
0.694521 -0.144447
0.697260 -0.147586
0.700000 -0.152154
0.702740 -0.155553
0.705479 -0.160367
0.708219 -0.164119
0.710959 -0.168622
0.713699 -0.172466
0.716438 -0.177028
0.719178 -0.181309
0.721918 -0.185715
0.724658 -0.189991
0.727397 -0.194279
0.730137 -0.197585
0.732877 -0.201521
0.735616 -0.205221
0.738356 -0.209244
0.741096 -0.213881
0.743836 -0.218774
0.746575 -0.222757
0.749315 -0.226617
0.752055 -0.229126
0.754795 -0.230994
0.757534 -0.231606
0.760274 -0.232179
0.763014 -0.231761
0.765753 -0.231856
0.768493 -0.231113
0.771233 -0.231171
0.773973 -0.230320
0.776712 -0.230269
0.779452 -0.229344
0.782192 -0.229333
0.784932 -0.228720
0.787671 -0.228482
0.790411 -0.228317
0.793151 -0.228251
0.795890 -0.227992
0.798630 -0.228067
0.801370 -0.228119
0.804110 -0.228051
0.806849 -0.228050
0.809589 -0.228422
0.812329 -0.228339
0.815068 -0.228394
0.817808 -0.228804
0.820548 -0.228748
0.823288 -0.228749
0.826027 -0.229234
0.828767 -0.229064
0.831507 -0.229318
0.834247 -0.229551
0.836986 -0.229812
0.839726 -0.230010
0.842466 -0.230551
0.845205 -0.231019
0.847945 -0.231422
0.850685 -0.232043
0.853425 -0.233133
0.856164 -0.233736
0.858904 -0.234647
0.861644 -0.235691
0.864384 -0.237239
0.867123 -0.238488
0.869863 -0.239620
0.872603 -0.242037
0.875342 -0.243297
0.878082 -0.245484
0.880822 -0.247704
0.883562 -0.249839
0.886301 -0.252144
0.889041 -0.254288
0.891781 -0.256432
0.894521 -0.258512
0.897260 -0.260250
0.900000 -0.261406
0.902740 -0.262948
0.905479 -0.264030
0.908219 -0.263643
0.910959 -0.265132
0.913699 -0.264318
0.916438 -0.264688
0.919178 -0.264748
0.921918 -0.264288
0.924658 -0.263114
0.927397 -0.263232
0.930137 -0.264337
0.932877 -0.262271
0.935616 -0.261330
0.938356 -0.263069
0.941096 -0.261819
0.943836 -0.259991
0.946575 -0.258260
0.949315 -0.257637
0.952055 -0.257839
0.954795 -0.255156
0.957534 -0.249562
0.960274 -0.246023
0.963014 -0.245596
0.965753 -0.244945
0.968493 -0.241843
0.971233 -0.238243
0.973973 -0.234064
0.976712 -0.227742
0.979452 -0.222817
0.982192 -0.220180
0.984932 -0.214203
0.987671 -0.190700
0.990411 -0.156440
0.993151 -0.116401
0.995890 -0.057515
0.998630 -0.000038
