title="d2z6      Re=86000     iterations=295001 "
 zone t="d2z6"variables=X,v/U
0.001370 0.000000
0.004110 0.017120
0.006849 0.084442
0.009589 0.118455
0.012329 0.133588
0.015068 0.134848
0.017808 0.128977
0.020548 0.121152
0.023288 0.111404
0.026027 0.101167
0.028767 0.094213
0.031507 0.088436
0.034247 0.084558
0.036986 0.083954
0.039726 0.083673
0.042466 0.084453
0.045205 0.086834
0.047945 0.088698
0.050685 0.091050
0.053425 0.094194
0.056164 0.096608
0.058904 0.099269
0.061644 0.102373
0.064384 0.104812
0.067123 0.107355
0.069863 0.110185
0.072603 0.112377
0.075342 0.114558
0.078082 0.116971
0.080822 0.118741
0.083562 0.120409
0.086301 0.122355
0.089041 0.123673
0.091781 0.124843
0.094521 0.126364
0.097260 0.127321
0.100000 0.128174
0.102740 0.129465
0.105479 0.130279
0.108219 0.131033
0.110959 0.132344
0.113699 0.133258
0.116438 0.134148
0.119178 0.135657
0.121918 0.136840
0.124658 0.137976
0.127397 0.139828
0.130137 0.141386
0.132877 0.142754
0.135616 0.144879
0.138356 0.146863
0.141096 0.148462
0.143836 0.150678
0.146575 0.153013
0.149315 0.154803
0.152055 0.157034
0.154795 0.159497
0.157534 0.161448
0.160274 0.163581
0.163014 0.166030
0.165753 0.167964
0.168493 0.169991
0.171233 0.172222
0.173973 0.174137
0.176712 0.176017
0.179452 0.178274
0.182192 0.180409
0.184932 0.182756
0.187671 0.185289
0.190411 0.187932
0.193151 0.189270
0.195890 0.187525
0.198630 0.182750
0.201370 0.178517
0.204110 0.177009
0.206849 0.177171
0.209589 0.176931
0.212329 0.174917
0.215068 0.170858
0.217808 0.165877
0.220548 0.161018
0.223288 0.156799
0.226027 0.153412
0.228767 0.150620
0.231507 0.148104
0.234247 0.145711
0.236986 0.142917
0.239726 0.138526
0.242466 0.132287
0.245205 0.124467
0.247945 0.118231
0.250685 0.117204
0.253425 0.122802
0.256164 0.132218
0.258904 0.144137
0.261644 0.157396
0.264384 0.171189
0.267123 0.184333
0.269863 0.196079
0.272603 0.205505
0.275342 0.211462
0.278082 0.214505
0.280822 0.213740
0.283562 0.211433
0.286301 0.208153
0.289041 0.205992
0.291781 0.204803
0.294521 0.204538
0.297260 0.204582
0.300000 0.204436
0.302740 0.204927
0.305479 0.204911
0.308219 0.204783
0.310959 0.203159
0.313699 0.201784
0.316438 0.198458
0.319178 0.197021
0.321918 0.193125
0.324658 0.191679
0.327397 0.186737
0.330137 0.184968
0.332877 0.179939
0.335616 0.178913
0.338356 0.175007
0.341096 0.173649
0.343836 0.170562
0.346575 0.169994
0.349315 0.169118
0.352055 0.169672
0.354795 0.169424
0.357534 0.169749
0.360274 0.169380
0.363014 0.169078
0.365753 0.168037
0.368493 0.167074
0.371233 0.165426
0.373973 0.163987
0.376712 0.162039
0.379452 0.160402
0.382192 0.158365
0.384932 0.156689
0.387671 0.154849
0.390411 0.153104
0.393151 0.151535
0.395890 0.149917
0.398630 0.148475
0.401370 0.147000
0.404110 0.145835
0.406849 0.144332
0.409589 0.143397
0.412329 0.142055
0.415068 0.141122
0.417808 0.139915
0.420548 0.139149
0.423288 0.137891
0.426027 0.137218
0.428767 0.136118
0.431507 0.135341
0.434247 0.134345
0.436986 0.133646
0.439726 0.132608
0.442466 0.131918
0.445205 0.131031
0.447945 0.130192
0.450685 0.129429
0.453425 0.128619
0.456164 0.127821
0.458904 0.127021
0.461644 0.126384
0.464384 0.125415
0.467123 0.124930
0.469863 0.123991
0.472603 0.123490
0.475342 0.122563
0.478082 0.122269
0.480822 0.121184
0.483562 0.121081
0.486301 0.120065
0.489041 0.119980
0.491781 0.119000
0.494521 0.119198
0.497260 0.118060
0.500000 0.118499
0.502740 0.117474
0.505479 0.117972
0.508219 0.116984
0.510959 0.117813
0.513699 0.116685
0.516438 0.117750
0.519178 0.116732
0.521918 0.117859
0.524658 0.116848
0.527397 0.118252
0.530137 0.117056
0.532877 0.118608
0.535616 0.117377
0.538356 0.118785
0.541096 0.117356
0.543836 0.118619
0.546575 0.116599
0.549315 0.117455
0.552055 0.114902
0.554795 0.115132
0.557534 0.112128
0.560274 0.112292
0.563014 0.109274
0.565753 0.109831
0.568493 0.107491
0.571233 0.108518
0.573973 0.106501
0.576712 0.107711
0.579452 0.105521
0.582192 0.106576
0.584932 0.104589
0.587671 0.106022
0.590411 0.104553
0.593151 0.106708
0.595890 0.105452
0.598630 0.107736
0.601370 0.105961
0.604110 0.107758
0.606849 0.104532
0.609589 0.105494
0.612329 0.100643
0.615068 0.101111
0.617808 0.095254
0.620548 0.095981
0.623288 0.089668
0.626027 0.090556
0.628767 0.083646
0.631507 0.083988
0.634247 0.075728
0.636986 0.074942
0.639726 0.065014
0.642466 0.062593
0.645205 0.051058
0.647945 0.047138
0.650685 0.033846
0.653425 0.028513
0.656164 0.014038
0.658904 0.007102
0.661644 -0.008331
0.664384 -0.016363
0.667123 -0.032490
0.669863 -0.041592
0.672603 -0.057743
0.675342 -0.067422
0.678082 -0.083831
0.680822 -0.093040
0.683562 -0.109526
0.686301 -0.118358
0.689041 -0.133757
0.691781 -0.142456
0.694521 -0.156149
0.697260 -0.164590
0.700000 -0.176122
0.702740 -0.184138
0.705479 -0.193665
0.708219 -0.200224
0.710959 -0.208860
0.713699 -0.212806
0.716438 -0.220832
0.719178 -0.223067
0.721918 -0.228939
0.724658 -0.231404
0.727397 -0.233884
0.730137 -0.237974
0.732877 -0.236542
0.735616 -0.243152
0.738356 -0.238027
0.741096 -0.246552
0.743836 -0.239776
0.746575 -0.248321
0.749315 -0.241782
0.752055 -0.249183
0.754795 -0.243720
0.757534 -0.251197
0.760274 -0.249732
0.763014 -0.258413
0.765753 -0.260925
0.768493 -0.268213
0.771233 -0.270077
0.773973 -0.273495
0.776712 -0.273644
0.779452 -0.273772
0.782192 -0.274163
0.784932 -0.273063
0.787671 -0.274124
0.790411 -0.272926
0.793151 -0.274703
0.795890 -0.273019
0.798630 -0.275131
0.801370 -0.272574
0.804110 -0.273283
0.806849 -0.270163
0.809589 -0.270018
0.812329 -0.267242
0.815068 -0.268255
0.817808 -0.267347
0.820548 -0.269353
0.823288 -0.271154
0.826027 -0.274162
0.828767 -0.277703
0.831507 -0.282072
0.834247 -0.286871
0.836986 -0.291452
0.839726 -0.297339
0.842466 -0.301826
0.845205 -0.307306
0.847945 -0.311662
0.850685 -0.316153
0.853425 -0.319051
0.856164 -0.322385
0.858904 -0.323904
0.861644 -0.325604
0.864384 -0.326641
0.867123 -0.327873
0.869863 -0.328744
0.872603 -0.330470
0.875342 -0.331796
0.878082 -0.333151
0.880822 -0.334452
0.883562 -0.335277
0.886301 -0.335762
0.889041 -0.336364
0.891781 -0.336334
0.894521 -0.336731
0.897260 -0.337009
0.900000 -0.336782
0.902740 -0.337080
0.905479 -0.337337
0.908219 -0.337113
0.910959 -0.337332
0.913699 -0.337772
0.916438 -0.336790
0.919178 -0.336432
0.921918 -0.336218
0.924658 -0.335354
0.927397 -0.334995
0.930137 -0.335355
0.932877 -0.335171
0.935616 -0.335817
0.938356 -0.336563
0.941096 -0.335370
0.943836 -0.332445
0.946575 -0.327861
0.949315 -0.321467
0.952055 -0.314070
0.954795 -0.306413
0.957534 -0.297514
0.960274 -0.291371
0.963014 -0.295414
0.965753 -0.313474
0.968493 -0.342013
0.971233 -0.371405
0.973973 -0.396600
0.976712 -0.406946
0.979452 -0.390235
0.982192 -0.348571
0.984932 -0.289350
0.987671 -0.232931
0.990411 -0.188947
0.993151 -0.118008
0.995890 -0.021339
0.998630 0.000098
