title="d2z6      Re=86000     iterations=495001 "
 zone t="d2z6"variables=X,v/U
0.001370 0.000000
0.004110 0.026488
0.006849 0.133195
0.009589 0.198142
0.012329 0.226842
0.015068 0.233534
0.017808 0.231874
0.020548 0.229351
0.023288 0.226556
0.026027 0.222560
0.028767 0.220263
0.031507 0.217863
0.034247 0.214767
0.036986 0.212608
0.039726 0.211898
0.042466 0.211980
0.045205 0.215264
0.047945 0.220244
0.050685 0.225324
0.053425 0.231139
0.056164 0.236496
0.058904 0.239496
0.061644 0.241511
0.064384 0.242121
0.067123 0.241307
0.069863 0.240579
0.072603 0.239349
0.075342 0.237022
0.078082 0.235243
0.080822 0.233132
0.083562 0.230848
0.086301 0.229303
0.089041 0.227912
0.091781 0.226470
0.094521 0.225889
0.097260 0.224844
0.100000 0.224175
0.102740 0.223723
0.105479 0.223320
0.108219 0.223389
0.110959 0.224194
0.113699 0.225339
0.116438 0.227363
0.119178 0.229968
0.121918 0.233064
0.124658 0.236471
0.127397 0.240178
0.130137 0.244118
0.132877 0.247681
0.135616 0.251268
0.138356 0.254681
0.141096 0.257165
0.143836 0.259412
0.146575 0.261165
0.149315 0.262016
0.152055 0.262542
0.154795 0.262854
0.157534 0.262985
0.160274 0.263215
0.163014 0.263788
0.165753 0.264745
0.168493 0.264416
0.171233 0.263616
0.173973 0.260867
0.176712 0.256723
0.179452 0.253240
0.182192 0.249780
0.184932 0.244831
0.187671 0.241975
0.190411 0.235733
0.193151 0.233991
0.195890 0.227894
0.198630 0.228357
0.201370 0.222811
0.204110 0.223916
0.206849 0.219979
0.209589 0.219357
0.212329 0.217013
0.215068 0.215128
0.217808 0.213055
0.220548 0.211067
0.223288 0.209052
0.226027 0.207134
0.228767 0.205322
0.231507 0.203649
0.234247 0.202002
0.236986 0.200737
0.239726 0.199167
0.242466 0.198461
0.245205 0.196945
0.247945 0.196491
0.250685 0.195480
0.253425 0.194869
0.256164 0.194160
0.258904 0.193856
0.261644 0.192901
0.264384 0.192805
0.267123 0.191968
0.269863 0.191589
0.272603 0.190857
0.275342 0.190378
0.278082 0.189465
0.280822 0.188896
0.283562 0.187869
0.286301 0.187121
0.289041 0.185949
0.291781 0.185088
0.294521 0.183757
0.297260 0.182752
0.300000 0.181270
0.302740 0.180155
0.305479 0.178463
0.308219 0.177196
0.310959 0.175284
0.313699 0.173783
0.316438 0.171480
0.319178 0.169598
0.321918 0.166798
0.324658 0.164276
0.327397 0.160900
0.330137 0.157777
0.332877 0.153744
0.335616 0.150071
0.338356 0.145789
0.341096 0.141679
0.343836 0.137220
0.346575 0.133089
0.349315 0.128488
0.352055 0.124521
0.354795 0.119997
0.357534 0.115928
0.360274 0.111734
0.363014 0.107674
0.365753 0.103377
0.368493 0.099535
0.371233 0.095200
0.373973 0.091198
0.376712 0.086965
0.379452 0.082885
0.382192 0.078421
0.384932 0.074422
0.387671 0.069804
0.390411 0.065603
0.393151 0.061044
0.395890 0.056626
0.398630 0.051869
0.401370 0.047667
0.404110 0.042559
0.406849 0.038363
0.409589 0.033336
0.412329 0.029387
0.415068 0.023704
0.417808 0.020974
0.420548 0.014324
0.423288 0.012771
0.426027 0.005320
0.428767 0.005206
0.431507 -0.003329
0.434247 -0.002049
0.436986 -0.010812
0.439726 -0.009708
0.442466 -0.017522
0.445205 -0.017405
0.447945 -0.024522
0.450685 -0.025262
0.453425 -0.031744
0.456164 -0.033232
0.458904 -0.039051
0.461644 -0.040744
0.464384 -0.046512
0.467123 -0.048237
