title="d2z6      Re=86000     iterations=315001 "
 zone t="d2z6"variables=X,v/U
0.001370 0.000000
0.004110 0.016536
0.006849 0.095321
0.009589 0.161414
0.012329 0.200783
0.015068 0.218719
0.017808 0.226812
0.020548 0.233623
0.023288 0.237982
0.026027 0.240699
0.028767 0.244271
0.031507 0.246073
0.034247 0.246740
0.036986 0.248281
0.039726 0.248693
0.042466 0.248727
0.045205 0.249607
0.047945 0.249950
0.050685 0.250358
0.053425 0.251305
0.056164 0.252095
0.058904 0.252767
0.061644 0.253470
0.064384 0.253917
0.067123 0.253607
0.069863 0.252986
0.072603 0.252081
0.075342 0.250400
0.078082 0.248567
0.080822 0.246667
0.083562 0.244164
0.086301 0.241551
0.089041 0.238976
0.091781 0.235735
0.094521 0.232344
0.097260 0.228879
0.100000 0.224723
0.102740 0.220348
0.105479 0.216053
0.108219 0.211102
0.110959 0.206419
0.113699 0.201975
0.116438 0.197466
0.119178 0.193435
0.121918 0.189908
0.124658 0.186224
0.127397 0.183097
0.130137 0.180159
0.132877 0.177373
0.135616 0.175083
0.138356 0.173591
0.141096 0.172663
0.143836 0.173548
0.146575 0.176136
0.149315 0.181160
0.152055 0.188717
0.154795 0.198921
0.157534 0.210695
0.160274 0.223925
0.163014 0.237127
0.165753 0.249175
0.168493 0.259621
0.171233 0.267208
0.173973 0.272152
0.176712 0.274272
0.179452 0.275407
0.182192 0.275188
0.184932 0.274996
0.187671 0.273691
0.190411 0.272401
0.193151 0.271269
0.195890 0.271163
0.198630 0.271918
0.201370 0.273284
0.204110 0.275051
0.206849 0.276430
0.209589 0.277482
0.212329 0.278021
0.215068 0.277874
0.217808 0.277172
0.220548 0.275978
0.223288 0.274164
0.226027 0.271976
0.228767 0.270037
0.231507 0.268439
0.234247 0.268265
0.236986 0.269454
0.239726 0.271831
0.242466 0.274123
0.245205 0.276812
0.247945 0.278376
0.250685 0.280377
0.253425 0.281826
0.256164 0.283612
0.258904 0.284668
0.261644 0.285948
0.264384 0.286234
0.267123 0.286332
0.269863 0.285678
0.272603 0.284861
0.275342 0.283162
0.278082 0.281864
