title="d2z6      Re=86000     iterations=125001 "
 zone t="d2z6"variables=X,v/U
0.001370 0.000000
0.004110 -0.009472
0.006849 -0.027051
0.009589 -0.020528
0.012329 -0.013493
0.015068 -0.012177
0.017808 -0.011503
0.020548 -0.010558
0.023288 -0.011961
0.026027 -0.012968
0.028767 -0.012412
0.031507 -0.013730
0.034247 -0.014618
0.036986 -0.014124
0.039726 -0.015046
0.042466 -0.017623
0.045205 -0.019694
0.047945 -0.022648
0.050685 -0.025119
0.053425 -0.026058
0.056164 -0.027458
0.058904 -0.030010
0.061644 -0.031184
0.064384 -0.031622
0.067123 -0.032067
0.069863 -0.031282
0.072603 -0.029045
0.075342 -0.025795
0.078082 -0.021170
0.080822 -0.015343
0.083562 -0.008879
0.086301 -0.001502
0.089041 0.006587
0.091781 0.014706
0.094521 0.023916
0.097260 0.034549
0.100000 0.045767
0.102740 0.058299
0.105479 0.072189
0.108219 0.086771
0.110959 0.101988
0.113699 0.117948
0.116438 0.133533
0.119178 0.148795
0.121918 0.163713
0.124658 0.177397
0.127397 0.189997
0.130137 0.201594
0.132877 0.211397
0.135616 0.219597
0.138356 0.226278
0.141096 0.230830
0.143836 0.233730
0.146575 0.235517
0.149315 0.236175
0.152055 0.236572
0.154795 0.237213
0.157534 0.237905
0.160274 0.238766
0.163014 0.240497
0.165753 0.242585
0.168493 0.245286
0.171233 0.248347
0.173973 0.251031
0.176712 0.253079
0.179452 0.254410
0.182192 0.254990
0.184932 0.254805
0.187671 0.255071
0.190411 0.255125
0.193151 0.255777
0.195890 0.256683
0.198630 0.257572
0.201370 0.257789
0.204110 0.257901
0.206849 0.257562
0.209589 0.257402
0.212329 0.257397
0.215068 0.257558
0.217808 0.257272
0.220548 0.257045
0.223288 0.256120
0.226027 0.255037
0.228767 0.253363
0.231507 0.251582
0.234247 0.249015
0.236986 0.246421
0.239726 0.242922
0.242466 0.239247
0.245205 0.234724
0.247945 0.230069
0.250685 0.224638
0.253425 0.219333
0.256164 0.213476
0.258904 0.207850
0.261644 0.201924
0.264384 0.196225
0.267123 0.190206
0.269863 0.184319
0.272603 0.178000
0.275342 0.171654
0.278082 0.164866
0.280822 0.157956
0.283562 0.150702
0.286301 0.143404
0.289041 0.135728
0.291781 0.128076
0.294521 0.120251
0.297260 0.112632
0.300000 0.105278
0.302740 0.098553
0.305479 0.092100
0.308219 0.086352
0.310959 0.081099
0.313699 0.076301
0.316438 0.072067
0.319178 0.068581
0.321918 0.065300
0.324658 0.062751
0.327397 0.060763
0.330137 0.058967
0.332877 0.057718
0.335616 0.057040
0.338356 0.056275
0.341096 0.056085
0.343836 0.056200
0.346575 0.056214
0.349315 0.056561
0.352055 0.057202
0.354795 0.057499
0.357534 0.058152
0.360274 0.058835
0.363014 0.059244
0.365753 0.059776
0.368493 0.060413
0.371233 0.060609
0.373973 0.061049
0.376712 0.061461
0.379452 0.061615
0.382192 0.061931
0.384932 0.062392
0.387671 0.062583
0.390411 0.063051
0.393151 0.063653
0.395890 0.064066
0.398630 0.064686
0.401370 0.065503
0.404110 0.066131
0.406849 0.067054
0.409589 0.068283
0.412329 0.069438
0.415068 0.070708
0.417808 0.071974
0.420548 0.072602
0.423288 0.072995
0.426027 0.073324
0.428767 0.073419
0.431507 0.073630
0.434247 0.074210
0.436986 0.074548
0.439726 0.074855
0.442466 0.074931
0.445205 0.074220
0.447945 0.072549
0.450685 0.069967
0.453425 0.065759
0.456164 0.060134
0.458904 0.053218
0.461644 0.044752
0.464384 0.034957
0.467123 0.024365
0.469863 0.012633
0.472603 0.000194
0.475342 -0.012390
0.478082 -0.025361
0.480822 -0.038273
0.483562 -0.050406
0.486301 -0.062327
0.489041 -0.073147
0.491781 -0.082821
0.494521 -0.091563
0.497260 -0.098940
0.500000 -0.104975
0.502740 -0.110136
0.505479 -0.114044
0.508219 -0.117223
0.510959 -0.119851
0.513699 -0.121868
0.516438 -0.123304
0.519178 -0.124275
0.521918 -0.124202
0.524658 -0.123451
0.527397 -0.122027
0.530137 -0.119960
0.532877 -0.117685
0.535616 -0.115392
0.538356 -0.112920
0.541096 -0.110749
0.543836 -0.108761
0.546575 -0.106850
0.549315 -0.105309
0.552055 -0.104031
0.554795 -0.102860
0.557534 -0.102024
0.560274 -0.101419
0.563014 -0.100918
0.565753 -0.100655
0.568493 -0.100636
0.571233 -0.100640
0.573973 -0.100845
0.576712 -0.101306
0.579452 -0.101668
0.582192 -0.102277
0.584932 -0.103062
0.587671 -0.103678
0.590411 -0.104573
0.593151 -0.105517
0.595890 -0.106239
0.598630 -0.107234
0.601370 -0.108133
0.604110 -0.108770
0.606849 -0.109643
