Itterate ,Time ,RMS_Error ,MAX_ABS_U_Error ,MAX_ABS_U_Error_position_X ,MAX_ABS_U_Error_position_Y ,MAX_ABS_V_Error ,MAX_ABS_V_Error_position_X, MAX_ABS_V_Error_position_Y ,MAX_RS_Error ,MAX_RS_Error_Position_X ,MAX_RS_Error_Position_Y ,Bulk_Velocity_ABS_Error ,Bulk_Velocity_ABS_Error_Position_X ,Bulk_Velocity_ABS_Error_Position_Y
58001,15.3258,0.680638,0.0527918,421,268,0.0507454,367,432,54.7074,459,169,0.00316596,418,266,
59001,15.59,0.764712,0.0545238,418,267,0.0423002,398,368,162.324,262,295,0.00259435,368,430,
60001,15.8543,0.772464,0.0388067,408,254,0.0359633,420,263,100.959,267,313,0.00255574,369,424,
61001,16.1185,0.685249,0.0372929,379,397,0.0437519,366,434,56.4691,397,235,0.00269856,366,434,
62001,16.3827,0.734186,0.0491612,420,224,0.0490679,389,377,155.544,302,316,0.00371909,389,377,
63001,16.647,1.05062,0.0412127,414,210,0.0526675,393,374,225.799,383,362,0.00345883,385,377,
64001,16.9112,1.06508,0.0486584,383,367,0.0418112,367,433,114.774,394,376,0.00363267,383,367,
65001,17.1754,0.993336,0.0424913,441,244,0.0431165,367,433,247.379,501,164,0.00375287,373,360,
66001,17.4397,1.37893,0.0596204,380,384,0.0438462,375,353,483.573,426,314,0.00502169,381,384,
67001,17.7039,1.48167,0.0413133,372,341,0.0423151,368,343,413.959,347,115,0.0031544,375,358,
68001,17.9681,2.40772,0.051631,376,358,0.0653437,387,351,829.793,446,273,0.00402917,375,358,
69001,18.2324,0.890312,0.0509332,381,386,0.0561587,367,432,84.0557,371,405,0.00413657,323,435,
70001,18.4966,1.05862,0.0572457,385,364,0.0526752,392,358,216.829,481,98,0.00357533,368,430,
71001,18.7608,0.699872,0.0530303,402,322,0.0667876,398,344,60.5961,383,380,0.00541045,398,344,
72001,19.0251,0.961029,0.061895,405,338,0.0528606,396,347,221.606,412,342,0.00519275,396,347,
73001,19.2893,0.783417,0.0604805,411,325,0.0457257,391,368,67.2928,251,242,0.00417836,391,369,
74001,19.5535,1.13608,0.0598224,414,316,0.0451183,410,335,281.355,416,276,0.00468454,308,435,
75001,19.8178,0.814775,0.0701156,403,305,0.0555631,417,315,90.1515,420,267,0.00617581,320,435,
76001,20.082,0.941555,0.0445453,322,434,0.0614132,401,285,152.024,514,138,0.00603954,340,435,
77001,20.3462,0.798271,0.0466548,303,425,0.0511909,394,282,116.105,360,396,0.00535985,340,435,
78001,20.6105,0.761119,0.0456084,439,265,0.0472001,378,408,70.5549,459,223,0.00466854,343,435,
79001,20.8747,1.65925,0.046999,443,252,0.0364462,423,250,582.87,327,36,0.0034553,345,435,
80001,21.1389,1.10576,0.0376499,435,237,0.046486,410,343,287.172,340,19,0.00251918,395,365,
81001,21.4032,1.43335,0.0484552,449,222,0.0441036,416,328,285.402,541,84,0.00450617,317,435,
82001,21.6674,1.06212,0.0551902,445,209,0.0429013,424,313,257.554,504,158,0.00425948,339,435,
83001,21.9316,1.42423,0.0490183,373,410,0.0485233,431,297,377.526,470,226,0.00385281,374,411,
84001,22.1959,0.964975,0.0610156,405,316,0.0493904,404,353,113.734,402,360,0.00308017,405,315,
85001,22.4601,1.14334,0.0587939,423,274,0.045767,429,287,179.84,194,204,0.00372228,417,271,
86001,22.7243,1.31184,0.0632477,395,353,0.0524412,405,347,195.643,91,261,0.00340049,417,272,
87001,22.9886,1.04854,0.0597996,395,338,0.0563087,408,329,165.563,175,91,0.00310707,409,250,
88001,23.2528,1.12361,0.0653421,426,206,0.0543651,367,432,201.394,164,271,0.00351295,393,363,
89001,23.517,0.980242,0.0532771,429,185,0.0439704,367,433,122.423,371,234,0.00294884,390,375,
90001,23.7813,1.00438,0.0558815,433,167,0.0422967,388,282,215.318,511,144,0.00285091,343,435,
91001,24.0455,1.02728,0.0446205,394,367,0.0495089,378,278,106.059,394,265,0.00231803,421,256,
92001,24.3097,0.932886,0.0499973,402,341,0.0447162,367,432,108.072,412,337,0.00296553,392,370,
93001,24.574,0.929671,0.0536347,411,314,0.0533102,367,432,177.046,483,197,0.00235791,367,432,
94001,24.8382,1.40557,0.0474853,420,286,0.0533884,367,432,411.025,529,108,0.00276181,368,430,
95001,25.1024,2.46727,0.031151,423,235,0.052813,426,282,833.792,505,156,0.00385627,393,371,
96001,25.3667,2.02553,0.0442391,407,338,0.0477703,398,364,612.565,397,328,0.00322972,398,363,
97001,25.6309,1.18656,0.0439716,417,311,0.0413261,405,336,190.81,408,214,0.00285801,418,307,
98001,25.8952,0.967069,0.0385733,425,283,0.0461589,417,308,102.188,247,241,0.00333123,417,308,
99001,26.1594,0.994657,0.0408643,328,180,0.0406742,426,275,84.2258,232,261,0.00406804,311,435,
100001,26.4236,1.49669,0.044368,408,314,0.0441963,432,236,475.824,456,254,0.00552952,334,435,
101001,26.6879,0.863131,0.0465714,401,353,0.046778,414,331,76.3733,302,373,0.00308054,406,333,
102001,26.9521,0.788315,0.0442327,402,348,0.0456288,389,382,53.2079,317,383,0.00495235,349,435,
103001,27.2163,1.76754,0.0542827,401,348,0.043834,423,280,599.438,411,344,0.00410477,371,421,
104001,27.4806,0.728433,0.0505814,448,128,0.0591708,385,391,32.6232,215,353,0.00397038,350,435,
105001,27.7448,0.825213,0.0592991,393,361,0.0611755,393,369,81.3316,398,168,0.00345353,369,423,
106001,28.009,0.808262,0.0660487,393,363,0.0637607,390,352,78.6651,230,369,0.00379696,391,361,
107001,28.2733,0.975287,0.0630014,404,332,0.0580073,391,361,137.196,413,282,0.00503073,391,362,
108001,28.5375,0.849499,0.0528469,411,319,0.0556314,415,325,59.9513,245,380,0.00252579,412,304,
109001,28.8017,1.49405,0.0571864,417,288,0.0623418,425,302,424.864,358,1,0.00346033,424,304,
110001,29.066,0.94504,0.0598075,407,288,0.0497702,437,274,80.2778,393,1,0.00255557,424,303,
111001,29.3302,0.998831,0.0568223,416,261,0.0368182,352,73,196.232,412,14,0.00195335,353,435,
112001,29.5944,1.00426,0.0555381,419,240,0.047388,414,228,150.48,565,36,0.00321817,353,435,
113001,29.8587,1.24191,0.0436454,423,220,0.0443654,393,369,221.558,352,41,0.00350024,393,370,
114001,30.1229,1.28706,0.0411217,424,206,0.0488976,410,173,133.373,503,160,0.00385677,337,435,
115001,30.3871,1.50059,0.043754,430,193,0.048419,394,374,290.097,470,226,0.00400404,389,374,
116001,30.6514,1.2996,0.0501984,390,376,0.0493235,404,348,194.154,384,398,0.00396082,389,374,
117001,30.9156,1.35225,0.0505406,387,360,0.0434032,388,354,290.316,440,152,0.00371138,328,435,
118001,31.1798,1.18844,0.0583837,395,343,0.0491258,394,339,250.929,507,152,0.00404684,350,435,
119001,31.4441,1.00707,0.0575565,405,324,0.0410037,404,341,118.626,488,190,0.00350767,356,435,
120001,31.7083,1.1601,0.0614891,393,366,0.0602504,414,316,160.957,248,224,0.00327676,348,435,
121001,31.9725,1.19214,0.0470199,399,340,0.0525517,421,294,181.668,251,193,0.00328983,352,435,
122001,32.2368,1.16837,0.0527907,421,270,0.0491477,367,432,122.075,230,208,0.00394222,382,387,
123001,32.501,1.03616,0.0511285,433,244,0.0653239,396,362,84.857,315,110,0.00319376,385,376,
124001,32.7652,2.20461,0.0665038,394,357,0.0451908,385,357,779.876,182,158,0.00428502,340,435,
125001,33.0295,3.16734,0.0628009,395,357,0.0474068,375,362,1105.19,351,128,0.00411765,339,435,
126001,33.2937,1.29718,0.0579777,435,258,0.0496336,394,359,222.155,541,84,0.00463044,372,415,
127001,33.5579,1.14482,0.0545546,441,243,0.0565473,393,360,183.771,126,189,0.003861,386,382,
128001,33.8222,1.56938,0.0525881,449,228,0.0626094,387,344,341.147,411,329,0.00476839,387,346,
129001,34.0864,1.14362,0.0495229,452,214,0.0491806,397,359,285.501,112,217,0.00494853,387,345,
130001,34.3506,0.809496,0.0493508,386,386,0.0536401,392,379,63.0735,236,270,0.00359554,386,383,
131001,34.6149,1.00796,0.0556139,391,370,0.0549345,401,362,222.327,486,194,0.00421583,381,392,
132001,34.8791,1.11468,0.054274,390,358,0.0582647,399,347,307.666,412,342,0.00387524,390,352,
133001,35.1433,1.00363,0.0499215,389,357,0.0531004,404,351,222.974,169,318,0.00371834,387,354,
134001,35.4076,0.786873,0.0558576,405,316,0.0454639,367,433,74.0891,363,420,0.00295374,407,317,
135001,35.6718,0.703902,0.0587337,410,299,0.0507525,367,432,74.998,190,61,0.00291071,406,316,
136001,35.936,0.834683,0.0488493,422,293,0.0604474,367,432,193.192,87,267,0.00294131,368,430,
137001,36.2003,0.789092,0.0453513,424,276,0.0597949,367,432,133.964,481,173,0.00266268,368,430,
138001,36.4645,1.42915,0.0366659,298,360,0.0572308,367,432,420.079,562,42,0.00238951,366,434,
139001,36.7287,1.04316,0.0346512,296,372,0.0576667,367,432,121.374,508,150,0.00222604,368,430,
140001,36.993,1.26623,0.0316174,448,256,0.0572843,367,432,236.157,271,427,0.00204832,366,434,
