title="d2z6      Re=86000     iterations=65001 "
 zone t="d2z6"variables=X,v/U
0.001370 0.000000
0.004110 0.001318
0.006849 0.007636
0.009589 0.012632
0.012329 0.017533
0.015068 0.020464
0.017808 0.022325
0.020548 0.024657
0.023288 0.025709
0.026027 0.026140
0.028767 0.027400
0.031507 0.027720
0.034247 0.027566
0.036986 0.028394
0.039726 0.028458
0.042466 0.028080
0.045205 0.028748
0.047945 0.028751
0.050685 0.028297
0.053425 0.028909
0.056164 0.028917
0.058904 0.028441
0.061644 0.029028
0.064384 0.029063
0.067123 0.028582
0.069863 0.029154
0.072603 0.029216
0.075342 0.028738
0.078082 0.029296
0.080822 0.029386
0.083562 0.028914
0.086301 0.029458
0.089041 0.029573
0.091781 0.029111
0.094521 0.029641
0.097260 0.029780
0.100000 0.029330
0.102740 0.029846
0.105479 0.030006
0.108219 0.029570
0.110959 0.030072
0.113699 0.030251
0.116438 0.029833
0.119178 0.030320
0.121918 0.030518
0.124658 0.030118
0.127397 0.030592
0.130137 0.030807
0.132877 0.030427
0.135616 0.030888
0.138356 0.031119
0.141096 0.030760
0.143836 0.031209
0.146575 0.031456
0.149315 0.031118
0.152055 0.031557
0.154795 0.031817
0.157534 0.031501
0.160274 0.031932
0.163014 0.032206
0.165753 0.031912
0.168493 0.032336
0.171233 0.032623
0.173973 0.032352
0.176712 0.032770
0.179452 0.033070
0.182192 0.032821
0.184932 0.033236
0.187671 0.033549
0.190411 0.033323
0.193151 0.033735
0.195890 0.034061
0.198630 0.033859
0.201370 0.034268
0.204110 0.034610
0.206849 0.034431
0.209589 0.034838
0.212329 0.035196
0.215068 0.035041
0.217808 0.035448
0.220548 0.035822
0.223288 0.035693
0.226027 0.036098
0.228767 0.036491
0.231507 0.036389
0.234247 0.036794
0.236986 0.037206
0.239726 0.037132
0.242466 0.037537
0.245205 0.037969
0.247945 0.037925
0.250685 0.038331
0.253425 0.038785
0.256164 0.038774
0.258904 0.039182
0.261644 0.039658
0.264384 0.039681
0.267123 0.040094
0.269863 0.040594
0.272603 0.040653
0.275342 0.041073
0.278082 0.041598
0.280822 0.041695
0.283562 0.042125
0.286301 0.042676
0.289041 0.042816
0.291781 0.043259
0.294521 0.043837
0.297260 0.044023
0.300000 0.044482
0.302740 0.045091
0.305479 0.045327
0.308219 0.045803
0.310959 0.046449
0.313699 0.046738
0.316438 0.047232
0.319178 0.047934
0.321918 0.048244
0.324658 0.048820
0.327397 0.049502
0.330137 0.049942
0.332877 0.050485
0.335616 0.051282
0.338356 0.051727
0.341096 0.052366
0.343836 0.053176
0.346575 0.053728
0.349315 0.054388
0.352055 0.055286
0.354795 0.055896
0.357534 0.056634
0.360274 0.057591
0.363014 0.058297
0.365753 0.059100
0.368493 0.060144
0.371233 0.060937
0.373973 0.061840
0.376712 0.062949
0.379452 0.063890
0.382192 0.064834
0.384932 0.066124
0.387671 0.067074
0.390411 0.068281
0.393151 0.069470
0.395890 0.070825
0.398630 0.071778
0.401370 0.073419
0.404110 0.074176
0.406849 0.075192
0.409589 0.075490
0.412329 0.075819
0.415068 0.075311
0.417808 0.075291
0.420548 0.074102
0.423288 0.073982
0.426027 0.074083
0.428767 0.075454
0.431507 0.075816
0.434247 0.076692
0.436986 0.076530
0.439726 0.076417
0.442466 0.076018
0.445205 0.075632
0.447945 0.075048
0.450685 0.074929
0.453425 0.074603
0.456164 0.074544
0.458904 0.074599
0.461644 0.074793
0.464384 0.074837
0.467123 0.075259
0.469863 0.075450
0.472603 0.075669
0.475342 0.075908
0.478082 0.076132
0.480822 0.076015
0.483562 0.076109
0.486301 0.075874
0.489041 0.075489
0.491781 0.074983
0.494521 0.074343
0.497260 0.073308
0.500000 0.072285
0.502740 0.070911
0.505479 0.069347
0.508219 0.067610
0.510959 0.065702
