title="d2z6      Re=86000     iterations=165001 "
 zone t="d2z6"variables=X,v/U
0.001370 0.000000
0.004110 0.003081
0.006849 0.017953
0.009589 0.032557
0.012329 0.057943
0.015068 0.091438
0.017808 0.120710
0.020548 0.140292
0.023288 0.149820
0.026027 0.153248
0.028767 0.154780
0.031507 0.155067
0.034247 0.155482
0.036986 0.157401
0.039726 0.159443
0.042466 0.161438
0.045205 0.163926
0.047945 0.165480
0.050685 0.166047
0.053425 0.166719
0.056164 0.166809
0.058904 0.166500
0.061644 0.166791
0.064384 0.166727
0.067123 0.165981
0.069863 0.165420
0.072603 0.164374
0.075342 0.162652
0.078082 0.161345
0.080822 0.160199
0.083562 0.159155
0.086301 0.159122
0.089041 0.159534
0.091781 0.159798
0.094521 0.160333
0.097260 0.160495
0.100000 0.159991
0.102740 0.159201
0.105479 0.158138
0.108219 0.156016
0.110959 0.154278
0.113699 0.151464
0.116438 0.148999
0.119178 0.145254
0.121918 0.142713
0.124658 0.137918
0.127397 0.134903
0.130137 0.129840
0.132877 0.126044
0.135616 0.120490
0.138356 0.116555
0.141096 0.110280
0.143836 0.105971
0.146575 0.099598
0.149315 0.094771
0.152055 0.088076
0.154795 0.083442
0.157534 0.076429
0.160274 0.071690
0.163014 0.065201
0.165753 0.060362
0.168493 0.054066
0.171233 0.049938
0.173973 0.043936
0.176712 0.040082
0.179452 0.035355
0.182192 0.031888
0.184932 0.027993
0.187671 0.025974
0.190411 0.022937
0.193151 0.021735
0.195890 0.020416
0.198630 0.019721
0.201370 0.019266
0.204110 0.019814
0.206849 0.019525
0.209589 0.020613
0.212329 0.021192
0.215068 0.021986
0.217808 0.023020
0.220548 0.024266
0.223288 0.024860
0.226027 0.026437
0.228767 0.027318
0.231507 0.028339
0.234247 0.029587
0.236986 0.030810
0.239726 0.031548
0.242466 0.033218
0.245205 0.034147
0.247945 0.035338
0.250685 0.036704
0.253425 0.037977
0.256164 0.038813
0.258904 0.040387
0.261644 0.041258
0.264384 0.042165
0.267123 0.043361
0.269863 0.044236
0.272603 0.044901
0.275342 0.046195
0.278082 0.047050
0.280822 0.047950
0.283562 0.049274
0.286301 0.050316
0.289041 0.051068
0.291781 0.052299
0.294521 0.052952
0.297260 0.053370
0.300000 0.054067
0.302740 0.054356
0.305479 0.054341
0.308219 0.054790
0.310959 0.054950
0.313699 0.054962
0.316438 0.055542
0.319178 0.056020
0.321918 0.056360
0.324658 0.057270
0.327397 0.058067
0.330137 0.058613
0.332877 0.059591
0.335616 0.060427
0.338356 0.060946
0.341096 0.061874
0.343836 0.062732
0.346575 0.063334
0.349315 0.064355
0.352055 0.065387
0.354795 0.066204
0.357534 0.067413
0.360274 0.068641
0.363014 0.069670
0.365753 0.071040
0.368493 0.072402
0.371233 0.073570
0.373973 0.075047
0.376712 0.076488
0.379452 0.077748
0.382192 0.079335
0.384932 0.080875
0.387671 0.082244
0.390411 0.083975
0.393151 0.085689
0.395890 0.087194
0.398630 0.089043
0.401370 0.090864
0.404110 0.092381
