Itterate ,Time ,RMS_Error ,MAX_ABS_U_Error ,MAX_ABS_U_Error_position_X ,MAX_ABS_U_Error_position_Y ,MAX_ABS_V_Error ,MAX_ABS_V_Error_position_X, MAX_ABS_V_Error_position_Y ,MAX_RS_Error ,MAX_RS_Error_Position_X ,MAX_RS_Error_Position_Y ,Bulk_Velocity_ABS_Error ,Bulk_Velocity_ABS_Error_Position_X ,Bulk_Velocity_ABS_Error_Position_Y
1001,0.323942,1,0.103199,363,437,0.0344494,1,437,1,0,437,0.0106502,363,437,
2001,0.647561,6.16636,0.0537064,81,435,0.0535004,365,434,1499.18,44,354,0.00635081,79,436,
3001,0.97118,2.16548,0.0277645,353,435,0.0477542,374,416,447.861,62,317,0.00315673,373,418,
4001,1.2948,0.711607,0.0347266,371,407,0.051107,379,405,118.326,181,81,0.00421066,369,425,
5001,1.61842,0.400165,0.0335533,384,379,0.0519479,385,390,98.5659,387,392,0.00400393,384,391,
6001,1.94204,0.299601,0.049456,381,363,0.0529206,389,377,15.5851,571,1,0.0044026,388,373,
7001,2.26565,0.262001,0.0610599,384,353,0.054359,393,369,36.2268,374,338,0.00423302,392,371,
8001,2.58927,0.336806,0.0425463,383,353,0.0526777,395,343,30.9606,339,340,0.00470774,394,346,
9001,2.91289,0.494856,0.0528942,333,365,0.0431266,390,320,65.5965,311,362,0.00751481,322,434,
10001,3.23651,0.644969,0.0495756,321,434,0.0509599,392,300,117.386,301,398,0.0092358,320,435,
11001,3.56013,0.49859,0.0452751,401,290,0.0546677,383,386,64.3746,472,222,0.00733482,393,359,
12001,3.88375,1.25924,0.0624237,390,333,0.0488722,389,329,240.806,446,273,0.00658065,390,333,
13001,4.20737,0.826699,0.0609558,377,400,0.0803045,383,397,106.961,348,304,0.00843827,377,400,
14001,4.53098,1.84161,0.075514,384,376,0.0824578,394,367,362.934,359,316,0.00966919,377,400,
15001,4.8546,1.30595,0.0908822,387,347,0.0750259,397,365,169.435,563,14,0.00652783,382,370,
16001,5.17822,1.35934,0.0801882,387,347,0.0695081,405,342,132.098,526,21,0.00617192,388,347,
17001,5.50184,1.18581,0.0630967,378,333,0.0604046,375,315,92.7628,524,117,0.00412483,419,310,
18001,5.82546,0.967242,0.0271443,369,330,0.0662649,363,312,98.1384,415,118,0.00340777,427,288,
19001,6.14908,0.897099,0.0284112,437,275,0.0389333,441,258,119.353,463,240,0.00289867,440,260,
20001,6.4727,3.45676,0.0280064,350,318,0.0372439,442,239,1352.45,472,222,0.00268231,442,241,
21001,6.79632,0.640109,0.0386433,456,232,0.0355285,452,220,125.546,485,196,0.00279973,450,223,
22001,7.11993,0.565256,0.0395504,457,216,0.0351818,451,204,56.1518,279,327,0.00249991,450,209,
23001,7.44355,0.655886,0.0408644,468,197,0.0414661,353,340,92.1777,221,230,0.00273073,460,185,
24001,7.76717,1.08164,0.0365712,472,183,0.0391824,362,344,177.596,73,297,0.00215332,452,207,
25001,8.09079,1.17078,0.0425073,404,305,0.0326904,460,151,342.378,46,353,0.00204325,454,189,
26001,8.41441,1.01028,0.0411749,415,288,0.0296305,458,138,174.22,543,80,0.00191276,442,277,
27001,8.73803,1.03642,0.0377435,427,267,0.0374493,451,258,202.011,575,15,0.00249823,451,256,
28001,9.06165,0.780074,0.0411328,461,220,0.0433011,462,233,100.467,108,322,0.00307335,458,212,
29001,9.38526,0.655455,0.048232,471,193,0.0445275,471,211,77.7235,408,326,0.00299507,463,188,
30001,9.70888,0.617062,0.0498526,475,167,0.0442716,480,184,102.381,188,365,0.00290008,467,162,
31001,10.0325,0.671425,0.0430989,466,169,0.039318,486,158,134.225,483,78,0.00309257,459,142,
