Itterate ,Time ,RMS_Error ,MAX_ABS_U_Error ,MAX_ABS_U_Error_position_X ,MAX_ABS_U_Error_position_Y ,MAX_ABS_V_Error ,MAX_ABS_V_Error_position_X, MAX_ABS_V_Error_position_Y ,MAX_RS_Error ,MAX_RS_Error_Position_X ,MAX_RS_Error_Position_Y ,Bulk_Velocity_ABS_Error ,Bulk_Velocity_ABS_Error_Position_X ,Bulk_Velocity_ABS_Error_Position_Y
1001,0.264498,1,0.0840378,357,437,0.042633,365,433,1,0,437,0.00706508,357,437,
2001,0.528731,2.71765,0.0504855,364,436,0.0665892,365,435,73.6734,574,1,0.00327314,44,436,
3001,0.792965,2.31204,0.0207985,94,435,0.0350027,370,424,773.574,77,289,0.00183104,93,436,
4001,1.0572,1.01119,0.0147513,368,431,0.0321639,367,432,183.655,149,146,0.00174118,367,429,
5001,1.32143,0.298033,0.0146337,375,400,0.0271488,382,395,20.7315,358,423,0.00124039,381,398,
6001,1.58567,0.338905,0.0218471,385,379,0.032282,386,375,41.0396,159,430,0.00196384,385,379,
7001,1.8499,0.354093,0.0386365,390,372,0.0403639,390,378,38.9307,366,420,0.00204275,389,381,
8001,2.11413,0.297471,0.0349238,372,356,0.0484502,393,370,21.0815,216,422,0.00258401,170,435,
9001,2.37837,0.336545,0.0345734,379,359,0.0441852,398,346,38.1675,112,218,0.00384103,208,435,
10001,2.6426,0.460252,0.0477928,403,342,0.0423043,402,350,56.1978,412,342,0.00540723,250,435,
11001,2.90683,0.495692,0.0399563,269,435,0.0416375,408,316,57.5781,90,262,0.00488899,269,435,
12001,3.17107,0.735928,0.037833,350,434,0.0461978,404,346,213.207,191,431,0.00459396,294,435,
13001,3.4353,0.551405,0.0445167,407,326,0.0502753,414,325,137.423,364,423,0.00430202,348,435,
14001,3.69953,0.450382,0.0417448,392,374,0.0509118,395,371,52.7888,446,274,0.00465924,265,435,
15001,3.96377,0.528826,0.0472389,407,275,0.0537024,367,432,91.1505,429,248,0.00465668,285,435,
16001,4.228,0.432063,0.0609285,392,365,0.0615328,395,369,65.2884,396,373,0.00452565,305,435,
17001,4.49223,0.82338,0.0613579,389,360,0.0568459,393,371,266.188,360,394,0.00424739,329,435,
18001,4.75647,0.604581,0.0651873,389,360,0.0446911,403,347,117.938,378,376,0.0035668,349,435,
19001,5.0207,0.499566,0.0506268,391,376,0.0584544,396,371,58.9752,401,357,0.00298088,369,425,
20001,5.28493,1.63167,0.0534648,413,302,0.0532706,419,312,385.405,431,304,0.00334984,401,345,
21001,5.54917,0.507284,0.0487906,412,280,0.049921,397,364,77.7041,327,282,0.00325417,382,390,
22001,5.8134,0.538845,0.0511721,391,374,0.0499758,397,367,57.2179,430,289,0.00446432,384,386,
23001,6.07764,0.477403,0.0460662,394,347,0.0426394,421,251,35.4556,434,249,0.0036252,393,359,
24001,6.34187,0.79181,0.0474806,390,332,0.0593129,401,323,212.111,438,239,0.00300546,390,255,
25001,6.6061,0.625645,0.0564855,389,313,0.041392,395,308,83.4133,449,268,0.00462016,350,435,
26001,6.87034,0.723393,0.0600295,387,285,0.0512355,409,327,160.522,314,428,0.00430536,331,435,
27001,7.13457,0.552457,0.0394025,407,302,0.0505118,372,274,91.6919,313,376,0.00425698,353,435,
28001,7.3988,0.542123,0.0541209,406,327,0.0460358,357,276,80.1166,425,191,0.00305649,385,385,
29001,7.66304,1.37269,0.044858,409,299,0.0451668,395,370,493.92,450,266,0.00343049,389,373,
30001,7.92727,0.497628,0.0581264,391,374,0.0422816,392,379,27.303,307,309,0.0037975,385,380,
31001,8.1915,0.70945,0.0466695,413,320,0.0423306,426,265,154.887,303,326,0.00301875,352,435,
32001,8.45574,0.966894,0.0508359,398,326,0.0367781,389,342,253.84,485,196,0.00288452,370,421,
33001,8.71997,1.11883,0.06311,401,320,0.038134,398,317,351.455,384,318,0.00332555,397,319,
34001,8.9842,0.694815,0.0658796,399,321,0.0416132,398,299,74.7301,469,218,0.00332859,334,435,
35001,9.24844,1.06148,0.0479071,416,319,0.0560094,400,286,266.578,398,290,0.00412887,384,377,
36001,9.51267,0.761061,0.0526669,416,319,0.0555444,408,256,129.872,449,268,0.00326953,353,435,
37001,9.7769,0.774622,0.0582118,416,312,0.0550237,414,306,112.775,400,310,0.00375971,414,308,
38001,10.0411,1.10553,0.0432104,424,283,0.0429224,414,309,261.463,490,186,0.00383201,414,310,
